鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺南市北區公園路７５１號,56.5,住,,,1090901,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0590610,97.4,0,3,2,有,無,無,20000,205,,0.0,0,,RPWNMLLKRHPFFAD98CC
東區,建物,臺南市東區富農街二段７３巷１２之３號,0.0,住,,,1090825,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681214,80.72,3,1,1,有,無,有,12000,149,,0.0,0,,RPTNMLLKRHPFFCD88CC
東區,建物,臺南市東區建東街３９號,0.0,住,,,1090826,土地0建物1車位0,全,1,透天厝,住家用,見其他登記事項,0780216,69.79,3,2,1,有,無,無,30000,430,,0.0,0,,RPVNMLLKRHPFFCD09CC
東區,建物,臺南市東區仁東街２５號１３樓,0.0,住,,,1090826,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871218,80.19,2,2,1,有,有,有,10000,125,坡道機械,9.83,0,,RPUOMLLKRHPFFCD09CC
仁德區,建物,臺南市仁德區義林路２５６巷２２弄３１號,0.0,工,,,1090824,土地0建物1車位0,一層,1,工廠,工業用,鋼造,0680512,165.6,0,0,1,有,無,有,30000,,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。,RPSNMLLKRHPFFID76CC
永康區,建物,臺南市永康區大橋一街１０３巷２２６弄１１７號三樓,0.0,住,,,1090825,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820817,97.10999999999999,3,2,2,有,無,有,10000,103,,0.0,0,,RPPOMLLKRHPFFKD76CC
佳里區,建物,臺南市佳里區佳安西路５巷２號,0.0,,鄉村區,乙種建築用地,1090826,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0880917,186.39,4,1,3,有,有,有,13000,70,,0.0,0,,RPPOMLLKRHPFFGD98CC
安南區,房地(土地+建物),臺南市安南區環館路３６６巷１２號,182.56,住,,,1090911,土地3建物2車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1041027,359.79,4,2,4,有,無,無,37000,103,,0.0,0,,RPROMLOKRHPFFBD98CC
仁德區,建物,臺南市仁德區二仁路一段１０４號,9.0,住,,,1090907,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0660819,9.0,17,1,17,有,無,有,3000,333,,0.0,0,,RPQNMLOKRHPFFID86CC
仁德區,建物,臺南市仁德區二仁路一段１０４號,9.0,住,,,1090913,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0660819,9.0,17,1,17,有,無,有,4000,444,,0.0,0,,RPRNMLOKRHPFFID96CC
仁德區,建物,臺南市仁德區二仁路一段１０４號,9.0,住,,,1090914,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0660819,9.0,17,1,17,有,無,有,3000,333,,0.0,0,,RPOOMLOKRHPFFID76CC
仁德區,建物,臺南市仁德區中正路３５３巷３號,0.0,住,,,1090905,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890110,13.22,1,0,1,有,無,有,3500,265,,0.0,0,分租套房，租賃面積約4坪,RPVOMLOKRHPFFID47CC
東區,建物,臺南市東區立德十一路２９巷６０號,42.46,住,,,1090911,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640710,87.77,3,2,1,有,無,有,10000,114,,0.0,0,,RPUNMLOKRHPFFCD66CC
安平區,建物,臺南市安平區永華路二段８１９號二十樓之８,0.0,住,,,1090828,土地0建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840530,177.29000000000002,2,2,2,有,有,有,16000,90,坡道平面,0.0,0,,RPQQMLOKRHPFFAD98CC
北區,建物,臺南市北區南園街１０６巷２之１號,0.0,住,,,1090911,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650629,71.54,3,2,1,有,無,有,12000,168,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPRPMLPKRHPFFAD09CC
東區,房地(土地+建物),臺南市東區長榮路一段２５６號１０樓８,4.87,商,,,1090915,土地1建物1車位0,十層,12,辦公商業大樓,商業用,鋼筋混凝土造,0821216,114.1,0,3,1,有,有,有,12000,105,,0.0,0,含管理費,RPPOMLPKRHPFFCD98CC
東區,建物,臺南市東區衛國街１１４巷９弄５之２號,0.0,住,,,1090826,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0690522,71.94,3,2,1,有,有,有,10000,139,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPQOMLPKRHPFFCD09CC
東區,建物,臺南市東區崇善里崇善七街４８號,0.0,住,,,1090910,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680515,90.92,3,2,2,有,無,有,8500,93,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPTOMLPKRHPFFCD76CC
善化區,房地(土地+建物),臺南市善化區坐駕９４號,69.61,住,,,1090912,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0721116,85.84,2,2,2,有,無,有,10000,116,,0.0,0,,RPRNMLPKRHPFFHD96CC
善化區,建物,臺南市善化區陽光大道５９１號十三樓之１,0.0,住,,,1090831,土地0建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081120,132.8,3,2,2,有,有,有,18900,142,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPWOMLPKRHPFFHD57CC
善化區,建物,臺南市善化區陽光三路１５０號三樓之１,0.0,住,,,1090903,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030618,89.36,2,2,1,有,有,有,15000,168,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPOPMLPKRHPFFHD86CC
善化區,建物,臺南市善化區西拉雅大道４０６號二樓之７,0.0,其他,,,1090910,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051118,64.02,1,0,1,有,無,有,8000,125,,0.0,0,,RPQPMLPKRHPFFHD07CC
安定區,建物,臺南市安定區海寮１６６之４號,0.0,,鄉村區,乙種建築用地,1090914,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0640715,110.32,3,2,2,有,無,有,10000,91,,0.0,0,,RPRPMLPKRHPFFHD17CC
安南區,建物,臺南市安南區永續三街８６號三樓之３,0.0,其他,,,1090907,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,107.37,2,2,1,有,有,有,14500,135,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPSPMLPKRHPFFBD66CC
永康區,建物,臺南市永康區甲頂里中正南路５２巷６２弄１４號,0.0,住,,,1090828,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0810615,184.43,4,2,5,有,無,有,18000,98,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPUOMLPKRHPFFKD67CC
永康區,建物,臺南市永康區勝利里勝學路２５３號八樓之２,0.0,住,,,1090827,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880701,149.28,4,2,2,有,有,有,14800,99,,0.0,0,台南市社會住宅包租代管第二期計畫不含管理費,RPVOMLPKRHPFFKD77CC
