編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXQMLLKRHPFFAH17CC,坡道平面,0,,
RPUPMLLKRHPFFAH76CC,坡道平面,0,30.30,
RPWOMLLKRHPFFEH27CC,坡道平面,0,,
RPWOMLLKRHPFFEH27CC,坡道平面,0,,
RPWOMLLKRHPFFEH27CC,坡道平面,0,,
RPSNMLLKRHPFFFH86CC,坡道平面,0,,
RPOQMLPKRHPFFAH66CC,坡道平面,0,,
RPVPMLPKRHPFFEH67CC,坡道平面,0,,
RPUPMLQKRHPFFDH57CC,坡道平面,0,26.45,
RPUNMLPKRHPFFFH57DC,坡道平面,0,25.78,
RPWPMLQKRHPFFDH77CC,坡道平面,0,33.21,
RPQQMLQKRHPFFAH96CC,坡道平面,0,53.85,
RPPQMLRKRHPFFAH96CC,坡道平面,0,,
RPXTMLRKRHPFFBH18CC,坡道平面,0,35.42,
RPSPMLLLRHPFFBH76CC,坡道平面,0,,
RPRNMLLLRHPFFFH86CC,坡道平面,0,27.20,
RPUOOLNLRHPFFBH27CC,坡道平面,0,,
RPVRMLNLRHPFFAH37CC,坡道平面,0,41.83,
RPWOMLNLRHPFFFH67CC,坡道平面,0,,
RPTOMLNLRHPFFFH37CC,坡道平面,0,30.76,
RPUOMLNLRHPFFFH47CC,坡道平面,0,,
RPVOMLNLRHPFFGH67CC,坡道平面,0,,
RPRPMLOLRHPFFHH57CC,坡道平面,0,,
RPSOMLOLRHPFFHH57CC,坡道平面,0,26.12,
RPPQMLOLRHPFFEH17CC,坡道平面,0,25.48,
RPQQMLOLRHPFFEH27CC,坡道平面,0,,
RPPNMLOLRHPFFFH96CC,坡道平面,0,,
RPQNMLOLRHPFFFH07CC,坡道平面,0,,
RPSNMLOLRHPFFFH27CC,坡道平面,0,,
RPUPMLOLRHPFFFH67CC,坡道平面,0,30.76,
RPWSMLOLRHPFFBH77CC,坡道平面,0,,
RPVPMLOLRHPFFBH37CC,坡道平面,0,,
RPSTMLOLRHPFFBH47CC,坡道平面,0,,
RPPTMLOLRHPFFBH17CC,坡道平面,0,,
RPTQMLOLRHPFFCH37CC,坡道平面,0,,
RPUONLOLRHPFFBH27CC,坡道平面,0,,
RPPONLOLRHPFFBH76CC,坡道平面,0,32.32,
RPXOMLOLRHPFFAH37CC,其他,0,,一樓
RPTNMLPLRHPFFAH96CC,坡道平面,0,22.81,
RPWQMLPLRHPFFBH77DC,坡道平面,0,24.70,
RPOQMLPLRHPFFCH96CC,坡道平面,0,36.44,
RPPQMLPLRHPFFCH07CC,坡道平面,0,36.44,
RPPOMLQLRHPFFFH27CC,坡道平面,0,26.22,
RPQSMLQLRHPFFAH27CC,坡道平面,0,25.96,
RPQNMLRLRHPFFHH57CC,坡道平面,0,27.04,
RPRNMLRLRHPFFCH17CC,坡道平面,0,,
RPRNMLSLRHPFFDH37CC,坡道平面,2000,,
RPUOMLTLRHPFFAH57CC,坡道平面,0,,
RPOQMLTLRHPFFAH17CC,坡道平面,0,53.85,
RPQQMLTLRHPFFAH37CC,坡道平面,0,,
RPVQMLTLRHPFFAH87CC,坡道平面,0,38.54,
RPTNMLTLRHPFFFH87CC,坡道平面,0,30.76,
RPURMLTLRHPFFEH28CC,坡道平面,0,,
RPRNMLTLRHPFFFH67CC,坡道平面,0,31.19,
RPOPMLTLRHPFFDH47DC,坡道平面,0,23.38,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPOPMLPJIIPFFHH98CC,一樓平面,0,,
RPVPMLPJIIPFFEH86DC,坡道平面,0,24.49,
RPTPMLPJIIPFFEH66DC,坡道平面,0,24.49,
RPXSMLPJIIPFFBH07DC,坡道平面,0,,
RPSPMLQJIIPFFBH88CC,坡道機械,0,,
RPWQMLQJIIPFFAH66CC,坡道機械,0,,
RPXRMLQJIIPFFAH86CC,坡道平面,0,,
RPQRMLQJIIPFFBH88CC,坡道平面,0,,
RPQSMLQJIIPFFBH98CC,坡道平面,0,,
RPXNMLQJIIPFFFH96CC,坡道平面,0,,
RPTPMLRJIIPFFCH56CC,坡道平面,0,,
