鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,建物,臺中市北屯區太原路三段345巷10號13樓之1,13.17,住,,,1091123,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870506,95.74,3,2,2,有,無,有,18000,188,,0.0,0,,RPWOMLLKKIPFFBB38CC
北屯區,建物,臺中市北屯區豐樂北一路96、98號,0.0,住,,,1090930,土地0建物1車位0,見其他登記事項,1,工廠,見其他登記事項,鋼骨鋼筋混凝土造,1030605,404.01,0,0,0,無,無,無,168000,,,0.0,0,,RPSQMLLKKIPFFBB18CC
北區,房地(土地+建物),臺中市北區進化北路367號12樓之17,5.01,商,,,1091126,土地1建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,59.9,1,1,1,有,有,有,13000,217,,0.0,0,,RPWRMLLKKIPFFBB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路38巷50號9樓之3,9.06,商,,,1091112,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980121,100.95,2,2,1,有,有,有,22260,221,坡道平面,26.94,0,,RPXNMLLKKIPFFCB48CC
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路229號11樓之10,16.44,住,,,1091113,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113,135.25,3,2,2,有,有,有,27089,200,坡道平面,40.26,0,,RPOOMLLKKIPFFCB67CC
西屯區,建物,臺中市西屯區烈美街100號2F-2  C室,0.0,住,,,1091208,土地0建物0車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081007,12.87,1,0,1,有,有,有,12100,940,,0.0,0,,RPPOMLLKKIPFFCB77CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路238號29樓之5,19.86,其他,,,1091130,土地1建物1車位2,二十九層,36,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030403,372.57,0,0,0,無,有,有,105000,282,坡道平面,0.0,0,,RPROMLLKKIPFFCB97CC
南屯區,土地,永春段248地號,290.4,住,,,1091130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,126000,434,,0.0,0,,RPUOMLLKKIPFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區黎明路三段318號7樓之8,3.19,商,,,1091204,土地1建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840220,23.89,1,0,1,有,有,有,6000,251,,0.0,0,臺中市包租代管案件租金市價打9折。,RPRPMLLKKIPFFCB08CC
