編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSQMLLKKIPFFBB18CC,6,404.01,辦公室,鋼骨鋼筋混凝土造,103年6月5日,一層,
RPWRMLLKKIPFFBB68CC,27,41.04,住家用,鋼筋混凝土造,83年2月7日,十八層,
RPWRMLLKKIPFFBB68CC,27,18.86,共有部份,鋼筋混凝土造,83年2月7日,十八層,
RPOOMLLKKIPFFCB67CC,6,45.69,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、污水處理機房、消防機械室、排煙室、水箱、樓梯間、昇降機、緊急昇降機、防空避難室兼停車空間、台電配電室、景觀水池機房、防災中心、緊急發電機室、電信機房、門廳、公共服務空間、外廊、環保資源室、廣場式開放空間﹝有頂蓋﹞、沿街步道式開放空間﹝有頂蓋﹞兼外廊、游泳池、交誼廳、梯廳、中繼機房、機械室、管理室、地下室進排風管道、機車車道、游泳池空間、機房等３０項。,鋼筋混凝土造,103年11月13日,二十一層,
RPOOMLLKKIPFFCB67CC,6,89.56,住家用,鋼筋混凝土造,103年11月13日,二十一層,
RPWOMLLKKIPFFBB38CC,23,76.88,集合住宅,鋼筋混凝土造,87年5月6日,十三層,
RPWOMLLKKIPFFBB38CC,23,18.86,共有部份,鋼筋混凝土造,87年5月6日,十三層,
RPRPMLLKKIPFFCB08CC,26,17.61,住家用,鋼筋混凝土造,84年2月20日,十三層,
RPRPMLLKKIPFFCB08CC,26,3.98,住家用,鋼筋混凝土造,84年2月20日,十三層,
RPRPMLLKKIPFFCB08CC,26,2.30,共同使用,鋼筋混凝土造,84年2月20日,十三層,
RPXNMLLKKIPFFCB48CC,12,100.95,住家用,鋼筋混凝土造,98年1月21日,十層,
RPPOMLLKKIPFFCB77CC,1,12.87,集合住宅,鋼筋混凝土造,108年10月7日,五層,
RPROMLLKKIPFFCB97CC,7,230.48,辦公事務所及工商服務業,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPROMLLKKIPFFCB97CC,7,68.74,本共有部分之項目有：梯廳、排煙室、樓梯間、門廳、防災中心、管委會使用空間、汽車車道、發電機室、中繼機房、電梯機房、水錶室、機械室、子母水箱等１３項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPROMLLKKIPFFCB97CC,7,73.35,本共有部分之項目有：梯廳、停車空間、水箱、消防機房、污水機房、排煙室、樓梯間、汽車車道、車道、防空避難室兼機車停車空間、儲藏室、電錶室、機車停車空間、台電配電室、電信室、中繼機房、雨水回收水箱等１７項。,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPTRMLLKKIPFFCB48CC,31,203.07,住家用,鋼筋混凝土造,79年1月24日,六層,
RPOOMLLKKIPFFAB47CC,9,108.23,集合住宅,鋼筋混凝土造,100年11月30日,十五層,
RPVQMLLKKIPFFCB58CC,11,205.56,人行道、第十組日常服務業（店舖）,鋼骨鋼筋混凝土造,99年2月11日,二十九層,
RPVQMLLKKIPFFCB58CC,11,110.46,本共有部分之項目有：防空避難室兼停車空間、人行道、騎樓、防災中心、管理室、梯廳、消防幫浦室、門廊、車道、水箱、機車停車空間、中繼水箱、機械室、梯間、一般安全梯、緊急昇降機間、昇降機間、排煙室、排煙管道、進風管道、排氣管道、進氣管道、緊急發電機室、電信室、台電專用管道、廣場式開放空間、汽車車道、垃圾處理場、特別安全梯、發電機室、機電空間、緩衝空間、行動不便者坡道、機車車道、排風管道、錶箱室、造型牆、樑柱、台電配電室、陽台、雨遮等四十一項。,鋼骨鋼筋混凝土造,99年2月11日,二十九層,
RPRNMLLKKIPFFAB67CC,25,20.04,集合住宅,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLLKKIPFFAB67CC,25,3.72,共同使用,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLLKKIPFFAB67CC,25,4.19,共同使用,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLLKKIPFFAB67CC,25,1.00,共同使用,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLLKKIPFFAB67CC,25,1.69,共同使用,鋼筋混凝土造,85年5月6日,十八層,
RPPWMLLKKIPFFCB58CC,11,46.55,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPPWMLLKKIPFFCB58CC,11,3.80,共有,鋼筋混凝土造,98年8月13日,二十六層,
RPPWMLLKKIPFFCB58CC,11,18.43,共有,鋼筋混凝土造,98年8月13日,二十六層,
RPPOMLLKKIPFFAB57CC,27,500.89,商業用,見其他登記事項,82年12月18日,四十二層,
RPPOMLLKKIPFFAB57CC,27,466.96,人行道．避難室．瞭望台．梯間．機械房,鋼骨造,82年12月18日,四十二層,
RPPOMLLKKIPFFAB57CC,27,210.92,商業用,見其他登記事項,82年12月18日,四十二層,
RPPOMLLKKIPFFAB57CC,27,276.82,商業用,見其他登記事項,82年12月18日,四十二層,
RPWOMLLKKIPFFAB28CC,9,75.14,集合住宅,鋼筋混凝土造,100年11月30日,十五層,
RPWOMLLKKIPFFAB28CC,9,15.17,本共有部分係依使用執照之建築概要表記載項目有：Ｂ梯、機械室、Ｂ水箱、排煙室、排煙設備空間等共５項。,鋼筋混凝土造,100年11月30日,十五層,
RPWOMLLKKIPFFAB28CC,9,17.99,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、Ａ梯、Ｂ梯、Ｃ梯、Ｄ梯、台電配電室Ａ、台電配電室Ｂ、電信室、停車空間、發電機室、Ａ水箱、Ｂ水箱、Ｃ水箱、Ｄ水箱、消防幫浦室、污水機房、管理委員會使用空間視廳室、管理委員會使用空間圖書室、管理委員會使用空間健身房、管理委員會使用空間交誼室、管理委員會使用空間大廳、管理委員會使用空間儲藏室、管理委員會使用空間會客室、垃圾收集室、頂蓋型廣場式開放空間、管理委員會使用空間交誼廳、管理委員會使用空間辦公室、排煙室、雨遮等共２９項。,鋼筋混凝土造,100年11月30日,十五層,
RPVOMLLKKIPFFAB18CC,53,102.26,住家用,加強磚造,56年9月25日,二層,
RPSRMLLKKIPFFFB68CC,2,93.62,集合住宅,鋼筋混凝土造,107年9月26日,十五層,
RPSRMLLKKIPFFFB68CC,2,13.40,梯廳、門廳〈風除室〉、門廊、管委會使用空間〈游泳池〉、電信機房、排風機房、泳池機房、進風機房、消防機房、緊急發電機房、機房、垃圾暫存室、泳池水箱、雨水及汙水機房、防空避難室兼停車空間、車道、機車停車空間。,鋼筋混凝土造,107年9月26日,十五層,
RPSRMLLKKIPFFFB68CC,2,.98,特別安全梯、台電配電室,鋼筋混凝土造,107年9月26日,十五層,
RPSRMLLKKIPFFFB68CC,2,28.35,特別安全梯、排煙室、梯廳、水箱、電錶、水錶室、消防水箱、電梯機房、樓梯間,鋼筋混凝土造,107年9月26日,十五層,
RPSQMLLKKIPFFAB08CC,3,141.60,店舖、儲藏室,鋼筋混凝土造,106年9月22日,十五層,
RPWNMLLKKIPFFKB56CC,40,202.31,住商用,鋼筋混凝土造,69年12月1日,三層,
RPSOMLLKKIPFFIB68CC,28,68.58,集合住宅,鋼筋混凝土造,81年8月26日,八層,
RPSOMLLKKIPFFIB68CC,28,18.10,共有部份,鋼筋混凝土造,81年8月26日,八層,
RPRPMLLKKIPFFIB78DC,41,191.90,住商用,加強磚造,68年9月12日,三層,
RPVNMLOKKIPFFDB68CC,23,150.47,廠房,鋼骨造,86年12月9日,一層,
RPRQMLLKKIPFFFB58DC,15,149.14,店舖、辦公室、人行道、住房、梯間,鋼筋混凝土造,94年6月30日,三層,
RPRQMLLKKIPFFFB58DC,15,149.14,店舖、辦公室、人行道、住房、梯間,鋼筋混凝土造,94年6月30日,三層,
RPPQMLLKKIPFFIB68DC,1,71.91,店舖,鋼筋混凝土造,109年4月22日,十三層,
RPTTMLOKKIPFFIB96CC,30,104.11,集合住宅,鋼筋混凝土造,79年11月2日,十層,
RPQNMLOKKIPFFIB68CC,1,71.91,店舖,鋼筋混凝土造,109年4月22日,十三層,
