編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLRJKIPFFBC08DA,坡道平面,0,35.96,
RPVNMLTJKIPFFBC88DA,坡道平面,0,,
RPPNMLOJKIPFFCC87DA,坡道機械,700000,15.16,
RPPNMLOJKIPFFCC87DA,坡道機械,700000,15.16,
RPPOMLMJJIPFFCC67DA,坡道平面,0,35.85,
RPVNMLSJKIPFFCC88DA,坡道平面,0,,
RPUNMLRKJIPFFBC58DA,坡道平面,700000,41.78,
RPROMLKKKIPFFBC77DA,坡道平面,0,30.84,
RPXNMLQKKIPFFCC09EA,坡道平面,1000000,46.69,
RPQOMLSJKIPFFCC58EA,坡道機械,0,18.48,
RPRPMLLJKIPFFCC97DA,坡道平面,0,43.81,
RPQOMLKKKIPFFBC67DA,坡道平面,0,30.84,
RPWOMLKKKIPFFBC28DA,坡道平面,0,,
RPTOMLKKKIPFFBC97DA,坡道平面,0,,
RPOOMLKKKIPFFCC57DA,坡道平面,0,,
RPPNMLLKKIPFFBC67EA,坡道機械,0,,
RPPNMLLKKIPFFBC67EA,坡道機械,0,,
RPQNMLLKKIPFFBC77EA,坡道平面,780000,41.61,
RPXNMLLKKIPFFBC48EA,坡道機械,0,,
RPWNMLLKKIPFFBC28DA,坡道平面,0,,
RPPOMLSJKIPFFCC38DA,一樓平面,0,,
RPRPMLKKKIPFFCC97DA,坡道平面,0,33.88,
RPVNMLLKKIPFFCC28DA,坡道平面,1300000,13.47,
RPTNMLLKKIPFFCC08DA,坡道平面,1200000,15.87,
RPTNMLLKKIPFFCC08DA,坡道平面,1200000,15.87,
RPUNMLLKKIPFFCC18DA,坡道平面,1400000,15.87,
RPWNMLLKKIPFFCC38DA,坡道平面,1200000,15.87,
RPVNMLMJKIPFFBC18DA,坡道平面,0,32.61,
RPVQMLSKJIPFFBC09DA,升降機械,1100000,10.64,
RPPSMLRKJIPFFBC58DA,坡道機械,1100000,10.64,
RPURMLRKJIPFFBC98DA,升降機械,1200000,10.64,
RPWNMLSJKIPFFBC88DA,坡道平面,1200000,35.96,
RPOOMLSJKIPFFBC18DA,坡道平面,1200000,35.96,
RPXNMLSJKIPFFBC98DA,坡道平面,1200000,35.96,
RPPOMLSJKIPFFBC28DA,坡道平面,1050000,35.96,
RPQOMLSJKIPFFBC38DA,坡道平面,1200000,35.96,
RPTOMLSJKIPFFBC68DA,坡道平面,1050000,35.96,
RPROMLSJKIPFFBC48DA,坡道平面,1050000,35.96,
RPSOMLSJKIPFFBC58DA,坡道平面,1050000,35.96,
RPTOMLPKKIPFFBC48DA,坡道平面,0,,
RPPNMLRKKIPFFBC28EA,坡道平面,0,,
RPWNMLSKKIPFFCC56EA,坡道平面,1400000,46.69,
RPSOMLOKKIPFFCC38DA,坡道平面,0,46.69,
RPXOMLKKKIPFFCC48DA,坡道平面,0,,
RPTPMLPKKIPFFCC68DA,一樓平面,0,,
RPWNMLOKKIPFFCC68DA,坡道平面,0,,
RPXNMLPKKIPFFBC78DA,坡道平面,0,,
RPUOMLPKKIPFFBC58DA,坡道平面,0,24.17,
RPXOMLPKKIPFFBC88DA,坡道平面,0,,
RPXNMLTKJIPFFCC56DA,坡道平面,0,,
RPOOMLNJKIPFFCC77DA,坡道平面,0,,
RPTOMLMJJIPFFCC08DA,坡道機械,0,20.76,
RPTNMLSKKIPFFCC78DA,一樓平面,0,,
RPQOMLQKKIPFFCC38DA,坡道平面,1850000,34.67,
RPROMLQKKIPFFCC48DA,坡道平面,1800000,34.67,
RPPOMLQKKIPFFCC28DA,坡道平面,1850000,34.67,
RPRPMLPKKIPFFCC48DA,坡道平面,0,,
RPRNMLSKKIPFFBC58EA,升降機械,600000,14.79,
RPQNMLRKKIPFFBC38EA,坡道平面,0,,
RPOOMLKMJIPFFBC57DA,坡道平面,1300000,17.88,
RPSOMLSJKIPFFCC68DA,坡道機械,0,,
RPSOMLTJKIPFFCC78DA,坡道平面,1200000,,
RPXNMLLLKIPFFBC48DA,坡道平面,0,30.84,
RPSOMLPKKIPFFBC38DA,坡道平面,0,,
RPTNMLLLKIPFFCC28EA,坡道機械,0,,
RPTNMLMLKIPFFBC28EA,坡道平面,0,,
RPVNMLSKKIPFFCC98DA,坡道平面,0,,
RPOQMLPKKIPFFCC28DA,坡道平面,1300000,23.92,
RPWNMLLLKIPFFCC48DA,坡道平面,0,,
RPQPMLLLKIPFFCC08DA,坡道平面,0,,
RPXNMLTJKIPFFBC09DA,坡道平面,0,,
RPTNMLSKKIPFFBC68DA,坡道平面,0,,
RPRNMLSLJIPFFBC48DA,坡道平面,1300000,35.43,
RPWNMLSKKIPFFBC98DA,坡道機械,0,21.77,
RPUNMLSLJIPFFBC78DA,坡道平面,1300000,35.43,
RPRNMLNLKIPFFCC28EA,坡道平面,0,33.13,
RPSNMLSKKIPFFCC68DA,坡道平面,0,,
RPSOMLSKKIPFFCC78DA,坡道平面,1500000,,
RPSPMLLLKIPFFCC28DA,坡道平面,0,41.84,
RPSNMLRKKIPFFCC68EA,坡道機械,500000,,
RPUNMLNLKIPFFBC38DA,坡道平面,0,,
RPTNMLLKKIPFFBC97DA,坡道平面,0,39.00,
RPWNMLLLKIPFFBC38DA,坡道機械,0,,
RPPNMLSLJIPFFBC28DA,坡道平面,900000,35.43,
RPUOMLTJKIPFFCC98DA,坡道平面,0,32.04,
RPQNMLSLJIPFFBC38DA,坡道平面,900000,35.43,
RPVOMLLJKIPFFBC18DA,坡道平面,1100000,35.43,
RPOOMLSKKIPFFBC28DA,坡道平面,0,34.70,
RPPNMLRKKIPFFCC38EA,坡道機械,600000,,
RPXNMLOLKIPFFCC88DA,坡道平面,0,15.87,
RPXNMLOLKIPFFCC88DA,坡道平面,0,15.87,
RPUOMLPKKIPFFCC68DA,升降機械,0,10.72,
RPPNMLOLKIPFFCC08DA,坡道平面,0,15.87,
RPROMLPLKIPFFCC48DA,坡道平面,0,,
RPTOMLSLKIPFFCC98DA,坡道平面,0,,
RPXOMLOLKIPFFCC98DA,坡道平面,0,12.75,
RPWNMLPLKIPFFCC88DA,坡道平面,0,,
RPWNMLRJKIPFFCC88DA,坡道平面,0,35.85,
RPPOMLNLKIPFFBC08EA,坡道平面,0,,
RPSNMLNLKIPFFBC18DA,坡道平面,0,,
RPPNMLSJKIPFFCC28DA,坡道平面,1500000,30.55,
RPPNMLSJKIPFFCC28DA,坡道平面,1500000,30.55,
RPXNMLPLKIPFFBC88DA,坡道平面,0,35.43,
RPSNMLSLKIPFFBC68DA,坡道平面,1400000,30.84,
RPWNMLSLKIPFFBC09DA,坡道平面,0,,
RPPNMLTLKIPFFBC58EA,坡道平面,1700000,31.82,
RPTNMLTLKIPFFBC98EA,坡道平面,0,34.98,
RPUNMLSKKIPFFBC78DA,升降機械,0,,
RPVNMLTLKIPFFCC66EA,坡道平面,1000000,46.69,
RPVNMLOKKIPFFCC58DA,坡道平面,0,12.10,
RPVNMLOKKIPFFCC58DA,坡道平面,0,,
RPSOMLOLKIPFFCC48DA,坡道平面,0,,
RPOPMLRKKIPFFCC38DA,坡道平面,1620000,36.79,
RPROMLTLKIPFFCC88DA,坡道平面,0,15.02,
RPRNMLLMKIPFFCC18EA,坡道平面,0,38.62,
RPSNMLLMKIPFFBC18EA,升降機械,600000,14.79,
RPTNMLRLJIPFFCC68DA,升降平面,0,15.76,
RPUPMLOLKIPFFBC68DA,坡道平面,1050000,35.96,
RPSPMLOLKIPFFBC48DA,坡道平面,1050000,35.96,
RPTPMLOLKIPFFBC58DA,坡道平面,1050000,35.96,
RPVPMLOLKIPFFBC78DA,坡道平面,1050000,35.96,
RPWPMLOLKIPFFBC88DA,坡道平面,1050000,35.96,
RPXPMLOLKIPFFBC98DA,坡道平面,1200000,35.96,
RPQOMLKMKIPFFBC87DA,坡道平面,0,,
RPSOMLKMKIPFFBC08DA,坡道平面,0,21.86,
RPVNMLLMKIPFFBC38DA,坡道平面,0,,
RPPNMLSLKIPFFBC48EA,坡道平面,1000000,15.80,
RPPOMLKMKIPFFCC87DA,坡道平面,0,,
RPQPMLTLKIPFFCC88DA,坡道平面,1300000,23.92,
RPXNMLKMKIPFFCC58DA,坡道平面,0,36.40,
RPSPMLTLKIPFFCC09DA,坡道機械,900000,15.16,
RPWNMLOJJHGGFCC67EA,坡道平面,0,20.78,
RPXNMLLMKIPFFCC68DA,坡道平面,1800000,34.67,
RPPNMLOJJHGGFBC76DA,坡道平面,0,,
RPPOMLKMKIPFFBC77DA,坡道平面,0,34.32,
SPTNMLSJKIPFFBC68DA,坡道平面,1100000,34.22,
SPTNMLSJKIPFFBC68DA,坡道平面,1100000,34.22,
RPTNMLSJKIPFFBC58DA,坡道平面,1070000,34.22,
TPTNMLSJKIPFFBC78DA,坡道平面,1080000,34.22,
TPTNMLSJKIPFFBC78DA,坡道平面,1080000,34.22,
UPTNMLSJKIPFFBC88DA,坡道平面,1080000,34.22,
UPTNMLSJKIPFFBC88DA,坡道平面,1080000,34.22,
VPTNMLSJKIPFFBC98DA,坡道平面,1050000,34.22,
XPTNMLSJKIPFFBC56DA,坡道平面,1080000,34.22,
WPTNMLSJKIPFFBC09DA,坡道平面,1000000,34.22,
WPTNMLSJKIPFFBC09DA,坡道平面,1050000,34.22,
RPROMLPJJHGGFCC27DA,一樓平面,0,,
RPVOMLPJJHGGFCC67DA,坡道平面,1200000,13.47,
RPVOMLPJJHGGFCC67DA,坡道平面,1200000,13.47,
RPUOMLPJJHGGFCC57DA,坡道平面,1200000,13.47,
RPWOMLPJJHGGFCC77DA,坡道平面,1300000,15.87,
RPXOMLPJJHGGFCC87DA,坡道平面,1200000,15.87,
RPOPMLPJJHGGFCC07DA,坡道平面,1200000,13.47,
RPOOMLPJJHGGFBC86DA,坡道平面,0,30.84,
RPROMLPJJHGGFBC17DA,坡道平面,0,30.84,
RPPOMLPJJHGGFBC96DA,坡道平面,0,30.84,
RPUNMLLMKIPFFBC28DA,坡道平面,0,,
RPROMLOLKIPFFBC28DA,升降機械,0,,
RPXOMLRJJHGGFCC18EA,坡道機械,0,,
RPXOMLRJJHGGFCC18EA,坡道機械,0,,
RPQPMLOJJHGGFCC17DA,坡道平面,1200000,27.47,
RPXNMLTLKIPFFCC86EA,坡道平面,900000,46.69,
