編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLRKKIPFFBC88CC,港濱段,.00,都市：住,,,,04260000
RPXNMLRKKIPFFBC09CC,港灣段二小段,.00,都市：住,,,,00440080
RPSOMLRKKIPFFBC68CC,光明段,.00,都市：住,,,,01330000
RPWOMLRKKIPFFBC09CC,延年段,.00,都市：住,,,,10400000
RPROMLRKKIPFFBC58CC,深澳段,.00,都市：住,,,,10170000
RPOOMLRKKIPFFBC28CC,深美段,.00,都市：住,,,,06780000
RPTOMLRKKIPFFCC88CC,安國段,.00,都市：住,,,,00010034
RPTOMLRKKIPFFBC78CC,長潭段,.00,都市：住,,,,08450003
RPSOMLRKKIPFFCC78CC,源遠段,.00,都市：住,,,,05940000
RPUOMLRKKIPFFBC88CC,培德段,.00,都市：住,,,,07670000
RPXOMLRKKIPFFCC66CC,過港段,.00,都市：住,,,,05860000
RPVOMLRKKIPFFCC09CC,武嶺段,.00,都市：住,,,,00990000
RPSPMLRKKIPFFCC88CC,新城段,.00,都市：住,,,,08580000
RPPPMLRKKIPFFCC58CC,新會段,.00,都市：住,,,,04850000
RPRPMLRKKIPFFCC78CC,麥金段,.00,都市：住,,,,05350000
RPXPMLRKKIPFFCC76CC,新會段,.00,都市：住,,,,02310000
RPTPMLRKKIPFFCC98CC,源遠段,.00,都市：住,,,,11280007
RPOOMLSKKIPFFCC48CC,麥金段,16.79,都市：住,,,,05250000
RPOOMLSKKIPFFCC48CC,麥金段,.02,都市：住,,,,05270001
RPOOMLSKKIPFFCC48CC,麥金段,.01,都市：住,,,,05290002
RPQPMLRKKIPFFCC68CC,明德段,.00,都市：住,,,,00860000
RPVPMLRKKIPFFCC56CC,暖暖段東勢坑小段,.00,都市：住,,,,08940000
RPUPMLRKKIPFFCC09CC,代天府段,.00,都市：住,,,,08370000
RPUPMLRKKIPFFCC09CC,代天府段,.00,都市：住,,,,08370006
RPVNMLNLKIPFFCC68CC,新會段,26.88,都市：住,,,,02120000
RPUNMLMLKIPFFCC58DC,源遠段,12.99,都市：住,,,,03660000
RPROMLKMKIPFFBC08CC,中正段二小段,307.00,都市：商,,,,00030000
RPPNMLNLKIPFFBC97CC,南新段,.00,都市：住,,,,11460000
RPVOMLQJJHGGFCC87CC,安國段,.00,都市：住,,,,00640001
RPUNMLTLKIPFFCC66DC,五堵段五堵北小段,36.99,都市：住,,,,06270000
RPOOMLRJJHGGFCC27CC,武嶺段,5.01,都市：其他:部分道路，部分住宅區,,,,04950000
RPOOMLRJJHGGFCC27CC,武嶺段,.05,都市：其他:道路,,,,04950001
RPOOMLRJJHGGFCC27CC,武嶺段,.04,都市：其他:道路,,,,04930000
RPOOMLRJJHGGFCC27CC,武嶺段,.07,都市：其他:道路,,,,04940000
RPOOMLRJJHGGFCC27CC,武嶺段,.12,都市：住,,,,04960000
RPOOMLRJJHGGFCC27CC,武嶺段,2.30,都市：其他:部分道路，部分住宅區,,,,04970000
RPOOMLRJJHGGFCC27CC,武嶺段,.01,都市：其他:道路,,,,04980000
RPOOMLRJJHGGFCC27CC,武嶺段,5.30,都市：其他:部分道路，部分住宅區,,,,04990000
RPOOMLRJJHGGFCC27CC,武嶺段,.12,都市：其他:道路,,,,04990001
RPOOMLRJJHGGFCC27CC,武嶺段,.05,都市：其他:道路,,,,05000000
RPOOMLRJJHGGFCC27CC,武嶺段,.20,都市：其他:道路,,,,05010000
RPOOMLRJJHGGFCC27CC,武嶺段,.02,都市：其他:部分道路，部分住宅區,,,,05010001
RPOOMLRJJHGGFCC27CC,武嶺段,.12,都市：其他:道路,,,,05020000
RPOOMLRJJHGGFCC27CC,武嶺段,.02,都市：住,,,,05020001
RPOOMLRJJHGGFCC27CC,武嶺段,.03,都市：其他:部分道路，部分住宅區,,,,05060000
RPOOMLRJJHGGFCC27CC,武嶺段,.00,都市：住,,,,05060001
RPOOMLRJJHGGFCC27CC,武嶺段,1.14,都市：住,,,,05100000
RPOOMLRJJHGGFCC27CC,武嶺段,.08,都市：其他:部分道路，部分住宅區,,,,05110000
RPOOMLRJJHGGFCC27CC,武嶺段,7.52,都市：住,,,,05120000
RPOOMLRJJHGGFCC27CC,武嶺段,.00,都市：其他:道路,,,,05120001
RPOOMLRJJHGGFCC27CC,武嶺段,1.70,都市：住,,,,05130000
RPOOMLRJJHGGFCC27CC,武嶺段,.02,都市：住,,,,05140000
RPOOMLRJJHGGFCC27CC,武嶺段,.06,都市：住,,,,05150000
RPOOMLRJJHGGFCC27CC,武嶺段,.03,都市：住,,,,05160000
RPOOMLRJJHGGFCC27CC,武嶺段,2.59,都市：住,,,,05170000
RPOOMLRJJHGGFCC27CC,武嶺段,.05,都市：住,,,,05190000
RPOOMLRJJHGGFCC27CC,武嶺段,.03,都市：住,,,,05240000
RPOOMLRJJHGGFCC27CC,武嶺段,.02,都市：住,,,,05250000
RPOOMLRJJHGGFCC27CC,武嶺段,.03,都市：住,,,,05270000
RPOOMLRJJHGGFCC27CC,武嶺段,.02,都市：住,,,,05280000
RPOOMLRJJHGGFCC27CC,武嶺段,.08,都市：其他:道路,,,,05280001
RPOOMLRJJHGGFCC27CC,武嶺段,.05,都市：住,,,,05290000
RPOOMLRJJHGGFCC27CC,武嶺段,.00,都市：其他:道路,,,,05290001
RPPOMLRJJHGGFCC37CC,新會段,.00,都市：住,,,,02310000
RPQOMLRJJHGGFCC47CC,新會段,.00,都市：住,,,,02030000
RPQOMLRJJHGGFCC47CC,新會段,.00,都市：住,,,,02040000
RPQOMLRJJHGGFCC47CC,新會段,.00,都市：住,,,,02060000
RPQOMLRJJHGGFCC47CC,新會段,.00,都市：住,,,,02080000
RPQOMLRJJHGGFCC47CC,新會段,.00,都市：住,,,,02090000
RPTOMLRJJHGGFCC87DC,大華段,.00,都市：住,,,,07570000
RPTNMLLMKIPFFBC28CC,忠義段六小段,.00,都市：住,,,,00300002
RPSOMLRJJHGGFCC67CC,暖暖段暖暖小段,.00,都市：住,,,,04400000
RPQPMLRJJHGGFCC67DC,源遠段,.00,都市：住,,,,11280008
RPUOMLRJJHGGFCC97DC,源遠段,.00,都市：住,,,,13280010
RPRPMLRJJHGGFCC77DC,西定段,.00,都市：住,,,,01090000
RPTPMLRJJHGGFCC97DC,太平段,.00,都市：住,,,,10290000
RPQOMLRJJHGGFBC47DC,港濱段,.00,都市：住,,,,08740000
RPQOMLRJJHGGFBC47DC,港濱段,.00,都市：住,,,,08750000
RPWPMLRJJHGGFCC28DC,代天府段,.00,都市：住,,,,08370000
RPWPMLRJJHGGFCC28DC,代天府段,.00,都市：住,,,,08370006
RPUOMLRJJHGGFBC87DC,長潭段,.00,都市：住,,,,08450003
RPSOMLRJJHGGFBC67DC,港濱段,.00,都市：住,,,,03920000
RPOQMLRJJHGGFCC57DC,太平段,.00,都市：住,,,,08340000
RPROMLRJJHGGFBC57DC,長潭段,.00,都市：住,,,,08450003
RPXOMLRJJHGGFBC18DC,中興段二小段,.00,都市：住,,,,00540000
RPPPMLRJJHGGFBC47DC,福祿段,.00,都市：住,,,,04990002
RPSPMLRJJHGGFBC77DC,深美段,.00,都市：住,,,,06560000
RPVNMLRJJHGGFBC77CC,長潭段,.00,都市：住,,,,08920000
RPTOMLRJJHGGFBC67CC,南新段,.00,都市：住,,,,04780009
RPTOMLRJJHGGFBC67CC,南新段,.00,都市：住,,,,04780010
RPWNMLSJJHGGFBC97CC,港濱段,.00,都市：住,,,,15100000
RPXNMLRJJHGGFBC97CC,長潭段,.00,都市：住,,,,08450003
RPPOMLRJJHGGFBC27CC,東明段,.00,都市：住,,,,03930000
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,00680075
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,00680076
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,00980000
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,00990000
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,01000000
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,01010000
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,01170008
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,01170009
RPWNMLSJJHGGFCC08CC,觀音段,.00,都市：住,,,,01170010
RPQNMLKKJHGGFCC76CC,情人湖段,.00,都市：住,,,,01350000
RPPNMLKKJHGGFBC56CC,東明段,.00,都市：住,,,,04940002
RPRNMLKKJHGGFBC76CC,中央段二小段,.00,都市：住,,,,01160000
RPRNMLKKJHGGFBC76CC,中央段二小段,.00,都市：住,,,,01170000
RPQNMLTJJHGGFCC57CC,觀音段,.00,都市：住,,,,01050000
RPRNMLTJJHGGFCC67CC,麥金段,.00,都市：住,,,,07470000
RPSNMLKKJHGGFBC86CC,福祿段,.00,都市：住,,,,09170000
RPUNMLKKJHGGFBC07CC,調和段,.00,都市：住,,,,14150000
RPQNMLKKJHGGFBC66CC,深美段,.00,都市：住,,,,08150000
RPOOMLPKJHGGFBC17DC,日新段三小段,.00,都市：商,,,,00010013
RPOOMLPKJHGGFBC17DC,日新段三小段,.00,都市：商,,,,00010005
RPUOMLSKJHGGFCC08CC,武嶺段,.00,都市：住,,,,05290001
RPUOMLSKJHGGFCC08CC,武嶺段,.06,都市：住,,,,05290000
RPUOMLSKJHGGFCC08CC,武嶺段,.11,都市：其他:道路用地,,,,05280001
RPUOMLSKJHGGFCC08CC,武嶺段,.02,都市：住,,,,05280000
RPUOMLSKJHGGFCC08CC,武嶺段,.04,都市：住,,,,05270000
RPUOMLSKJHGGFCC08CC,武嶺段,.02,都市：住,,,,05250000
RPUOMLSKJHGGFCC08CC,武嶺段,.03,都市：住,,,,05240000
RPUOMLSKJHGGFCC08CC,武嶺段,.07,都市：住,,,,05190000
RPUOMLSKJHGGFCC08CC,武嶺段,3.42,都市：住,,,,05170000
RPUOMLSKJHGGFCC08CC,武嶺段,.03,都市：住,,,,05160000
RPUOMLSKJHGGFCC08CC,武嶺段,.07,都市：住,,,,05150000
RPUOMLSKJHGGFCC08CC,武嶺段,.02,都市：住,,,,05140000
RPUOMLSKJHGGFCC08CC,武嶺段,2.24,都市：住,,,,05130000
RPUOMLSKJHGGFCC08CC,武嶺段,.00,都市：其他:道路用地,,,,05120001
RPUOMLSKJHGGFCC08CC,武嶺段,9.94,都市：住,,,,05120000
RPUOMLSKJHGGFCC08CC,武嶺段,.10,都市：其他:部分道路用地 部分住宅區,,,,05110000
RPUOMLSKJHGGFCC08CC,武嶺段,1.50,都市：住,,,,05100000
RPUOMLSKJHGGFCC08CC,武嶺段,.00,都市：住,,,,05060001
RPUOMLSKJHGGFCC08CC,武嶺段,.03,都市：其他:部分道路用地 部分住宅區,,,,05060000
RPUOMLSKJHGGFCC08CC,武嶺段,.02,都市：住,,,,05020001
RPUOMLSKJHGGFCC08CC,武嶺段,.15,都市：其他:道路用地,,,,05020000
RPUOMLSKJHGGFCC08CC,武嶺段,.02,都市：其他:部分道路用地 部分住宅區,,,,05010001
RPUOMLSKJHGGFCC08CC,武嶺段,.27,都市：其他:道路用地,,,,05010000
RPUOMLSKJHGGFCC08CC,武嶺段,.06,都市：其他:道路用地,,,,05000000
RPUOMLSKJHGGFCC08CC,武嶺段,.15,都市：住,,,,04990001
RPUOMLSKJHGGFCC08CC,武嶺段,7.00,都市：其他:道路用地,,,,04990000
RPUOMLSKJHGGFCC08CC,武嶺段,.01,都市：其他:道路用地,,,,04980000
RPUOMLSKJHGGFCC08CC,武嶺段,3.04,都市：住,,,,04970000
RPUOMLSKJHGGFCC08CC,武嶺段,.15,都市：住,,,,04960000
RPUOMLSKJHGGFCC08CC,武嶺段,.06,都市：其他:道路用地,,,,04950001
RPUOMLSKJHGGFCC08CC,武嶺段,6.62,都市：住,,,,04950000
RPUOMLSKJHGGFCC08CC,武嶺段,.08,都市：其他:道路用地,,,,04940000
RPUOMLSKJHGGFCC08CC,武嶺段,.05,都市：其他:道路用地,,,,04930000
RPXNMLSKJHGGFBC28DC,忠義段二小段,.00,都市：商,,,,00180004
RPXNMLSKJHGGFBC28DC,忠義段二小段,.00,都市：商,,,,00190003
RPWNMLTKJHGGFCC28CC,麥金段,.00,都市：住,,,,07470000
RPOOMLTKJHGGFCC57CC,新會段,.00,都市：住,,,,05080000
RPVNMLKKJHGGFBC17CC,長潭段,.00,都市：住,,,,08350000
RPTOMLTKJHGGFCC08CC,觀音段,.00,都市：住,,,,05990000
RPTOMLTKJHGGFCC08CC,觀音段,.00,都市：住,,,,05990002
RPXNMLTKJHGGFCC38CC,情人湖段,26.21,都市：住,,,,00350000
RPXNMLTKJHGGFCC38CC,情人湖段,.08,都市：其他:道路用地,,,,00350001
RPPOMLTKJHGGFCC67CC,麥金段,10.37,都市：住,,,,05250000
RPPOMLTKJHGGFCC67CC,麥金段,.01,都市：住,,,,05270001
RPPOMLTKJHGGFCC67CC,麥金段,.00,都市：住,,,,05290002
RPROMLTKJHGGFCC87CC,麥金段,.00,都市：住,,,,06130000
RPOPMLTKJHGGFCC67CC,新城段,.00,都市：住,,,,06530000
RPVPMLTKJHGGFCC38CC,麥金段,.00,都市：住,,,,05350000
RPUPMLTKJHGGFCC28CC,工建段,.00,都市：住,,,,05120000
RPXNMLTKJHGGFBC28CC,東信段二小段,.00,都市：住,,,,00060003
RPUOMLTKJHGGFCC18CC,大華段,.00,都市：住,,,,17150000
RPXPMLTKJHGGFCC58CC,新城段,.00,都市：住,,,,04650000
RPXPMLTKJHGGFCC58CC,新城段,.00,都市：住,,,,04810000
RPOOMLTKJHGGFBC47CC,調和段,.00,都市：住,,,,14140000
RPWNMLTKJHGGFBC18CC,南新段,.00,都市：住,,,,11470000
RPPOMLTKJHGGFBC57CC,南新段,.00,都市：住,,,,11470000
RPSOMLTKJHGGFBC87CC,調和段,.00,都市：住,,,,14130000
RPXNMLMLJHGGFCC77CC,武訓段,239.14,都市：工,,,,03210000
RPQOMLTKJHGGFBC67CC,深美段,.00,都市：住,,,,06560000
RPVOMLTKJHGGFBC18CC,調和段,.00,都市：住,,,,11250000
RPXNMLPLJHGGFCC08CC,源遠段,.00,都市：住,,,,11250003
RPPOMLMLJHGGFBC96CC,長潭段,.00,都市：住,,,,09750006
RPQOMLMLJHGGFBC07CC,成功段,.00,都市：住,,,,09400000
RPVNMLMLJHGGFCC57CC,工建段,1088.00,都市：工,,,,08200000
RPVNMLMLJHGGFCC57CC,工建段,103.00,都市：其他:道路用地,,,,08200001
RPWNMLLJKHGGFCC57DC,麥金段,15.56,都市：住,,,,06130000
RPWNMLLJKHGGFCC57DC,麥金段,.45,都市：其他:保護區,,,,06130001
RPPOMLMJKHGGFBC86CC,成功段,8.00,都市：商,,,,09700000
RPPOMLMJKHGGFBC86CC,成功段,1.40,都市：商,,,,09700001
RPWNMLMJKHGGFBC47CC,培德段,.00,都市：住,,,,00100000
RPSOMLNJKHGGFCC37CC,觀音段,972.00,都市：商,,,,01810001
RPQOMLPLJHGGFBC37CC,調和段,.00,都市：住,,,,14130000
RPWNMLMJKHGGFCC57CC,榮華段,.00,都市：住,,,,12390000
RPQOMLPJKHGGFCC37CC,台五線段,.00,都市：住,,,,07920000
RPROMLPJKHGGFCC47CC,麥金段,.00,都市：住,,,,03750000
RPVNMLMJKHGGFBC37CC,東明段,.00,都市：住,,,,02930000
RPVOMLPJKHGGFCC87CC,新城段,.00,都市：住,,,,09860000
RPPOMLPJKHGGFBC17CC,港灣段三小段,.00,都市：住,,,,00060006
RPVNMLSJKHGGFBC97CC,南新段,.00,都市：住,,,,04780025
RPVNMLSJKHGGFBC97CC,南新段,.00,都市：住,,,,04780127
RPVNMLSJKHGGFBC97CC,南新段,.00,都市：住,,,,04780128
RPWNMLPJKHGGFBC77CC,調和段,.00,都市：住,,,,11250000
RPSOMLPJKHGGFCC57CC,源遠段,.00,都市：住,,,,11280008
RPTOMLPJKHGGFCC67CC,工建段,.00,都市：住,,,,05180004
RPOOMLPJKHGGFBC07CC,長潭段,.00,都市：住,,,,08450003
RPOOMLSJKHGGFBC37CC,調和段,.00,都市：住,,,,11250000
RPQOMLSJKHGGFBC57CC,成功段,.00,都市：住,,,,10940031
RPQOMLSJKHGGFBC57CC,成功段,.00,都市：住,,,,11790000
RPPOMLSJKHGGFBC47CC,和平段,.00,非都市： ; 非都市編定：,,,,07280000
RPROMLSJKHGGFBC67CC,東信段二小段,.00,都市：住,,,,00060000
RPTOMLSJKHGGFBC87CC,成功段,.00,都市：住,,,,09560000
RPVNMLTJKHGGFCC18CC,源遠段,.00,都市：住,,,,11280002
RPVOMLSJKHGGFBC08CC,東信段一小段,.00,都市：住,,,,00460064
RPVOMLSJKHGGFBC08CC,東信段一小段,.00,都市：住,,,,00370005
RPXNMLSJKHGGFCC28CC,代天府段,.00,都市：住,,,,06340000
RPXNMLTJKHGGFCC38CC,德育段,.00,都市：住,,,,01660000
RPUNMLTJKHGGFBC97CC,東信段二小段,.00,都市：住,,,,00080000
RPTNMLRKKHGGFBC77CC,港濱段,.00,都市：住,,,,05030000
RPQOMLRKKHGGFBC57CC,長潭段,.00,都市：住,,,,08920000
RPOOMLRKKHGGFBC37CC,長潭段,.00,都市：住,,,,08920000
RPPOMLRKKHGGFBC47CC,長潭段,.00,非都市： ; 非都市編定：,,,,08450003
RPSNMLRKKHGGFBC67CC,東明段,.00,都市：住,,,,05110002
RPWOMLRKKHGGFBC18CC,東明段,.00,都市：住,,,,05110002
RPUNMLRKKHGGFBC87CC,長潭段,.00,都市：住,,,,08920000
RPROMLRKKHGGFBC67CC,深澳段,.00,都市：住,,,,01200000
RPXOMLRKKHGGFBC28CC,深澳段,.00,都市：住,,,,00990000
RPXOMLRKKHGGFBC28CC,深澳段,.00,都市：住,,,,01000000
RPUOMLRKKHGGFBC97CC,長潭段,.00,都市：住,,,,08920000
RPSNMLRKKHGGFCC77CC,代天府段,.00,都市：住,,,,06040000
RPOPMLRKKHGGFBC47CC,長潭段,.00,都市：住,,,,08450003
RPXNMLTKKHGGFCC48CC,過港段,.00,都市：住,,,,03650000
RPSOMLRKKHGGFCC87CC,源遠段,.00,都市：住,,,,11280008
RPUNMLTKKHGGFCC18CC,新會段,.00,都市：住,,,,02310000
RPXNMLTKKHGGFBC38CC,長潭段,.00,都市：住,,,,08450003
