編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLKKIPFFAF68CC,,31.04,住家用,鋼骨混凝土造,,十五層,
RPXNMLLKKIPFFAF68CC,28,6.59,見使用執照,鋼骨造,81年8月8日,十五層,
RPXNMLLKKIPFFAF68CC,28,3.23,共有部分,鋼骨混凝土造,81年8月8日,十五層,
RPSSMLLKKIPFFAF68CC,10,60.97,住家用,鋼筋混凝土造,99年12月28日,十二層,
RPSSMLLKKIPFFAF68CC,10,11.17,本共有項目有：管理委員會使用空間（一）、管理委員會使用空間（二）、騎樓、陽台、梯廳、梯廳Ａ、梯廳Ｂ、梯廳Ｃ、電梯機房、水箱、防空避難室兼停車空間、消防水箱、停車空間、汽車車道、樓梯及通道、台電配電場所、電信機房、發電機機房、消防機房、污水機房等二十項。,鋼筋混凝土造,99年12月28日,十二層,
RPSSMLLKKIPFFAF68CC,10,10.20,本共有項目有：Ｃ梯、梯廳等二項。,鋼筋混凝土造,99年12月28日,十二層,
RPTVMLLKKIPFFBF56CC,4,85.89,集合住宅,鋼筋混凝土造,106年1月4日,十九層,
RPTVMLLKKIPFFBF56CC,4,54.10,本共有部分之項目有停車空間、梯廳、電錶室、垃圾暫存室、垃圾集中室、台電配電場所、發電機室、管委會使用空間、電信機房、泳池蓄水池、蓄水池、消防幫浦室、進風機房、排風機房、門廊、廁所、樓電梯間、車道、防災中心、機電空間、中繼機房、大廳、陽台、樓梯間、機械室等２５項。,鋼筋混凝土造,106年1月4日,十九層,
RPTVMLLKKIPFFBF56CC,4,21.80,本共有部分之項目有樓電梯間、梯廳、樓梯間、機械室等４項。,鋼筋混凝土造,106年1月4日,十九層,
RPSVMLLKKIPFFBF09CC,30,194.45,住家用,鋼筋混凝土造,79年7月9日,十層,
RPUSMLLKKIPFFAF88CC,24,84.55,住家用,鋼筋混凝土造,86年2月2日,七層,
RPSVMLLKKIPFFBF09CC,30,5.64,共有部分,鋼筋混凝土造,79年7月9日,十層,
RPUSMLLKKIPFFAF88CC,24,24.61,共有部分,鋼筋混凝土造,86年2月2日,七層,
RPVVMLLKKIPFFBF76CC,4,45.00,本共有部分之項目有：自行車空間、梯廳、梯間、陽台、雨遮、管委會空間、防空避難室兼停車空間、排煙室、台電配電場所、垃圾儲藏空間、垃圾車暫停車位、機坑、電信機房、停車空間、蓄水池、發電機房、機房、消防機房等１８項。,鋼筋混凝土造,106年4月19日,十五層,
RPVVMLLKKIPFFBF76CC,4,13.26,本共有部分之項目有：排煙室、梯廳、梯間、機械室、水箱等５項。,鋼筋混凝土造,106年4月19日,十五層,
RPVVMLLKKIPFFBF76CC,4,72.80,集合住宅,鋼筋混凝土造,106年4月19日,十五層,
RPVNMLLKKIPFFDF78CC,26,41.50,住家用,鋼筋混凝土造,83年10月24日,十六層,
RPVNMLLKKIPFFDF78CC,26,5.28,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPVNMLLKKIPFFDF78CC,26,10.92,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPVNMLLKKIPFFDF78CC,26,1.78,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPUQMLLKKIPFFAF68CC,27,98.64,住家用,鋼筋混凝土造,82年9月6日,七層,
RPUQMLLKKIPFFAF68CC,27,13.07,共有部分,鋼筋混凝土造,83年3月1日,十一層,
RPUQMLLKKIPFFAF68CC,27,4.16,共有部分,鋼筋混凝土造,83年3月1日,十一層,
RPUQMLLKKIPFFAF68CC,27,22.00,共有部分,鋼筋混凝土造,83年3月1日,十一層,
RPQSMLLKKIPFFAF48CC,,74.25,住家用,鋼筋混凝土造,,五層,
RPOSMLLKKIPFFAF28CC,10,35.20,住家用,鋼骨構造,99年7月15日,四十層,
RPOSMLLKKIPFFAF28CC,10,31.50,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPOSMLLKKIPFFAF28CC,10,3.87,本共有部分之項目有：頂蓋型開放空間、電梯、樓梯間、社區服務空間１．２．３、廁所、走廊、機車停車空間、梯廳、排煙室、社區服務空間健身房、梯間、機房、機車車道、高壓電表室、發電機室、機械室、電信機房、停車空間、健身房機械室等１９項,鋼骨構造,99年7月15日,四十六層,
RPOSMLLKKIPFFAF28CC,10,13.34,本共有部分之項目有：梯廳、電梯、樓梯間、升降機緩衝機坑、自來水箱、消防水箱、機械室、水箱、排煙室、走廊、梯間、電樓梯間等１２項,鋼骨構造,99年7月15日,四十層,
RPXOMLLKKIPFFDF09CC,22,90.62,住家用,鋼筋混凝土造,88年1月18日,十七層,
RPXOMLLKKIPFFDF09CC,22,12.81,共有部分,鋼筋混凝土造,88年1月18日,十七層,
RPXOMLLKKIPFFDF09CC,22,5.57,共有部分,鋼筋混凝土造,88年1月18日,十七層,
RPSQMLLKKIPFFEF88CC,1,44.53,集合住宅,鋼筋混凝土造,108年8月22日,二十九層,
RPSQMLLKKIPFFEF88CC,1,20.59,共有部分，本共有部分之項目有梯廳、排煙室、Ａ棟弱電管道室、ＡＢ棟公共樓梯、Ｄ棟弱電管道室、ＣＤ棟公共樓梯、頂蓋式通廊、防災中心、管委會使用空間、機房、泳池機房、男更衣室、女更衣室、烤箱、蒸氣室、兒童戲水區、長泳區、湯池、看台區、宅配室、儲藏室、電管道室、電錶室、水消撒管道室、水錶室、通道、機械室、消防中繼機房、消防中繼水箱、樓梯間、自來水箱、消防專用屋頂水箱暨中繼水箱、排氣機房、台電配電室、受電箱通道、小公變電室、電信室、消防水箱、緊急發電機房兼大公變電室、電表室、儲油間、排風管道、垃圾儲藏室、排風機房、進氣機房、防空避難室兼停車空間、噴泉池機房、泵浦區、騎樓、陽台、雨遮、游泳池專用水箱、機電設備空間、停車空間、進風機房、Ａ棟水箱、Ｄ棟水箱、雨水過濾機房、Ｂ棟水箱、Ｃ棟水箱、消防泵浦機房等６１項,鋼筋混凝土造,108年8月22日,二十九層,
