編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLOKKIPFFBJ96CC,坡道平面,0,,
RPWPMLOKKIPFFBJ96CC,坡道平面,0,,
RPQOMLOKKIPFFBJ88CC,坡道機械,0,18.82,
RPPOMLOKKIPFFBJ78CC,坡道平面,0,29.02,
RPTNMLRKKIPFFDJ96CC,坡道平面,0,,地下一樓
RPUUMLRKKIPFFBJ57CC,坡道機械,0,18.82,
RPPOMLRKKIPFFBJ09CC,坡道平面,0,,
RPPOMLRKKIPFFBJ09CC,坡道平面,0,,
RPOOMLOKKIPFFDJ88CC,其他,0,,
RPUPMLNLKIPFFBJ76CC,坡道平面,0,,
RPVPMLNLKIPFFBJ86CC,坡道平面,0,,
RPVPMLLMKIPFFBJ76CC,坡道平面,0,18.69,
RPVPMLLMKIPFFBJ76CC,坡道平面,0,18.69,
RPUPMLQJJHGGFBJ48CC,坡道平面,0,31.34,
RPWNMLLKJHGGFBJ08CC,坡道機械,0,,地下一樓
RPWNMLLKJHGGFBJ08CC,坡道機械,0,,地下一樓
RPUPMLSJJHGGFBJ68CC,坡道平面,0,,
RPWNMLMKJHGGFBJ18CC,坡道平面,0,34.85,地下二樓
RPWNMLMKJHGGFBJ18CC,坡道平面,0,34.85,地下二樓
RPQPMLPKJHGGFBJ08CC,坡道機械,0,,
RPUPMLPKJHGGFBJ48CC,坡道平面,0,,
RPORMLSKJHGGFBJ38CC,坡道平面,0,,
RPUPMLPLJHGGFCJ68CC,坡道平面,0,,
RPQNMLOKKIPFFBJ78CC,坡道平面,0,28.17,地下一樓
RPQOMLRLJHGGFBJ28CC,坡道平面,0,,
RPQOMLRLJHGGFBJ28CC,坡道平面,0,,
RPPOMLRLJHGGFBJ18CC,坡道平面,0,,
RPPOMLRLJHGGFBJ18CC,坡道平面,0,,
RPRPMLPLJHGGFBJ28CC,坡道平面,0,,地下四樓
RPRPMLPLJHGGFBJ28CC,坡道平面,0,,地下四樓
RPSOMLRLJHGGFBJ48CC,坡道平面,0,,
RPROMLRLJHGGFBJ38CC,坡道平面,0,,
RPTPMLPLJHGGFBJ48CC,坡道平面,0,38.66,
RPPPMLLJKHGGFBJ57CC,坡道平面,0,,
RPPPMLLJKHGGFBJ57CC,坡道平面,0,,
RPPPMLPJKHGGFBJ97CC,坡道平面,0,26.87,
RPSNMLOJKHGGFBJ97CC,坡道平面,0,,
RPSQMLSJKHGGFBJ68CC,坡道平面,0,38.62,
RPVNMLOLKHGGFBJ48CC,坡道平面,0,,
RPUNMLOLKHGGFBJ38CC,坡道平面,0,,
RPUNMLOLKHGGFBJ38CC,坡道平面,0,,
RPWNMLOLKHGGFBJ58CC,坡道平面,0,,
RPXNMLPLKHGGFBJ78CC,坡道平面,0,,
RPQNMLSLKHGGFBJ38CC,坡道平面,0,64.22,
RPSNMLPJLHGGFDJ48DC,坡道平面,0,,
RPRNMLSJLHGGFDJ58CC,坡道機械,0,10.44,
