編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJKIPFFAK98DA,南洗水段,1713.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,13530000
RPPNMLTJKIPFFAK98DA,南洗水段,3727.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,13530001
RPQNMLTJKIPFFAK09DA,麻必浩段,7970.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09450000
RPQNMLTJKIPFFAK09DA,麻必浩段,1010.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09460000
RPPPMLSJKIPFFBK56DA,大倫段,49.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,672,持分移轉,04750000
RPXOMLSJKIPFFBK27DA,大倫段,19.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,20000,537,持分移轉,04750000
RPXOMLSJKIPFFBK27DA,大倫段,19.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,20000,537,持分移轉,04750000
RPSNMLTJKIPFFBK76DA,大倫段,39.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,540,持分移轉,04750000
RPPNMLTJKIPFFBK09DA,福麗段,106.00,都市：其他:住宅區,1,1,全筆移轉,05170001
RPWOMLSJKIPFFBK17DA,新岡段,126.08,都市：其他:乙種工業區,1,1,全筆移轉,02500015
RPWOMLSJKIPFFBK17DA,新岡段,17.56,都市：其他:乙種工業區,1,1,全筆移轉,02780004
RPTNMLTJKIPFFBK86DA,大倫段,50.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,679,持分移轉,04750000
RPWNMLTJKIPFFBK17DA,大倫段,39.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,535,持分移轉,04750000
RPRNMLTJKIPFFCK76DA,福田段,245.60,都市：其他:商業區,1,1,全筆移轉,03980000
RPRNMLTJKIPFFCK76DA,福田段,330.33,都市：其他:商業區,1,1,全筆移轉,04010000
RPUNMLSJKIPFFCK96DA,大埔北段,2655.12,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02200000
RPUNMLSJKIPFFCK96DA,大埔北段,486.48,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02510000
RPXNMLTJKIPFFBK27DA,大倫段,39.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,540,持分移轉,04750000
RPTNMLKLIIPFFDK78DA,大同段,519.44,都市：其他:第一種住宅區,2785039940,1116040380,持分移轉,11650000
RPTNMLKLIIPFFDK78DA,大同段,519.44,都市：其他:第一種住宅區,2785039940,1116040380,持分移轉,11650000
RPQNMLTJKIPFFBK56DA,大倫段,19.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,20000,537,持分移轉,04750000
RPQNMLTJKIPFFBK56DA,大倫段,19.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,20000,537,持分移轉,04750000
RPQNMLKKJIPFFDK48DA,仁德段,30.55,都市：其他:住宅區,21389,3055,持分移轉,10630000
RPQNMLKKJIPFFDK48DA,仁德段,81.00,都市：其他:住宅區,1,1,全筆移轉,10630019
RPWNMLMJKIPFFDK66DA,新山佳段,206.32,都市：其他:道路用地,4734,1317,持分移轉,03670000
RPWNMLMJKIPFFDK66DA,新山佳段,4.03,都市：其他:道路用地,4734,1317,持分移轉,04050000
RPSNMLRJKIPFFDK76DA,廣源段,85.80,非都市：一般農業區 ; 非都市編定：農牧用地,10000,658,持分移轉,14620000
RPSNMLRJKIPFFDK76DA,廣源段,602.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15500000
RPSNMLOJKIPFFDK09DA,大同段,25.70,都市：其他:第一種住宅區,100000,1073,持分移轉,13200000
RPRNMLTJKIPFFBK66DA,大倫段,39.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,535,持分移轉,04750000
