編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLTLJHGGFFK66CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPVNMLTLJHGGFFK66CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPOOMLTLJHGGFFK68CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPOOMLTLJHGGFFK68CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPWNMLTLJHGGFFK76CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPWNMLTLJHGGFFK76CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPPOMLTLJHGGFFK78CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPPOMLTLJHGGFFK78CB,仁愛段,2.03,都市：住,10000,2,持分移轉,00460000
RPXNMLTLJHGGFFK86CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPXNMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPWOMLTLJHGGFFK86CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPWOMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPQOMLTLJHGGFFK88CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPQOMLTLJHGGFFK88CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPVOMLTLJHGGFFK76CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPVOMLTLJHGGFFK76CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPRPMLTLJHGGFFK09CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPRPMLTLJHGGFFK09CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPXOMLTLJHGGFFK96CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPXOMLTLJHGGFFK96CB,仁愛段,2.03,都市：住,10000,2,持分移轉,00460000
RPVPMLTLJHGGFFK86CB,仁愛段,26.35,都市：住,10000,26,持分移轉,00460000
RPVPMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
RPSPMLTLJHGGFFK56CB,仁愛段,34.46,都市：住,10000,34,持分移轉,00460000
RPSPMLTLJHGGFFK56CB,仁愛段,1.01,都市：住,10000,1,持分移轉,00460000
