編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLOJJIPFFAM78DA,8,248.43,人行道、店舖、住宅,鋼筋混凝土造,101年9月4日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮
RPRNMLQLJIPFFAM56DA,1,74.50,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 陽台
RPRNMLQLJIPFFAM56DA,1,74.50,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 陽台
RPSNMLQLJIPFFAM66DA,1,148.82,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 陽台
RPPNMLRLJIPFFAM09DA,1,153.75,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 陽台
RPTNMLQLJIPFFAM76DA,1,153.75,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 陽台
RPOPMLMJKIPFFAM58DA,,80.28,集合住宅,鋼筋混凝土造,109年10月7日,七層,七層 陽台
RPOPMLMJKIPFFAM58DA,,34.75,集合住宅,鋼筋混凝土造,109年10月7日,七層,
RPUNMLRJKIPFFAM86DA,,59.80,集合住宅,鋼筋混凝土造,109年9月7日,五層,三層 陽台
RPUNMLRJKIPFFAM86DA,,16.24,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPWNMLRJKIPFFAM07DA,,59.80,集合住宅,鋼筋混凝土造,109年9月7日,五層,二層 陽台
RPWNMLRJKIPFFAM07DA,,16.24,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPQOMLRJKIPFFAM56DA,,59.80,集合住宅,鋼筋混凝土造,109年9月7日,五層,三層 陽台
RPQOMLRJKIPFFAM56DA,,16.24,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPSOMLRJKIPFFAM76DA,,29.90,集合住宅,鋼筋混凝土造,109年9月7日,五層,四層 陽台
RPSOMLRJKIPFFAM76DA,,29.90,集合住宅,鋼筋混凝土造,109年9月7日,五層,四層 陽台
RPSOMLRJKIPFFAM76DA,,8.12,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPSOMLRJKIPFFAM76DA,,8.12,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPROMLRJKIPFFAM66DA,,41.86,集合住宅,鋼筋混凝土造,109年9月7日,五層,四層 陽台
RPROMLRJKIPFFAM66DA,,17.94,集合住宅,鋼筋混凝土造,109年9月7日,五層,四層 陽台
RPROMLRJKIPFFAM66DA,,11.37,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPROMLRJKIPFFAM66DA,,4.87,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPRNMLRJKIPFFAM56DA,,59.80,集合住宅,鋼筋混凝土造,109年9月7日,五層,二層 陽台
RPRNMLRJKIPFFAM56DA,,16.24,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPQNMLNKJIPFFBM78DA,3,179.13,住宅、樓梯間,鋼筋混凝土造,106年6月13日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLRJKIPFFAM09DA,,25.70,集合住宅,鋼筋混凝土造,109年9月7日,五層,一層
RPQNMLRJKIPFFAM09DA,,25.70,集合住宅,鋼筋混凝土造,109年9月7日,五層,一層
RPQNMLRJKIPFFAM09DA,,8.12,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPQNMLRJKIPFFAM09DA,,8.12,停車空間、樓梯間,鋼筋混凝土造,109年9月7日,五層,
RPWOMLRJKIPFFAM17DA,24,107.42,住家用,鋼筋混凝土造,86年3月5日,三層,一層 二層 三層
RPWOMLMJKIPFFAM66DA,,61.65,集合住宅,鋼筋混凝土造,109年10月7日,七層,七層 陽台
RPWOMLMJKIPFFAM66DA,,26.68,集合住宅,鋼筋混凝土造,109年10月7日,七層,
RPTNMLLJKIPFFBM88DA,4,104.10,住家用,鋼筋混凝土造,105年8月22日,四層,一層 二層 三層 四層 陽台
RPTNMLLJKIPFFBM88DA,4,104.10,住家用,鋼筋混凝土造,105年8月22日,四層,一層 二層 三層 四層 陽台
RPPNMLRKJIPFFBM09DA,25,122.08,住家用,鋼筋混凝土造,85年1月12日,十層,八層 陽台
RPPNMLRKJIPFFBM09DA,25,61.80,防空避難室兼停車場、梯間、屋頂突出物,鋼筋混凝土造,85年1月12日,十層,
RPSNMLNKJIPFFBM98DA,27,79.03,住家用,鋼筋混凝土造,83年3月16日,七層,二層 陽台 花台 雨遮
RPSNMLNKJIPFFBM98DA,27,23.17,防空避難室、梯間、屋頂突出物,鋼筋混凝土造,83年3月16日,七層,
RPRNMLRJKIPFFDM86DA,40,93.32,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層 騎樓
RPPOMLMJKIPFFCM78DA,25,172.55,住家用,鋼筋混凝土造,84年9月14日,四層,一層 二層 三層 四層 陽台 平台 露台 花台
RPQNMLSJKIPFFDM86DA,33,105.00,住商用,鋼筋混凝土加強磚造,76年6月29日,二層,一層 二層 騎樓
RPXNMLSJKIPFFAM37EA,28,64.66,住家用,鋼筋混凝土造,82年3月22日,八層,二層 陽台
