編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSRMLSKRHPFFAO08DA,,33.48,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,五層 陽台
RPSRMLSKRHPFFAO08DA,,33.48,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,五層 陽台
RPSRMLSKRHPFFAO08DA,,34.85,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPSRMLSKRHPFFAO08DA,,34.85,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVRMLSKRHPFFAO38DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十層 陽台
RPVRMLSKRHPFFAO38DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPURMLSKRHPFFAO28DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,七層 陽台
RPURMLSKRHPFFAO28DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPTSMLSKRHPFFAO28DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十五層 陽台
RPTSMLSKRHPFFAO28DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPSNMLTKRHPFFAO77DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,三層 陽台
RPSNMLTKRHPFFAO77DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPUNMLTKRHPFFAO97DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,五層 陽台
RPUNMLTKRHPFFAO97DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVSMLSKRHPFFAO48DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十七層 陽台
RPVSMLSKRHPFFAO48DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPSSMLSKRHPFFAO18DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十四層 陽台
RPSSMLSKRHPFFAO18DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVNMLTKRHPFFAO08DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,六層 陽台
RPVNMLTKRHPFFAO08DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVOMLTKRHPFFAO18DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十六層 陽台
RPVOMLTKRHPFFAO18DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPWNMLTKRHPFFAO18DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,七層 陽台
RPWNMLTKRHPFFAO18DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPWOMLTKRHPFFAO28DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十七層 陽台
RPWOMLTKRHPFFAO28DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPXOMLTKRHPFFAO38DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十八層 陽台
RPXOMLTKRHPFFAO38DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPOMLTKRHPFFAO57DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十層 陽台
RPPOMLTKRHPFFAO57DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPPMLTKRHPFFAO67DA,,44.71,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,二十層 陽台
RPQOMLTKRHPFFAO67DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十一層 陽台
RPPPMLTKRHPFFAO67DA,,44.71,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,二十層 陽台
RPQOMLTKRHPFFAO67DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPPMLTKRHPFFAO67DA,,40.55,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPPMLTKRHPFFAO67DA,,40.55,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPQPMLTKRHPFFAO77DA,,89.42,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,二十一層 陽台
RPQPMLTKRHPFFAO77DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPOTMLSKRHPFFAO87DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,二十層 陽台
RPOTMLSKRHPFFAO87DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPXOMLLLRHPFFAO67DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十二層 陽台
RPXOMLLLRHPFFAO67DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPOPMLLLRHPFFAO86DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十三層 陽台
RPOPMLLLRHPFFAO86DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPOQMLLLRHPFFAO96DA,,45.27,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,三層 陽台
RPOQMLLLRHPFFAO96DA,,45.27,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,三層 陽台
RPOQMLLLRHPFFAO96DA,,40.98,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPOQMLLLRHPFFAO96DA,,40.98,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPRPMLLLRHPFFAO17DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十七層 陽台
RPRPMLLLRHPFFAO17DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPTPMLLLRHPFFAO37DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,十八層 陽台
RPTPMLLLRHPFFAO37DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPQWMLPJJIPFFAO27DA,,.04,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPQWMLPJJIPFFAO27DA,,97.66,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十四層 陽台
RPQWMLPJJIPFFAO27DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQWMLPJJIPFFAO27DA,,21.26,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQWMLPJJIPFFAO27DA,,72.99,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQWMLPJJIPFFAO27DA,,15.13,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQWMLPJJIPFFAO27DA,,4.98,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTSMLQJJIPFFAO27DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPTSMLQJJIPFFAO27DA,,89.69,集合住宅,鋼筋混凝土造,109年9月28日,十五層,八層 陽台
RPTSMLQJJIPFFAO27DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTSMLQJJIPFFAO27DA,,22.45,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTSMLQJJIPFFAO27DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTSMLQJJIPFFAO27DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTSMLQJJIPFFAO27DA,,4.59,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUPMLLLRHPFFAO47DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,二十層 陽台
RPUPMLLLRHPFFAO47DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPWVMLPJJIPFFAO77DA,,.04,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPWVMLPJJIPFFAO77DA,,97.66,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十層 陽台
RPWVMLPJJIPFFAO77DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWVMLPJJIPFFAO77DA,,21.26,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWVMLPJJIPFFAO77DA,,71.91,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWVMLPJJIPFFAO77DA,,15.13,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWVMLPJJIPFFAO77DA,,4.98,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVTMLPJJIPFFAO47DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPVTMLPJJIPFFAO47DA,,62.86,集合住宅,鋼筋混凝土造,109年9月28日,十五層,三層 陽台
RPVTMLPJJIPFFAO47DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVTMLPJJIPFFAO47DA,,12.57,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVTMLPJJIPFFAO47DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVTMLPJJIPFFAO47DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVTMLPJJIPFFAO47DA,,3.22,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXSMLQJJIPFFAO67DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPXSMLQJJIPFFAO67DA,,89.69,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十二層 陽台
RPXSMLQJJIPFFAO67DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXSMLQJJIPFFAO67DA,,22.45,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXSMLQJJIPFFAO67DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXSMLQJJIPFFAO67DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXSMLQJJIPFFAO67DA,,4.59,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQUMLPJJIPFFAO07DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPQUMLPJJIPFFAO07DA,,97.72,集合住宅,鋼筋混凝土造,109年9月28日,十五層,八層 陽台
RPQUMLPJJIPFFAO07DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQUMLPJJIPFFAO07DA,,21.40,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQUMLPJJIPFFAO07DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQUMLPJJIPFFAO07DA,,15.13,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQUMLPJJIPFFAO07DA,,4.98,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTWMLQJJIPFFAO67DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPTWMLQJJIPFFAO67DA,,53.67,集合住宅,鋼筋混凝土造,109年9月28日,十五層,五層 陽台
RPTWMLQJJIPFFAO67DA,,.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTWMLQJJIPFFAO67DA,,13.14,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTWMLQJJIPFFAO67DA,,35.42,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTWMLQJJIPFFAO67DA,,6.88,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTWMLQJJIPFFAO67DA,,2.74,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPPNLQJJIPFFAO66DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPPPNLQJJIPFFAO66DA,,93.26,辦公室,鋼筋混凝土造,109年9月28日,十五層,一層 陽台
RPPPNLQJJIPFFAO66DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPPNLQJJIPFFAO66DA,,22.35,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPPNLQJJIPFFAO66DA,,37.85,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPPNLQJJIPFFAO66DA,,12.38,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPPNLQJJIPFFAO66DA,,4.77,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWRNLQJJIPFFAO57DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPWRNLQJJIPFFAO57DA,,84.49,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十三層 陽台
RPWRNLQJJIPFFAO57DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWRNLQJJIPFFAO57DA,,20.54,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWRNLQJJIPFFAO57DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWRNLQJJIPFFAO57DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPWRNLQJJIPFFAO57DA,,4.33,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSUMLQJJIPFFAO37DA,,.04,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPSUMLQJJIPFFAO37DA,,99.74,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十三層 陽台
RPSUMLQJJIPFFAO37DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSUMLQJJIPFFAO37DA,,24.88,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSUMLQJJIPFFAO37DA,,71.91,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSUMLQJJIPFFAO37DA,,12.38,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSUMLQJJIPFFAO37DA,,5.10,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVQNLQJJIPFFAO37DA,,.03,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPVQNLQJJIPFFAO37DA,,84.49,集合住宅,鋼筋混凝土造,109年9月28日,十五層,二層 陽台
RPVQNLQJJIPFFAO37DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVQNLQJJIPFFAO37DA,,20.54,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVQNLQJJIPFFAO37DA,,50.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVQNLQJJIPFFAO37DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPVQNLQJJIPFFAO37DA,,4.33,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTRNLQJJIPFFAO27DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPTRNLQJJIPFFAO27DA,,84.49,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十層 陽台
RPTRNLQJJIPFFAO27DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTRNLQJJIPFFAO27DA,,20.54,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTRNLQJJIPFFAO27DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTRNLQJJIPFFAO27DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPTRNLQJJIPFFAO27DA,,4.33,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPRRNLQJJIPFFAO07DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPRRNLQJJIPFFAO07DA,,84.49,集合住宅,鋼筋混凝土造,109年9月28日,十五層,八層 陽台
RPRRNLQJJIPFFAO07DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPSNLQJJIPFFAO96DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPPSNLQJJIPFFAO96DA,,89.26,集合住宅,鋼筋混凝土造,109年9月28日,十五層,二層 陽台
RPPSNLQJJIPFFAO96DA,,.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPSNLQJJIPFFAO96DA,,23.06,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPSNLQJJIPFFAO96DA,,35.42,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPSNLQJJIPFFAO96DA,,10.32,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPPSNLQJJIPFFAO96DA,,4.56,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPRRNLQJJIPFFAO07DA,,20.54,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPRRNLQJJIPFFAO07DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPRRNLQJJIPFFAO07DA,,11.00,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPRRNLQJJIPFFAO07DA,,4.33,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPXOOLQJJIPFFAO47DA,,66.97,集合住宅,鋼筋混凝土造,109年9月30日,二十二層,八層 陽台
RPXOOLQJJIPFFAO47DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPUUMLQJJIPFFAO57DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPUUMLQJJIPFFAO57DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPUUMLQJJIPFFAO57DA,,49.87,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十五層 陽台
RPUUMLQJJIPFFAO57DA,,49.87,集合住宅,鋼筋混凝土造,109年9月28日,十五層,十五層 陽台
RPUUMLQJJIPFFAO57DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,12.44,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,12.44,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,6.19,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,6.19,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,2.55,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPUUMLQJJIPFFAO57DA,,2.55,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQQOLQJJIPFFAO96DA,,.02,店舖,鋼筋混凝土造,109年9月28日,十五層,一層
RPQQOLQJJIPFFAO96DA,,88.14,集合住宅,鋼筋混凝土造,109年9月28日,十五層,九層 陽台
RPQQOLQJJIPFFAO96DA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQQOLQJJIPFFAO96DA,,22.78,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQQOLQJJIPFFAO96DA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
