編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSRMLSKRHPFFAO08DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPVRMLSKRHPFFAO38DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPURMLSKRHPFFAO28DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPQOMLSKRHPFFAO57DA,自由段,146.14,都市：其他:道路用地,100000,86988,持分移轉,05880001
RPTSMLSKRHPFFAO28DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPSNMLTKRHPFFAO77DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPUNMLTKRHPFFAO97DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPVSMLSKRHPFFAO48DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPSSMLSKRHPFFAO18DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPVNMLTKRHPFFAO08DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPVOMLTKRHPFFAO18DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPWNMLTKRHPFFAO18DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPWOMLTKRHPFFAO28DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPPOMLTKRHPFFAO57DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPXOMLTKRHPFFAO38DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPPPMLTKRHPFFAO67DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPQOMLTKRHPFFAO67DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPQPMLTKRHPFFAO77DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPOTMLSKRHPFFAO87DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPXOMLLLRHPFFAO67DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPOPMLLLRHPFFAO86DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPOQMLLLRHPFFAO96DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPRPMLLLRHPFFAO17DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPTPMLLLRHPFFAO37DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPQWMLPJJIPFFAO27DA,東光段,23.03,都市：其他:住商混合區,100000,171,持分移轉,02380000
RPTSMLQJJIPFFAO27DA,東光段,20.20,都市：其他:住商混合區,100000,150,持分移轉,02380000
RPUPMLLLRHPFFAO47DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPWVMLPJJIPFFAO77DA,東光段,23.03,都市：其他:住商混合區,100000,171,持分移轉,02380000
RPVTMLPJJIPFFAO47DA,東光段,13.33,都市：其他:住商混合區,100000,99,持分移轉,02380000
RPXSMLQJJIPFFAO67DA,東光段,20.20,都市：其他:住商混合區,100000,150,持分移轉,02380000
RPQUMLPJJIPFFAO07DA,東光段,22.09,都市：其他:住商混合區,100000,164,持分移轉,02380000
RPTWMLQJJIPFFAO67DA,東光段,12.66,都市：其他:住商混合區,100000,94,持分移轉,02380000
RPPPNLQJJIPFFAO66DA,東光段,20.47,都市：其他:住商混合區,100000,152,持分移轉,02380000
RPWRNLQJJIPFFAO57DA,東光段,19.12,都市：其他:住商混合區,100000,142,持分移轉,02380000
RPSUMLQJJIPFFAO37DA,東光段,23.16,都市：其他:住商混合區,100000,172,持分移轉,02380000
RPVQNLQJJIPFFAO37DA,東光段,19.39,都市：其他:住商混合區,100000,144,持分移轉,02380000
RPTRNLQJJIPFFAO27DA,東光段,19.12,都市：其他:住商混合區,100000,142,持分移轉,02380000
RPRRNLQJJIPFFAO07DA,東光段,19.12,都市：其他:住商混合區,100000,142,持分移轉,02380000
RPPSNLQJJIPFFAO96DA,東光段,20.20,都市：其他:住商混合區,100000,150,持分移轉,02380000
RPXOOLQJJIPFFAO47DA,東橋段,16.79,都市：其他:第二種住宅區,9983,31,持分移轉,05880000
RPUUMLQJJIPFFAO57DA,東光段,23.16,都市：其他:住商混合區,100000,172,持分移轉,02380000
RPQQOLQJJIPFFAO96DA,東光段,20.07,都市：其他:住商混合區,100000,149,持分移轉,02380000
RPXRNLQJJIPFFAO67DA,東光段,19.12,都市：其他:住商混合區,100000,142,持分移轉,02380000
RPQPMLKKJIPFFAO78DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPTPMLKKJIPFFAO09DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPWPMLKKJIPFFAO76DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPPOMLKKJIPFFAO58DA,東光段,13.06,都市：其他:住商混合區,100000,97,持分移轉,02380000
RPXNMLKKJIPFFAO66DA,東光段,13.06,都市：其他:住商混合區,100000,97,持分移轉,02380000
RPRQMLKKJIPFFAO98DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPXQMLKKJIPFFAO96DA,東光段,16.16,都市：其他:住商混合區,100000,120,持分移轉,02380000
RPPPMLKKJIPFFAO68DA,東光段,13.06,都市：其他:住商混合區,100000,97,持分移轉,02380000
RPUPMLKKJIPFFAO56DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPRPMLKKJIPFFAO88DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPURMLKKJIPFFAO76DA,東光段,16.16,都市：其他:住商混合區,100000,120,持分移轉,02380000
RPXPMLKKJIPFFAO86DA,東光段,13.60,都市：其他:住商混合區,100000,101,持分移轉,02380000
RPQNNLKKJIPFFAO68DA,東光段,22.49,都市：其他:住商混合區,100000,167,持分移轉,02380000
RPRPOLKKJIPFFAO09DA,東光段,18.85,都市：其他:住商混合區,100000,140,持分移轉,02380000
RPWTOLKKJIPFFAO37DA,東光段,12.66,都市：其他:住商混合區,100000,94,持分移轉,02380000
RPUUOLKKJIPFFAO27DA,東光段,19.39,都市：其他:住商混合區,100000,144,持分移轉,02380000
RPQVMLKKJIPFFAO76DA,東光段,12.66,都市：其他:住商混合區,100000,94,持分移轉,02380000
RPVVOLKKJIPFFAO47DA,東光段,18.85,都市：其他:住商混合區,100000,140,持分移轉,02380000
RPWSOLKKJIPFFAO27DA,東光段,12.66,都市：其他:住商混合區,100000,94,持分移轉,02380000
RPTROLKKJIPFFAO86DA,東光段,20.74,都市：其他:住商混合區,100000,154,持分移轉,02380000
RPVNNLKKJIPFFAO56DA,東光段,23.43,都市：其他:住商混合區,100000,174,持分移轉,02380000
RPQWOLKKJIPFFAO07DA,東光段,18.05,都市：其他:住商混合區,100000,134,持分移轉,02380000
RPVTOLKKJIPFFAO27DA,東光段,12.66,都市：其他:住商混合區,100000,94,持分移轉,02380000
RPSUOLKKJIPFFAO07DA,東光段,19.39,都市：其他:住商混合區,100000,144,持分移轉,02380000
RPSWOLKKJIPFFAO27DA,醫專段,62.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04140000
RPQNPLKKJIPFFAO88DA,東光段,16.70,都市：其他:住商混合區,100000,124,持分移轉,02380000
RPQUOLQJJIPFFAO37DA,東光段,20.20,都市：其他:住商混合區,100000,150,持分移轉,02380000
RPQVMLTJJIPFFAO57DA,東光段,22.62,都市：其他:住商混合區,100000,168,持分移轉,02380000
RPRVMLTJJIPFFAO67DA,東光段,22.62,都市：其他:住商混合區,100000,168,持分移轉,02380000
RPSOMLLKJIPFFAO98DA,東光段,18.05,都市：其他:住商混合區,100000,134,持分移轉,02380000
RPXNPLKKJIPFFAO96DA,東光段,16.70,都市：其他:住商混合區,100000,124,持分移轉,02380000
RPQROLQJJIPFFAO07DA,東光段,23.03,都市：其他:住商混合區,100000,171,持分移轉,02380000
RPTSMLTJJIPFFAO57DA,東光段,18.85,都市：其他:住商混合區,100000,140,持分移轉,02380000
RPQWMLTJJIPFFAO67DA,東光段,17.64,都市：其他:住商混合區,100000,131,持分移轉,02380000
RPTUMLTJJIPFFAO77DA,東光段,21.68,都市：其他:住商混合區,100000,161,持分移轉,02380000
RPPNPLKKJIPFFAO78DA,東光段,18.05,都市：其他:住商混合區,100000,134,持分移轉,02380000
RPRWMLTJJIPFFAO77DA,東光段,17.64,都市：其他:住商混合區,100000,131,持分移轉,02380000
RPXUMLKLJIPFFAO47DA,光武段,102.20,都市：其他:第一種住宅區,1717200,107597,持分移轉,06800000
RPTOMLLJKIPFFAO09DA,長春段,26.67,都市：其他:第二種住宅區,100000,472,持分移轉,16200000
RPOQMLNKJIPFFAO98DA,東光段,12.93,都市：其他:住商混合區,100000,96,持分移轉,02380000
RPPOMLSKJIPFFAO76DA,舊社段,117.27,都市：其他:道路用地,10000,1455,持分移轉,00100003
RPPOMLSKJIPFFAO76DA,民富段,145.80,都市：其他:道路用地,10,2,持分移轉,11180000
RPPOMLSKJIPFFAO76DA,民富段,175.80,都市：其他:道路用地,40,24,持分移轉,12670000
RPPOMLSKJIPFFAO76DA,民富段,37.60,都市：其他:道路用地,10,2,持分移轉,12740000
RPPOMLSKJIPFFAO76DA,民富段,17.00,都市：其他:道路用地,10,2,持分移轉,12750000
RPPOMLSKJIPFFAO76DA,民富段,8.00,都市：其他:道路用地,10,2,持分移轉,12830000
RPPOMLSKJIPFFAO76DA,民富段,20.20,都市：其他:道路用地,10,2,持分移轉,12840000
RPSVMLPLJIPFFAO57DA,中山段三小段,20.19,都市：其他:第二種商業區,52,21,持分移轉,04200000
RPRNMLTKRHPFFAO67DA,東橋段,21.67,都市：其他:第二種住宅區,9983,40,持分移轉,05880000
RPTQMLTKJIPFFAO47DA,金雅段,12.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,200000,1232,持分移轉,00970000
RPTQMLTKJIPFFAO47DA,金雅段,12.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,200000,1232,持分移轉,00970000
RPOPMLNJKIPFFAO88DA,和平段,368.28,都市：其他:第二種住宅區,360096,356496,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPROMLOJKIPFFAO56DA,北門段,62.00,都市：其他:第二種住宅區,1,1,全筆移轉,16610000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPROMLOJKIPFFAO56DA,北門段,1.33,都市：其他:第二種住宅區,288,12,持分移轉,16620000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
RPOPMLNJKIPFFAO88DA,和平段,.10,都市：其他:第二種住宅區,360096,100,持分移轉,07820000
