編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUQMLMKJHGGFAO58CB,香村段,150.34,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02610048
RPUQMLMKJHGGFAO58CB,香村段,25.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,1,持分移轉,02610039
RPUQMLMKJHGGFAO58CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPUQMLMKJHGGFAO58CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPUQMLMKJHGGFAO58CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPUQMLMKJHGGFAO58CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPPRMLMKJHGGFAO18CB,香村段,158.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02610052
RPPRMLMKJHGGFAO18CB,香村段,25.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,1,持分移轉,02610039
RPPRMLMKJHGGFAO18CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPRMLMKJHGGFAO18CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPRMLMKJHGGFAO18CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPRMLMKJHGGFAO18CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPVQMLMKJHGGFAO68CB,香村段,149.72,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02610049
RPVQMLMKJHGGFAO68CB,香村段,25.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,1,持分移轉,02610039
RPVQMLMKJHGGFAO68CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPVQMLMKJHGGFAO68CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPVQMLMKJHGGFAO68CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPVQMLMKJHGGFAO68CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPVNMLLKJHGGFAO28CB,香村段,189.74,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02610045
RPVNMLLKJHGGFAO28CB,香村段,25.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,1,持分移轉,02610039
RPVNMLLKJHGGFAO28CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
