編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLSJKIPFFBQ57DA,,40.63,住家用,木造,,一層,一層
RPQNMLRLJIPFFCQ17DA,1,172.43,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPWNMLOJKIPFFDQ47DA,15,6.83,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,
RPWNMLOJKIPFFDQ47DA,15,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,四層 陽台
RPTOMLRJKIPFFDQ57DA,25,80.26,防空避難室,鋼筋混凝土造,84年9月8日,十二層,
RPTOMLRJKIPFFDQ57DA,25,380.50,商業用,鋼筋混凝土造,84年9月8日,十二層,一層 二層 陽台 平台 地下層
RPPOMLRJKIPFFDQ17DA,40,80.78,住家用,鋼筋混凝土加強磚造,70年5月4日,二層,一層 二層 電梯樓梯間
RPUOMLRJKIPFFDQ67DA,21,87.84,集合住宅,鋼筋混凝土造,88年5月31日,五層,一層 陽台
RPUOMLRJKIPFFDQ67DA,21,10.07,樓梯間、機械室、水箱,鋼筋混凝土造,88年5月31日,五層,
RPUOMLRJKIPFFDQ67DA,21,.80,蓄水池,鋼筋混凝土造,88年5月31日,一層,
RPPNMLKKKIPFFCQ09EA,43,75.77,住家用,鋼筋混凝土加強磚造,66年9月1日,二層,一層 二層 騎樓
RPPNMLKKKIPFFCQ09EA,43,50.51,住家用,鋼筋混凝土加強磚造,66年9月1日,二層,一層 二層 騎樓
RPXNMLKKKIPFFCQ27EA,1,87.63,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXNMLKKKIPFFCQ27EA,1,87.63,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPSNMLKKKIPFFCQ76EA,38,65.88,住家用,鋼筋混凝土加強磚木造,71年10月6日,一層,一層
RPROMLKKKIPFFCQ76EA,1,202.33,住宅、樓梯間,鋼筋混凝土造,108年8月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPUNMLSJKIPFFDQ77EA,26,220.84,住家用,鋼筋混凝土造,83年6月4日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPVOMLRJKIPFFDQ77DA,27,197.74,住家用,鋼筋混凝土造,82年11月23日,四層,一層 二層 三層 四層 夾層 見其他登記事項
RPQOMLKMJIPFFDQ76DA,24,180.72,住家用,鋼筋混凝土造,86年1月3日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLKKKIPFFCQ07DA,1,135.78,住宅、樓梯間,鋼筋混凝土造,108年9月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPWNMLKKKIPFFCQ07DA,1,135.78,住宅、樓梯間,鋼筋混凝土造,108年9月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPUNMLLKKIPFFDQ07DA,2,60.77,本共有之項目有停車空間、機械設備空間、水箱、台電配電室、防空避難室、門廳、管委會使用空間、樓梯間、水錶室、機械室等１０項。,鋼筋混凝土造,108年2月23日,八層,
RPUNMLLKKIPFFDQ07DA,2,57.35,集合住宅,鋼筋混凝土造,108年2月23日,八層,五層 陽台
RPQNMLKKKIPFFCQ09DA,27,153.93,住家用,鋼筋混凝土造,82年6月15日,三層,一層 二層 三層 電梯樓梯間
RPQNMLTJKIPFFCQ27DA,28,8.46,共有部分,鋼筋混凝土造,81年11月30日,地下層,
RPQNMLTJKIPFFCQ27DA,28,83.63,住家用,鋼筋混凝土造,81年11月30日,五層,五層 陽台
