鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７８號１０樓,34.42,住,,,1100325,土地21建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,220.56,4,2,2,有,無,38880000,196266,坡道平面,34.69,2400000,,RPRRMLPLLHGGFCA77CB
中正區,房地(土地+建物)+車位,臺北市中正區濟南路一段13巷6號6樓之5,10.42,住,,,1100118,土地1建物1車位1,六層,8,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.09,1,1,1,有,無,16000000,380197,升降機械,45.53,2100000,,RPUNMLKMLHGGFBA17CB
中正區,房地(土地+建物)+車位,臺北市中正區濟南路一段13巷6號4樓之3,12.57,住,,,1100123,土地1建物1車位1,四層,8,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.63,1,1,1,有,無,18880000,367627,升降平面,45.53,2300000,,RPWNMLKMLHGGFBA37CB
大同區,車位,臺北市大同區民權西路205號2樓之5等共有部分,0.05,商,,,1070121,土地3建物0車位1,,14,其他,停車空間,鋼筋混凝土造,,7.5,0,0,0,有,無,1400000,,塔式車位,7.5,1400000,,RPWNMLTJMHGGFBA08CB
大同區,房地(土地+建物),臺北市大同區民生西路5樓B戶,11.11,商,,,1090725,土地7建物1車位0,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,95.5,2,2,1,有,無,21400000,224084,,0.0,0,,RPWOMLTJMHGGFBA28DB
大同區,房地(土地+建物)+車位,臺北市大同區民生西路11樓C戶,14.96,商,,,1090726,土地7建物1車位1,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,178.02,3,2,2,有,無,33830000,234587,升降平面,44.04,2400000,,RPQPMLTJMHGGFBA77DB
大同區,房地(土地+建物)+車位,臺北市大同區民生西路11樓D戶,14.96,商,,,1090809,土地7建物1車位1,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,178.01,3,2,2,有,無,33710000,233709,升降平面,44.04,2400000,,RPXPMLTJMHGGFBA48DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 A1戶7樓,17.36,住,,,1090702,土地13建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.4,2,1,1,有,無,15380000,145920,,0.0,0,,RPPPMLTJMHGGFDA87DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 A1戶10樓,17.36,住,,,1090827,土地13建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.11,2,1,1,有,無,18880000,160152,坡道平面,35.71,2000000,,RPTPMLTJMHGGFDA28DB
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段 A1戶11樓,17.36,住,,,1090705,土地13建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.11,2,1,1,有,無,18280000,151613,坡道平面,35.71,2300000,,RPUPMLTJMHGGFDA38DB
南港區,房地(土地+建物),臺北市南港區舊莊街一段 A2戶3樓,10.25,住,,,1090921,土地13建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.25,2,1,1,有,無,9800000,157430,,0.0,0,,RPOQMLTJMHGGFDA87DB
