鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,建物,臺北市內湖區成功路四段149號,0.0,商,,,1100305,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0780214,125.21,0,0,0,無,有,無,135000,1078,,0.0,0,,RPPOMLLKLHGGFCA86CC
中山區,建物,臺北市中山區復興北路400號八樓,0.0,商,,,1100126,土地0建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751125,91.66,1,2,1,有,有,有,39000,425,,0.0,0,,RPROMLLKLHGGFCA07CC
內湖區,房地(土地+建物),臺北市內湖區文德路226號,39.89,商,,,1100308,土地2建物2車位0,一層,8,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050729,199.2,0,0,0,無,無,無,76000,382,,0.0,0,,RPSOMLLKLHGGFCA17CC
中山區,建物,臺北市中山區中山北路2段65巷9號6樓之4,0.0,商,,,1100217,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,100.78999999999999,2,1,1,有,有,有,30000,298,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQPMLLKLHGGFCA07CC
中山區,建物,臺北市中山區樂群二路116巷61弄16號5樓,0.0,住,,,1100108,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971126,256.53,3,2,2,有,有,有,160000,624,升降機械,20.72,0,,RPRPMLLKLHGGFCA17CC
中山區,建物,臺北市中山區民權東路二段46號12樓,0.0,商,,,1100217,土地0建物1車位0,十二層,12,辦公商業大樓,住家用,鋼筋混凝土造,0740326,98.3,0,0,0,無,無,無,45000,458,,0.0,0,,RPVPMLLKLHGGFCA57CC
內湖區,建物,臺北市內湖區內湖路一段４７巷２２弄７號四樓,0.0,住,,,1100223,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821028,93.86,2,2,2,有,有,有,20000,213,,0.0,0,,RPTQMLLKLHGGFCA47CC
大同區,建物,臺北市大同區巿民大道一段211號9樓之7,0.0,其他,,,1100222,土地0建物1車位0,九層,18,辦公商業大樓,見其他登記事項,見其他登記事項,0980724,49.61,1,1,1,有,有,有,25500,514,,0.0,0,,RPUOMLLKLHGGFBA27CC
萬華區,建物,臺北市萬華區漢口街二段41之2號,0.0,商,,,1100222,土地0建物0車位0,四層,4,套房(1房1廳1衛),,加強磚造,,22.12,1,0,1,有,無,有,7700,348,,0.0,0,此為分租套房，第4層共分成7間，一間平均面積約為22.12平方公尺。,RPPPMLLKLHGGFBA86CC
