編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLLKLHGGFCA07CC,34,74.55,住家用,鋼筋混凝土造,75年11月25日,十八層,
RPRPMLLKLHGGFCA17CC,12,235.81,住家用,鋼筋混凝土造,97年11月26日,七層,
RPROMLLKLHGGFCA07CC,34,17.11,共有部分,鋼筋混凝土造,75年11月25日,十八層,
RPRPMLLKLHGGFCA17CC,12,20.72,共有部分,鋼筋混凝土造,97年11月26日,七層,
RPSOMLLKLHGGFCA17CC,5,70.77,一般零售業,鋼筋混凝土造,105年7月29日,八層,
RPSOMLLKLHGGFCA17CC,5,41.62,本共有部分之項目有：管委會空間、機車停車空間、梯廳、安全梯甲、安全梯乙、安全梯丙、行動不便者１５人電梯、受信箱、騎樓、１／１２無障礙坡道、雨遮、樓梯間、電梯通路、機械室、母蓄水池、子蓄水池、消防水箱、台電配電室、受電箱、電信室、資源回收室、發電機室、電錶區、自來水蓄水池、消防幫浦室、消防水池等２６項。,鋼筋混凝土造,105年7月29日,八層,
RPSOMLLKLHGGFCA17CC,5,.63,本共有部分之項目有停車場排風管道、汽車車道、停車場進風管道、防空避難室兼停車空間、汽車轉盤、停車空間等６項。,鋼筋混凝土造,105年7月29日,八層,
RPSOMLLKLHGGFCA17CC,5,53.97,一般零售業,鋼筋混凝土造,105年7月29日,八層,
RPSOMLLKLHGGFCA17CC,5,31.73,本共有部分之項目有：管委會空間、機車停車空間、梯廳、安全梯甲、安全梯乙、安全梯丙、行動不便者１５人電梯、受信箱、騎樓、１／１２無障礙坡道、雨遮、樓梯間、電梯通路、機械室、母蓄水池、子蓄水池、消防水箱、台電配電室、受電箱、電信室、資源回收室、發電機室、電錶區、自來水蓄水池、消防幫浦室、消防水池等２６項。,鋼筋混凝土造,105年7月29日,八層,
RPSOMLLKLHGGFCA17CC,5,.48,本共有部分之項目有停車場排風管道、汽車車道、停車場進風管道、防空避難室兼停車空間、汽車轉盤、停車空間等６項。,鋼筋混凝土造,105年7月29日,八層,
RPVPMLLKLHGGFCA57CC,36,77.25,住家用,鋼筋混凝土造,74年3月26日,十二層,
RPVPMLLKLHGGFCA57CC,36,3.93,共有部分,鋼筋混凝土造,74年3月26日,十二層,
RPVPMLLKLHGGFCA57CC,36,17.12,共有部分,鋼筋混凝土造,74年3月26日,十二層,
RPTQMLLKLHGGFCA47CC,27,85.86,住家用,鋼筋混凝土造,82年10月28日,七層,
RPTQMLLKLHGGFCA47CC,27,8.00,共有部分,鋼筋混凝土造,82年10月28日,七層,
RPPOMLLKLHGGFCA86CC,32,89.46,商業用,鋼筋混凝土造,78年2月14日,七層,
RPPOMLLKLHGGFCA86CC,32,35.75,共有部分,鋼筋混凝土造,78年2月14日,八層,
RPQPMLLKLHGGFCA07CC,19,52.11,商業用,鋼筋混凝土造,90年11月12日,十四層,
RPQPMLLKLHGGFCA07CC,19,11.48,共有部分,鋼筋混凝土造,90年11月12日,十四層,
RPQPMLLKLHGGFCA07CC,19,15.38,共有部分,鋼筋混凝土造,90年11月12日,十四層,
RPQPMLLKLHGGFCA07CC,19,21.82,共有部分,鋼筋混凝土造,90年11月12日,十四層,
RPPPMLLKLHGGFBA86CC,,22.12,,加強磚造,,四層,
RPUOMLLKLHGGFBA27CC,12,33.23,一般事務所,鋼骨造,98年7月24日,十八層,
RPUOMLLKLHGGFBA27CC,12,12.71,共有部分,鋼骨造,98年7月24日,十八層,
RPUOMLLKLHGGFBA27CC,12,3.67,共有部分,鋼骨造,98年7月24日,十八層,
RPUPMLLKLHGGFBA37CC,,85.20,住家用,加強磚造,,四層,
RPQOMLLKLHGGFDA07CC,9,104.04,住家用,鋼筋混凝土造,100年10月31日,十層,
RPQOMLLKLHGGFDA07CC,9,74.37,本共有部分之項目有機車停車空間、機車昇降機、臺電配電室、昇降機、樓電梯間、電信室、防空避難室兼停車空間、機械室（機房）、消防幫浦室、水箱、停車場、發電機房、機電設備空間、騎樓、陽臺、管理員、門廳、梯廳、樓梯間共１９項。,鋼筋混凝土造,100年10月31日,十層,
RPROMLLKLHGGFDA17CC,,71.93,住家用,鋼筋混凝土造,,四層,
RPRPMLLKLHGGFBA07CC,37,169.13,商業用,鋼筋混凝土造,73年2月16日,五層,
RPVOMLLKLHGGFDA57CC,47,48.53,住家用,鋼筋混凝土造,62年11月24日,六層,
RPWOMLLKLHGGFDA67CC,,83.93,住商用,鋼筋混凝土造,,五層,
RPVNMLLKLHGGFDA47CC,37,88.85,商業用,鋼筋混凝土造,73年6月15日,十二層,
RPVNMLLKLHGGFDA47CC,37,9.82,共有部分,鋼筋混凝土造,73年6月15日,十二層,
RPVNMLLKLHGGFDA47CC,37,81.28,見使用執照,鋼筋混凝土造,73年6月15日,十二層,
RPTPMLLKLHGGFBA27CC,42,19.18,住家用,鋼筋混凝土造,68年5月7日,十一層,
RPTPMLLKLHGGFBA27CC,42,2.68,共有部分,鋼筋混凝土造,68年5月7日,十一層,
RPTPMLLKLHGGFBA27CC,42,3.03,共有部分,鋼筋混凝土造,68年5月7日,十一層,
RPSNMLLKLHGGFEA27CC,45,98.42,住家用,鋼筋混凝土造,64年12月12日,四層,
RPSNMLLKLHGGFEA27CC,45,97.44,住家用,鋼筋混凝土造,64年12月12日,四層,
RPSNMLLKLHGGFEA27CC,45,98.42,住家用,鋼筋混凝土造,64年12月12日,四層,
