編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLNJKHGGFAB17DA,樹子腳段,5.46,都市：其他:第二種商業區,10000,37,持分移轉,12100000
RPVNMLNJKHGGFAB17DA,樹子腳段,3.53,都市：其他:第二種商業區,10000,37,持分移轉,12100003
RPORMLLJKHGGFAB66DA,大益段,87.00,都市：其他:第二種住宅區,1,1,全筆移轉,04040000
RPORMLPJKHGGFAB07DA,樹子腳段,11.62,都市：其他:第三種住宅區。,100000,413,持分移轉,06400000
RPORMLPJKHGGFAB07DA,樹子腳段,8.83,都市：其他:第二種住宅區,100000,413,持分移轉,06410000
RPVOMLOJLHGGFAB47DA,頂橋子頭段,18.53,都市：其他:第二種住宅區,10000,108,持分移轉,00430006
RPSPMLOJKHGGFAB17DA,旱清段,5.00,都市：其他:第一種住宅區,75,5,持分移轉,00310000
RPVOMLPJKHGGFAB47DA,平等段四小段,16.00,都市：其他:第一種商業區,1,1,全筆移轉,00120002
RPSPMLOJKHGGFAB17DA,旱清段,102.61,都市：其他:第一種住宅區,1,1,全筆移轉,00310003
RPVOMLPJKHGGFAB47DA,平等段四小段,46.00,都市：其他:第一種商業區,1,1,全筆移轉,00120011
RPSPMLOJKHGGFAB17DA,旱清段,34.22,都市：其他:第一種住宅區,4,1,持分移轉,00310011
RPVOMLPJKHGGFAB47DA,平和段,76.00,都市：其他:第二種住宅區,4,1,持分移轉,00350004
RPOPMLPJKHGGFAB86DA,麻園頭段,71.97,都市：其他:第二種住宅區,10000,107,持分移轉,01730023
RPURMLSJKHGGFAB97DA,土庫段,2.17,都市：其他:第二種住宅區,42000,396,持分移轉,00980135
RPURMLSJKHGGFAB97DA,土庫段,.00,都市：其他:第二種住宅區,42000,22,持分移轉,00980180
RPURMLSJKHGGFAB97DA,後?子段,7.10,都市：其他:第二種住宅區,42000,396,持分移轉,03540002
RPURMLSJKHGGFAB97DA,後?子段,.31,都市：其他:第二種住宅區,42000,22,持分移轉,03540006
RPURMLSJKHGGFAB97DA,後?子段,.15,都市：其他:第二種住宅區,42000,22,持分移轉,03540009
RPURMLSJKHGGFAB97DA,後?子段,.02,都市：其他:第二種住宅區,42000,22,持分移轉,03610003
RPURMLSJKHGGFAB97DA,後?子段,.35,都市：其他:第二種住宅區,42000,396,持分移轉,03610014
RPWOMLSJKHGGFAB87DA,旱清段,5.00,都市：其他:第一種住宅區,75,5,持分移轉,00310000
RPWOMLSJKHGGFAB87DA,旱清段,106.14,都市：其他:第一種住宅區,1,1,全筆移轉,00310006
RPWOMLSJKHGGFAB87DA,旱清段,34.22,都市：其他:第一種住宅區,4,1,持分移轉,00310011
RPWPMLOJLHGGFAB67DA,土庫段,1.16,都市：其他:第二種住宅區,1000,166,持分移轉,00120051
RPWPMLOJLHGGFAB67DA,土庫段,12.78,都市：其他:第二種住宅區,1000,35,持分移轉,00120195
RPWPMLOJLHGGFAB67DA,土庫段,10.46,都市：其他:第二種住宅區,1000,166,持分移轉,00180000
RPXPMLPJLHGGFAB87DA,樹子腳段,13.54,都市：其他:第二種住宅區,100000,286,持分移轉,13100000
RPXPMLPJLHGGFAB87DA,樹子腳段,1.86,非都市： ; 非都市編定：,100000,286,持分移轉,13100017
RPXPMLPJLHGGFAB87DA,樹子腳段,.80,都市：其他:第二種住宅區,100000,286,持分移轉,13100018
RPPNMLRJLHGGFAB07DA,平和段,2.60,都市：其他:第一種商業區,10000,7,持分移轉,00500000
RPPNMLRJLHGGFAB07DA,平和段,2.60,都市：其他:第一種商業區,10000,7,持分移轉,00500000
RPTNMLSJLHGGFAB57DA,東勢子段,18.01,都市：其他:第二種住宅區,11000,145,持分移轉,00280000
RPTOMLPJLHGGFAB37DA,下橋子頭段,17.86,都市：其他:第三種住宅區。,100000,83,持分移轉,02310001
RPWOMLSJLHGGFAB97DA,麻園頭段,6.08,都市：其他:第二種住宅區,1000,28,持分移轉,09050000
RPWOMLSJLHGGFAB97DA,麻園頭段,13.52,都市：其他:第二種住宅區,1000,28,持分移轉,09190000
RPVPMLSJLHGGFAB97DA,後?子段,76.00,都市：其他:第一種商業區,1,1,全筆移轉,01500229
RPVOMLSJLHGGFAB87DA,半平厝段,14.62,都市：其他:第三種住宅區。,100000,333,持分移轉,19800000
RPRPMLSJLHGGFAB57DA,建國段一小段,2.74,都市：其他:第二種商業區,10000,101,持分移轉,00030000
RPPQMLSJLHGGFAB47DA,旱清段,5.00,都市：其他:第一種住宅區,75,5,持分移轉,00310000
