編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLLKLHGGFBB07DB,坡道平面,1500000,27.44,地下一樓
RPSNMLLKLHGGFBB07DB,坡道平面,1500000,27.44,地下一樓
RPSNMLLKLHGGFBB07DB,坡道平面,1500000,27.44,地下一樓
RPWNMLLKLHGGFBB47DB,坡道平面,1400000,27.44,
RPWNMLLKLHGGFBB47DB,坡道平面,1400000,27.44,
RPPOMLLKLHGGFBB86DB,坡道平面,1400000,27.44,地下二樓
RPPNMLLKLHGGFBB76DB,坡道平面,1400000,27.44,地下二樓
RPQNMLLKLHGGFBB86DB,坡道平面,1400000,27.44,地下二樓
RPTNMLLKLHGGFBB17DB,坡道平面,1500000,27.44,地下一樓
RPTNMLLKLHGGFBB17DB,坡道平面,1500000,27.44,地下一樓
RPUNMLLKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPUNMLLKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPVNMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPVNMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPOOMLLKLHGGFBB76DB,坡道平面,1400000,27.44,地下二樓
RPQOMLLKLHGGFBB96DB,坡道平面,1400000,27.44,地下二樓
RPTOMLLKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPOPMLLKLHGGFBB86DB,坡道平面,1400000,27.44,地下二樓
RPTPMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPTPMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPROMLLKLHGGFBB07DB,坡道平面,1400000,27.44,地下二樓
RPROMLLKLHGGFBB07DB,坡道平面,1400000,27.44,地下二樓
RPUPMLLKLHGGFBB47DB,坡道平面,1500000,27.44,地下一樓
RPUPMLLKLHGGFBB47DB,坡道平面,1400000,27.44,地下二樓
RPOQMLLKLHGGFBB96DB,坡道平面,1500000,27.44,地下一樓
RPOQMLLKLHGGFBB96DB,坡道平面,1500000,27.44,地下一樓
RPOQMLLKLHGGFBB96DB,坡道平面,1500000,27.44,地下一樓
RPXOMLLKLHGGFBB67DB,坡道平面,1500000,27.44,地下一樓
RPSPMLLKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPSPMLLKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPVQMLLKLHGGFBB67DB,坡道平面,1400000,27.44,地下二樓
RPTQMLLKLHGGFBB47DB,坡道平面,1400000,27.44,地下二樓
RPVPMLLKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPVPMLLKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPQRMLLKLHGGFBB27DB,坡道平面,1500000,27.44,地下一樓
RPQQMLLKLHGGFBB17DB,坡道平面,1500000,27.44,地下一樓
RPSQMLLKLHGGFBB37DB,坡道平面,1500000,27.44,地下一樓
RPXRMLLKLHGGFBB97DB,坡道平面,1800000,33.06,地下一樓
RPXRMLLKLHGGFBB97DB,坡道平面,1750000,33.06,地下一樓
RPTRMLLKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPTRMLLKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPRRMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPRRMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPPSMLLKLHGGFBB27DB,坡道平面,1500000,27.44,地下一樓
RPPSMLLKLHGGFBB27DB,坡道平面,1500000,27.44,地下一樓
RPURMLLKLHGGFBB67DB,坡道平面,1400000,27.44,地下二樓
RPURMLLKLHGGFBB67DB,坡道平面,1400000,27.44,地下二樓
RPQSMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPWSMLLKLHGGFBB97DB,坡道平面,1500000,27.44,地下一樓
RPWSMLLKLHGGFBB97DB,坡道平面,1500000,27.44,地下一樓
RPXSMLLKLHGGFBB08DB,坡道平面,1400000,27.44,地下二樓
RPQTMLLKLHGGFBB47DB,坡道平面,1400000,27.44,地下二樓
RPPTMLLKLHGGFBB37DB,坡道平面,1400000,27.44,地下二樓
RPRTMLLKLHGGFBB57DB,坡道平面,1500000,27.44,地下一樓
RPRTMLLKLHGGFBB57DB,坡道平面,1500000,27.44,地下一樓
RPWUMLLKLHGGFBB18DB,坡道平面,1400000,27.44,地下二樓
RPOTMLLKLHGGFBB27DB,坡道平面,1500000,27.44,地下一樓
RPPUMLLKLHGGFBB47DB,坡道平面,1500000,27.44,地下一樓
RPPUMLLKLHGGFBB47DB,坡道平面,1500000,27.44,地下一樓
RPXUMLLKLHGGFBB28DB,坡道平面,1400000,27.44,地下二樓
RPXUMLLKLHGGFBB28DB,坡道平面,1400000,27.44,地下二樓
RPTTMLLKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPPVMLLKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPRNMLMKLHGGFBB07DB,坡道平面,1500000,27.44,地下一樓
RPXTMLLKLHGGFBB18DB,坡道平面,1500000,27.44,地下一樓
RPXTMLLKLHGGFBB18DB,坡道平面,1500000,27.44,地下一樓
RPPNMLMKLHGGFBB86DB,坡道平面,1500000,27.44,地下一樓
RPTNMLMKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPSNMLMKLHGGFBB17DB,坡道平面,1400000,27.44,地下二樓
RPXOMLMKLHGGFBB77DB,坡道平面,1500000,27.44,地下一樓
RPXOMLMKLHGGFBB77DB,坡道平面,1500000,27.44,地下一樓
RPOOMLMKLHGGFBB86DB,坡道平面,1400000,27.44,地下二樓
RPOPMLMKLHGGFBB96DB,坡道平面,1400000,27.44,地下二樓
RPPPMLMKLHGGFBB07DB,坡道平面,1400000,27.44,地下二樓
RPXPMLMKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPXPMLMKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPPQMLMKLHGGFBB17DB,坡道平面,1500000,27.44,地下一樓
RPURMLMKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPURMLMKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPRRMLMKLHGGFBB47DB,坡道平面,1400000,27.44,地下二樓
RPPRMLMKLHGGFBB27DB,坡道平面,1500000,27.44,地下一樓
RPTRMLMKLHGGFBB67DB,坡道平面,1400000,27.44,地下二樓
RPWRMLMKLHGGFBB97DB,坡道平面,1500000,27.44,地下一樓
RPWRMLMKLHGGFBB97DB,坡道平面,1500000,27.44,地下一樓
RPTSMLMKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPVRMLMKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPWOMLQKLHGGFCB08CB,坡道平面,1700000,35.12,地下二樓
RPWOMLQKLHGGFCB08CB,坡道平面,1700000,35.12,地下二樓
RPTPMLQKLHGGFCB87CB,坡道平面,1800000,35.12,地下一樓
RPSPMLQKLHGGFCB77CB,坡道平面,1600000,33.06,地下二樓
RPWOMLPKLHGGFDB08CB,坡道平面,1100000,33.05,
RPOPMLQKLHGGFCB37CB,坡道平面,1800000,35.12,地下一樓
RPQPMLQKLHGGFCB57CB,坡道平面,1800000,35.12,地下一樓
RPXPMLQKLHGGFCB28CB,坡道平面,1700000,33.06,地下一樓
RPVPMLQKLHGGFCB08CB,坡道平面,1500000,33.06,地下三樓
RPTNMLQKLHGGFBB67DB,坡道平面,1400000,27.44,地下二樓
RPQPMLLKLHGGFBB07DB,坡道平面,1400000,27.44,地下二樓
RPQPMLLKLHGGFBB07DB,坡道平面,1400000,27.44,地下二樓
RPQQMLQKLHGGFCB67CB,坡道平面,1600000,35.12,地下三樓
RPVNMLQKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPSRMLQKLHGGFBB97DB,坡道平面,1400000,27.44,地下二樓
RPSRMLQKLHGGFBB97DB,坡道平面,1400000,27.44,地下二樓
RPOOMLQKLHGGFBB27DB,坡道平面,1400000,27.44,地下二樓
RPQRMLQKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPQRMLQKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPVRMLQKLHGGFBB28DB,坡道平面,1500000,27.44,地下一樓
RPURMLQKLHGGFBB18DB,坡道平面,1500000,27.44,地下一樓
RPURMLQKLHGGFBB18DB,坡道平面,1500000,27.44,地下一樓
RPRRMLQKLHGGFBB87DB,坡道平面,1500000,27.44,地下一樓
RPXSMLQKLHGGFBB58DB,坡道平面,1400000,27.44,地下二樓
RPWRMLQKLHGGFBB38DB,坡道平面,1500000,27.44,地下一樓
RPWRMLQKLHGGFBB38DB,坡道平面,1500000,27.44,地下一樓
RPTSMLQKLHGGFBB18DB,坡道平面,1400000,27.44,地下二樓
RPQTMLQKLHGGFBB97DB,坡道平面,1400000,27.44,地下二樓
RPPUMLQKLHGGFBB97DB,坡道平面,1400000,27.44,
RPVTMLQKLHGGFBB48DB,坡道平面,1400000,27.44,地下二樓
RPVTMLQKLHGGFBB48DB,坡道平面,1400000,27.44,地下二樓
RPXNMLRKLHGGFBB18DB,坡道平面,1400000,27.44,地下二樓
RPTNMLRKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPTNMLRKLHGGFBB77DB,坡道平面,1400000,27.44,地下二樓
RPWPMLRKLHGGFBB28DB,坡道平面,1500000,27.44,地下一樓
RPWPMLRKLHGGFBB28DB,坡道平面,1500000,27.44,地下一樓
RPXQMLRKLHGGFBB48DB,坡道平面,1400000,27.44,
RPXQMLRKLHGGFBB48DB,坡道平面,1400000,27.44,
RPQOMLRKLHGGFBB57DB,坡道平面,1500000,27.44,地下一樓
RPQRMLRKLHGGFBB87DB,坡道平面,1500000,27.44,地下一樓
RPQRMLRKLHGGFBB87DB,坡道平面,1500000,27.44,地下一樓
RPVRMLRKLHGGFBB38DB,坡道平面,1400000,27.44,地下二樓
RPVRMLRKLHGGFBB38DB,坡道平面,1400000,27.44,地下二樓
RPQTMLRKLHGGFBB08DB,坡道平面,1400000,27.44,地下二樓
RPSSMLRKLHGGFBB18DB,坡道平面,1500000,27.44,地下一樓
RPWRMLRKLHGGFBB48DB,坡道平面,1500000,27.44,地下一樓
RPPSMLRKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPPSMLRKLHGGFBB87DB,坡道平面,1400000,27.44,地下二樓
RPRSMLRKLHGGFBB08DB,坡道平面,1400000,27.44,地下二樓
RPRSMLRKLHGGFBB08DB,坡道平面,1400000,27.44,地下二樓
RPUTMLRKLHGGFBB48DB,坡道平面,1400000,27.44,地下二樓
RPUTMLRKLHGGFBB48DB,坡道平面,1400000,27.44,地下二樓
RPQNMLSKLHGGFBB57DB,坡道平面,1400000,27.44,地下二樓
RPVNMLSKLHGGFBB08DB,坡道平面,1500000,27.44,地下一樓
RPXNMLSKLHGGFBB28DB,坡道平面,1400000,27.44,地下二樓
