編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTVMLLKLHGGFBB97CC,坡道平面,0,38.40,
RPWPMLLKLHGGFCB77CC,坡道機械,0,,
RPROMLMKLHGGFIB87CC,坡道平面,0,34.75,
RPROMLMKLHGGFIB87CC,坡道平面,0,34.75,
RPPPMLMKLHGGFCB17CC,坡道機械,0,,
RPPPMLMKLHGGFCB17CC,坡道機械,0,,
RPPPMLMKLHGGFCB17CC,坡道機械,0,,
RPXOMLMKLHGGFCB87CC,坡道機械,0,,
RPTPMLMKLHGGFCB57CC,坡道平面,0,19.27,
RPTPMLMKLHGGFCB57CC,坡道平面,0,21.35,
RPQPMLMKLHGGFCB27CC,坡道平面,0,,
RPQPMLMKLHGGFCB27CC,坡道機械,0,,
RPVQMLPKLHGGFBB08CC,坡道平面,1500,34.66,
RPXSMLPKLHGGFBB48CC,坡道機械,0,13.34,
RPVOMLPKLHGGFCB97CC,坡道平面,0,,
RPOPMLPKLHGGFCB37CC,坡道平面,0,,
RPROMLPKLHGGFCB57CC,坡道機械,0,,
RPROMLPKLHGGFCB57CC,坡道機械,0,,
RPROMLRKLHGGFBB67CC,坡道機械,0,10.00,
RPTPMLRKLHGGFBB97CC,坡道平面,0,41.27,
RPVNMLRKLHGGFCB08CC,坡道機械,700,,
RPRNMLRKLHGGFJB38CC,坡道機械,500,,
RPVOMLSKLHGGFBB28DC,坡道平面,0,23.87,
RPXNMLRKLHGGFDB38CC,坡道平面,1500,30.04,
RPQNMLSKLHGGFCB67CC,坡道平面,0,,
RPOTMLSKLHGGFCB08CC,坡道機械,0,12.36,
RPPTMLSKLHGGFCB18CC,坡道機械,0,13.34,
RPRRMLTKLHGGFBB18CC,坡道平面,0,34.66,
RPUTMLTKLHGGFCB78CC,坡道平面,0,,
RPXVMLMLLHGGFCB68CC,坡道平面,0,,
RPQRMLMLLHGGFBB47CC,坡道機械,0,,
RPOWMLMLLHGGFCB87CC,坡道平面,0,22.28,
RPOTMLNLLHGGFCB67CC,坡道平面,0,,
RPSSMLNLLHGGFCB97CC,坡道平面,0,33.07,
RPQQMLNLLHGGFCB67DC,坡道機械,0,,
RPSRMLOLLHGGFCB97CC,坡道機械,600,19.83,
RPXRMLOLLHGGFCB48CC,坡道機械,0,11.72,
RPOQMLOLLHGGFBB37CC,坡道平面,0,,
RPXQMLOLLHGGFBB28CC,坡道平面,1900,,
RPTPMLPLLHGGFCB97CC,坡道機械,0,,
RPSNMLPLLHGGFIB28CC,坡道平面,0,30.49,
RPUNMLPLLHGGFJB58CC,坡道平面,2000,31.32,
RPOQMLPLLHGGFAB37CC,坡道機械,0,,
RPOQMLPLLHGGFAB37CC,坡道機械,0,,
RPQQMLPLLHGGFAB57CC,坡道平面,0,,
RPQQMLPLLHGGFAB57CC,坡道平面,0,,
RPXNMLQLLHGGFAB08CC,坡道平面,0,,
RPSQMLPLLHGGFAB77CC,坡道平面,0,,
RPUNMLQLLHGGFAB77CC,坡道機械,0,,
RPUNMLQLLHGGFAB77CC,坡道機械,0,,
RPPOMLQLLHGGFAB37CC,坡道平面,0,,
RPXNMLQLLHGGFCB28CC,坡道機械,2500,,
RPXNMLQLLHGGFCB28CC,坡道機械,2500,,
RPSOMLQLLHGGFCB87CC,坡道平面,0,17.27,
RPSOMLQLLHGGFCB87CC,坡道平面,0,17.27,
RPTOMLQLLHGGFCB97CC,坡道平面,0,,
RPTOMLQLLHGGFCB97CC,坡道機械,0,,
RPQPMLQLLHGGFBB67CC,坡道平面,0,,
RPPOMLQLLHGGFCB57CC,坡道平面,0,,
RPPOMLQLLHGGFCB57CC,坡道機械,0,,
RPPWMLQLLHGGFBB28CC,坡道平面,0,25.10,
RPVOMLTLLHGGFCB48CC,坡道平面,0,,
RPOOMLTLLHGGFCB77CC,一樓平面,0,,
RPUOMLTLLHGGFCB38CC,坡道機械,0,13.86,
RPTPMLTLLHGGFCB38CC,坡道平面,0,,
RPVQMLTLLHGGFCB68CC,升降機械,400,30.54,
RPSRMLTLLHGGFCB48CC,坡道機械,0,3.41,
RPXOMLTLLHGGFBB58CC,坡道平面,0,,
RPXQMLTLLHGGFCB88CC,坡道平面,1000,26.35,
RPURMLTLLHGGFCB68CC,坡道機械,0,14.22,
RPRPMLTLLHGGFBB08CC,坡道平面,0,,
RPQOMLTLLHGGFIB58CC,坡道平面,0,29.10,
RPRNMLTLLHGGFAB77CC,坡道平面,0,29.30,
RPVPMLKMLHGGFAB57CC,坡道機械,0,,
RPVNMLKMLHGGFCB57CC,坡道平面,0,36.41,
RPVNMLKMLHGGFCB57CC,坡道平面,0,36.41,
RPUNMLKMLHGGFBB37CC,坡道平面,0,67.39,
