鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),基隆市中山區中山一路257號,0.0,商,,,1100223,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0550330,80.06,0,0,0,無,無,無,28000,350,,0.0,0,含管理費、稅金或水電等費用。；管理費用由承租人補貼每個月500元整。,RPQOMLLKLHGGFCC17CC
中正區,建物,基隆市中正區中正路656巷47號,0.0,住,,,1100118,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630723,62.78,3,1,1,有,無,有,12000,191,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXNMLLKLHGGFBC67CC
安樂區,房地(土地+建物),基隆市安樂區武嶺街299號四樓之4,18.5,其他,,,1100307,土地4建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850216,68.49,2,1,1,有,有,有,8000,117,,0.0,0,,RPXNMLMKLHGGFCC87CC
暖暖區,建物,基隆市暖暖區過港路104之1號2樓,0.0,住,,,1100215,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900524,88.47,3,2,2,有,無,有,10000,113,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPPOMLPKLHGGFCC47CC
信義區,建物,基隆市信義區東光路205巷51號2樓,0.0,住,,,1100219,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,94.81,3,2,2,有,無,有,12000,127,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPROMLPKLHGGFBC57CC
仁愛區,建物,基隆市仁愛區公園街312之2號,0.0,商,,,1100222,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700908,46.7,1,1,1,有,無,有,7000,150,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPSOMLPKLHGGFBC67CC
中正區,房地(土地+建物)+車位,基隆市中正區觀海街92號5樓,22.39,住,,,1100307,土地1建物1車位1,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,147.68,2,2,2,有,有,有,13000,88,坡道平面,34.99,0,含管理費、稅金或水電等費用。；,RPQOMLPKLHGGFBC57DC
信義區,房地(土地+建物),基隆市信義區深溪路77號,13.6,商,,,1100312,土地1建物1車位0,全,5,透天厝,地下一層：辦公室，一層：店舖，二層：辦公室，三至五層：集合住宅，突出物一層：樓梯間,鋼筋混凝土造,0961122,113.24,0,0,0,無,有,無,28000,247,,0.0,0,,RPROMLQKLHGGFBC77DC
信義區,建物,基隆市信義區深溪路36巷70弄17號3樓,0.0,住,,,1100305,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,106.85,4,1,1,有,有,有,10000,94,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOOMLQKLHGGFBC37CC
信義區,建物,基隆市信義區東明路10號5樓,0.0,商,,,1100219,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840120,127.97,4,1,2,有,有,有,11500,90,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQOMLQKLHGGFBC57CC
中正區,建物,基隆市中正區新豐街460號之6  16樓,0.0,住,,,1100220,土地0建物1車位0,十六層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,28.24,1,1,1,有,有,有,8000,283,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPUOMLQKLHGGFBC97CC
信義區,建物,基隆市信義區深溪路36巷70弄9號6樓,0.0,住,,,1100227,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,85.46,3,1,1,有,有,有,13500,158,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWOMLQKLHGGFBC18CC
