鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶6樓,24.11,住,,,1090810,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10770000,81886,坡道平面,33.63,1150000,,RPQOMLLKLHGGFKD97CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶7樓,24.11,住,,,1090805,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10560000,80950,坡道平面,33.63,1050000,,RPROMLLKLHGGFKD08CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶8樓,24.11,住,,,1090909,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10980000,83674,坡道平面,33.63,1150000,,RPSOMLLKLHGGFKD18CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶9樓,24.11,住,,,1090921,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,11120000,84014,坡道平面,33.63,1250000,,RPTOMLLKLHGGFKD28CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶10樓,23.93,住,,,1090911,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.04,3,2,2,有,無,10800000,82142,坡道平面,32.56,1150000,,RPWOMLLKLHGGFKD58CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶11樓,24.11,住,,,1090813,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10850000,82142,坡道平面,33.63,1200000,,RPXOMLLKLHGGFKD68CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶12樓,24.11,住,,,1090824,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10910000,83078,坡道平面,33.63,1150000,,RPOPMLLKLHGGFKD87CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶13樓,24.11,住,,,1090901,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10950000,83418,坡道平面,33.63,1150000,,RPPPMLLKLHGGFKD97CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2R戶14樓,24.11,住,,,1090904,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,10950000,82142,坡道平面,33.63,1300000,,RPQPMLLKLHGGFKD08CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2S戶2樓,17.76,住,,,1090709,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.34,2,2,1,有,無,6520000,62507,坡道平面,33.63,1100000,,RPRPMLLKLHGGFKD18CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2S戶3樓,17.76,住,,,1090703,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.34,2,2,1,有,無,6680000,66082,坡道平面,33.63,950000,,RPSPMLLKLHGGFKD28CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2S戶4樓,17.76,住,,,1090717,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.34,2,2,1,有,無,6770000,65967,坡道平面,33.63,1050000,,RPUPMLLKLHGGFKD48CB
永康區,房地(土地+建物)+車位,臺南市永康區橋北段0039地號2S戶5樓,17.76,住,,,1090708,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.34,2,2,1,有,無,7010000,68735,坡道平面,33.63,1050000,,RPVPMLLKLHGGFKD58CB
