編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKLHGGFAD57CC,26,196.48,住商用,鋼筋混凝土造,84年5月11日,三層,
RPRNMLLKLHGGFAD07CC,24,22.13,住家用,鋼筋混凝土造,86年1月18日,十二層,
RPRNMLLKLHGGFAD07CC,24,3.35,共有部分,鋼筋混凝土造,86年1月18日,十二層,
RPRNMLLKLHGGFAD07CC,24,3.75,共有部分,鋼筋混凝土造,86年1月18日,十二層,
RPVNMLLKLHGGFAD47CC,40,103.40,住家用,加強磚造,69年9月17日,二層,
RPXOMLLKLHGGFAD77CC,53,56.91,住商用,加強磚造,57年3月30日,三層,
RPXNMLLKLHGGFAD67CC,46,91.62,住家用,加強磚造,63年9月3日,三層,
RPVNMLLKLHGGFCD67CC,47,117.65,住家用,加強磚造,63年6月4日,二層,
RPOOMLLKLHGGFAD86CC,41,97.34,住家用,鋼筋混凝土造,68年10月2日,四層,
RPOOMLLKLHGGFAD86CC,,13.92,共有部分,鋼筋混凝土造,,五層,
RPSOMLLKLHGGFAD27CC,25,18.64,住家用,鋼筋混凝土造,84年11月21日,十二層,
RPSOMLLKLHGGFAD27CC,25,6.81,共有部分,鋼筋混凝土造,84年11月21日,十二層,
RPRPMLLKLHGGFAD27CC,54,30.19,住家用,加強磚造,56年1月1日,二層,
RPUPMLLKLHGGFCD77CC,28,59.58,住家用,鋼筋混凝土造,81年12月22日,九層,
RPUPMLLKLHGGFCD77CC,28,9.84,共有部分,鋼筋混凝土造,81年12月22日,九層,
RPWPMLLKLHGGFCD97CC,3,106.81,集合住宅,鋼筋混凝土造,106年10月31日,十五層,
RPWPMLLKLHGGFCD97CC,3,49.68,本共有部分之項目有：門廊、門廳、梯廳、公共服務空間、樓梯間、管理委員會、防空避難室兼停車空間、停車空間共８項。,鋼筋混凝土造,106年10月31日,十五層,
