編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLLKLHGGFCD97CC,坡道平面,0,29.01,
RPVNMLOKLHGGFAD77CC,坡道機械,0,8.28,
RPWNMLOKLHGGFAD87CC,坡道機械,0,8.28,
RPPOMLRKLHGGFAD57CC,坡道平面,0,33.38,
RPUOMLMLLHGGFCD87CC,坡道機械,0,26.73,
RPROMLNLLHGGFKD48CC,一樓平面,0,,
RPVPMLOLLHGGFAD08CC,坡道平面,0,14.99,
RPQOMLPLLHGGFAD57CC,坡道平面,0,,
RPPPMLQLLHGGFCD97DC,坡道平面,0,32.15,
RPTNMLKMLHGGFAD37CC,坡道平面,0,,
RPWOMLKMLHGGFAD77CC,坡道平面,0,,
RPUNMLKMLHGGFCD67CC,坡道平面,0,25.32,
RPWNMLKMLHGGFCD87CC,坡道平面,0,25.32,
RPTOMLLMLHGGFKD58CC,坡道平面,0,,
RPSOMLLMLHGGFAD47CC,坡道平面,0,,
RPSNMLMJMHGGFAD27CC,一樓平面,0,,
RPPOMLRJMHGGFID38CC,一樓平面,0,,
RPUOMLMKMHGGFKD68CC,坡道平面,0,22.38,
RPUNMLPKMHGGFAD87CC,一樓平面,0,,
RPSNMLPKMHGGFBD77CC,一樓平面,0,,
RPTNMLQKMHGGFKD88CC,坡道平面,0,26.45,
RPTNMLQKMHGGFKD88CC,其他,0,,
RPOOMLQKMHGGFAD47CC,坡道機械,0,29.15,
RPOOMLQKMHGGFAD47CC,其他,0,,
RPQOMLTKMHGGFAD97CC,坡道平面,0,,
RPTPMLTKMHGGFAD38CC,坡道平面,0,25.75,
RPUNMLKLMHGGFAD47CC,坡道平面,0,30.66,
RPUNMLKLMHGGFAD47CC,其他,0,,
RPSNMLMLMHGGFID28CC,坡道平面,0,,
RPWNMLKMMHGGFCD97CC,坡道平面,0,29.31,
RPUNMLNJNHGGFKD68CC,一樓平面,0,,
RPQOMLNJNHGGFKD38CC,坡道平面,0,22.39,
RPSNMLOJNHGGFAD57CC,一樓平面,0,,
RPROMLQJNHGGFCD97CC,坡道平面,0,19.86,
RPUNMLRJNHGGFHD78CC,坡道平面,0,36.72,
RPPOMLRJNHGGFHD38CC,一樓平面,0,,
RPQWMLMKNHGGFKD56CC,其他,0,,
RPPOMLLKNHGGFKD28DC,坡道機械,0,,
RPWOMLMKNHGGFAD97CC,坡道平面,0,,
RPWQMLOKNHGGFCD58CC,坡道平面,0,19.86,
RPXOMLRKNHGGFHD76DC,坡道機械,0,5.61,
RPPOMLSKNHGGFCD18DC,坡道平面,0,19.86,
RPRNMLTKNHGGFAD08CC,坡道平面,0,31.86,
RPRNMLTKNHGGFAD08CC,坡道平面,0,31.86,
RPVNMLTKNHGGFKD86CC,坡道機械,0,,
RPROMLKLNHGGFHD08CC,坡道平面,0,,
RPROMLKLNHGGFHD08CC,坡道平面,0,,
RPSOMLKLNHGGFAD47CC,坡道機械,0,,
RPTNMLLLNHGGFHD28CC,其他,0,12.00,一樓
RPVOMLOLNHGGFAD18CC,坡道平面,0,,地下二樓
RPURMLOLNHGGFAD38CC,坡道平面,0,,地下三樓
RPURMLOLNHGGFAD38CC,其他,0,,地下二樓
RPPPMLPLNHGGFCD97CC,坡道平面,0,16.60,地下一樓
RPSNMLPLNHGGFAD87CC,坡道平面,0,26.55,地下三樓
RPPPMLPLNHGGFAD77CC,坡道機械,0,23.35,地下三樓
RPSOMLQLNHGGFAD08CC,坡道機械,0,,地下一樓
RPSOMLQLNHGGFAD08CC,其他,0,,地下一樓
RPTQMLQLNHGGFKD76CC,坡道機械,0,10.28,地下三樓
RPUPMLSLNHGGFKD96CC,一樓平面,0,,一樓
RPUNMLLMNHGGFAD77CC,坡道機械,0,23.36,地下四樓
RPUOMLLMNHGGFAD87CC,坡道平面,0,23.36,地下五樓含以下
RPTQMLLMNHGGFAD97CC,坡道平面,0,,地下一樓
RPOPMLLMNHGGFHD08CC,一樓平面,0,,一樓
