鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前金區,房地(土地+建物),高雄市前金區自強一路46號6樓之1、6樓之3,12.45,商,,,1100223,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0691021,60.42,1,0,0,無,有,無,8333,138,,0.0,0,,RPXNMLLKLHGGFAE77CC
鼓山區,房地(土地+建物),高雄市鼓山區美明路8號,188.73,住,,,1100308,土地1建物1車位0,全,3,透天厝,見其它登記事項,見其它登記事項,1091207,327.45,0,0,0,無,無,有,105000,321,,0.0,0,,RPSOMLLKLHGGFAE37CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路50號,26.51,住,,,1100309,土地1建物1車位1,見其它登記事項,1,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0971021,169.4,0,0,0,無,無,有,60000,354,坡道平面,16.63,0,,RPUOMLLKLHGGFAE57CC
鼓山區,建物,高雄市鼓山區裕誠路1073號7樓之2,10.13,其他,,,1100311,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950407,69.66,3,2,2,有,有,有,15000,215,,0.0,0,,RPRPMLLKLHGGFAE37CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠三路691號11樓,18.59,商,,,1100215,土地1建物1車位1,十一層,19,辦公商業大樓,商業用,鋼筋混凝土造,0971104,235.95,0,0,0,無,有,無,51000,216,坡道平面,0.0,0,,RPOQMLLKLHGGFAE17CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠三路695號11樓,19.76,商,,,1100224,土地1建物1車位1,十一層,19,辦公商業大樓,商業用,鋼筋混凝土造,0971104,235.23,0,0,0,無,無,無,60000,255,坡道平面,0.0,0,,RPPQMLLKLHGGFAE27CC
新興區,房地(土地+建物),高雄市新興區自立二路98號12樓,12.94,商,,,1100304,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050617,165.47000000000003,3,2,2,有,有,有,40000,242,,0.0,0,,RPWNMLLKLHGGFBE77CC
苓雅區,建物,高雄市苓雅區四維三路263號9樓之E室,0.0,商,,,1100311,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,57.16,0,0,0,無,有,無,6500,114,,0.0,0,9樓為整層屋主自行隔間出租,RPPOMLLKLHGGFBE17CC
前鎮區,建物,高雄市前鎮區崗山南街290號1樓,143.0,商,,,1100309,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0950807,37.9,0,0,0,無,無,無,26000,686,,0.0,0,,RPPNMLLKLHGGFCE17CC
