編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLKLHGGFAE77CC,40,60.42,,鋼筋混凝土造,69年10月21日,七層,
RPRPMLLKLHGGFAE37CC,15,69.66,住家用,鋼筋混凝土造,95年4月7日,十三層,
RPSOMLLKLHGGFAE37CC,,327.45,住宅,鋼筋混凝土,109年12月7日,三層,
RPUOMLLKLHGGFAE57CC,12,111.80,住商用,鋼筋混凝土造,97年10月21日,十五層,
RPUOMLLKLHGGFAE57CC,12,17.20,住商用,鋼筋混凝土造,97年10月21日,十五層,
RPUOMLLKLHGGFAE57CC,12,40.40,共有部份,鋼筋混凝土造,97年10月21日,十五層,
RPPOMLLKLHGGFBE17CC,31,57.16,,鋼筋混凝土造,78年11月9日,十二層,
RPPNMLLKLHGGFCE17CC,15,37.90,住商用,鋼筋混凝土造,95年8月7日,五層,
RPWRMLLKLHGGFCE28CC,42,58.85,,鋼筋混凝土造,67年10月24日,五層,
RPSNMLLKLHGGFCE47CC,3,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,
RPSNMLLKLHGGFCE47CC,3,15.31,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,
RPSNMLLKLHGGFCE47CC,3,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,
RPVRMLLKLHGGFCE18CC,45,86.40,,鋼筋混凝土造,64年9月27日,四層,
RPVRMLLKLHGGFCE18CC,45,80.10,,鋼筋混凝土造,64年9月27日,四層,
RPTSMLLKLHGGFCE08CC,1,189.47,住宅,鋼筋混凝土,109年1月15日,四層,
RPSSMLLKLHGGFCE97CC,4,95.80,集合住宅,鋼筋混凝土造,106年8月9日,十五層,
RPWNMLLKLHGGFDE97CC,30,116.43,,鋼筋混凝土造,79年12月11日,九層,
RPWNMLLKLHGGFDE97CC,30,33.69,,鋼筋混凝土造,79年12月11日,九層,
RPPOMLLKLHGGFDE37CC,53,71.37,住家用,加強磚造,57年6月15日,二層,
RPROMLLKLHGGFDE57CC,15,209.24,工業用,鋼骨造,95年4月4日,一層,
RPOPMLLKLHGGFDE37CC,41,25.46,,鋼筋混凝土造,69年7月18日,十二層,
RPOPMLLKLHGGFDE37CC,41,9.14,,鋼筋混凝土造,69年7月18日,十二層,
RPSOMLLKLHGGFDE67CC,26,22.52,住家用,鋼筋混凝土造,84年6月15日,二十一層,
RPSOMLLKLHGGFDE67CC,26,11.67,見使用執照,鋼筋混凝土造,84年6月15日,二十一層,
RPVPMLLKLHGGFEE18CC,12,50.45,住家用,鋼筋混凝土造,97年9月12日,十五層,
RPVPMLLKLHGGFEE18CC,12,25.56,共有部份,鋼筋混凝土造,97年9月12日,十五層,
RPTQMLLKLHGGFEE08CC,40,54.12,,鋼筋混凝土造,69年8月19日,四層,
RPRNMLLKLHGGFGE77CC,3,152.72,工廠,鋼骨構造,107年7月12日,一層,
RPVOMLLKLHGGFFE18CC,15,136.43,住商用,鋼筋混凝土造,95年5月12日,十一層,
RPUOMLLKLHGGFIE38CC,19,160.75,住家用,鋼筋混凝土造,90年12月6日,四層,
RPWNMLLKLHGGFJE58CC,6,155.32,工廠,鋼骨構造（有牆）,104年7月9日,一層,
RPQNMLLKLHGGFIE97DC,2,94.46,住宅,鋼筋混凝土,108年5月23日,五層,
RPSNMLMKLHGGFGE08DC,27,58.73,住家用,鋼筋混凝土造,83年1月28日,十三層,
RPUNMLMKLHGGFGE18CC,23,39.31,住商用,鋼筋混凝土造,87年1月26日,十四層,
RPUNMLMKLHGGFGE18CC,23,17.60,住商用,鋼筋混凝土造,87年1月26日,十四層,
RPUNMLMKLHGGFGE18CC,23,24.77,共有部份,鋼筋混凝土造,87年1月26日,十四層,
RPVNMLMKLHGGFGE28CC,23,50.12,住商用,鋼筋混凝土造,87年1月26日,十四層,
RPVNMLMKLHGGFGE28CC,23,13.14,住商用,鋼筋混凝土造,87年1月26日,十四層,
RPVNMLMKLHGGFGE28CC,23,6.98,住商用,鋼筋混凝土造,87年1月26日,十四層,
RPVNMLMKLHGGFGE28CC,23,24.77,共有部份,鋼筋混凝土造,87年1月26日,十四層,
RPQPMLMKLHGGFEE77CC,47,95.63,,加強磚造,63年5月4日,二層,
RPQPMLMKLHGGFEE77CC,47,40.68,,加強磚造,62年11月23日,二層,
RPOOMLMKLHGGFGE67CC,13,156.40,店舖、集合住宅,鋼筋混凝土,97年4月1日,十四層,
RPQNMLMKLHGGFDE47CC,33,45.65,,鋼筋混凝土造,77年7月19日,四層,
RPOOMLMKLHGGFDE37CC,7,797.68,住商用,鋼筋混凝土造,103年1月13日,五層,
RPOQMLLKLHGGFAE17CC,12,235.95,商業用,鋼筋混凝土造,97年11月4日,十九層,
RPURMLLKLHGGFCE08CC,25,149.16,住商用,鋼筋混凝土造,84年10月26日,四層,
RPSOMLMKLHGGFDE77CC,40,284.77,,鋼筋混凝土造,70年5月14日,五層,
RPPOMLMKLHGGFDE47CC,27,128.21,住家用,鋼筋混凝土造,83年5月12日,八層,
RPTOMLMKLHGGFAE57CC,37,133.99,,鋼筋混凝土造,72年9月20日,十二層,
RPTOMLMKLHGGFAE57CC,37,29.94,,鋼筋混凝土造,72年9月20日,十二層,
RPTOMLMKLHGGFDE87CC,20,439.09,住家用,鋼筋混凝土造,90年4月18日,五層,
RPTOMLMKLHGGFCE77CC,28,88.64,住家用,鋼筋混凝土造,81年12月16日,十二層,
RPPQMLLKLHGGFAE27CC,12,235.23,商業用,鋼筋混凝土造,97年11月4日,十九層,
RPPNMLNKLHGGFEE57CC,3,66.23,集合住宅,鋼筋混凝土,107年6月6日,十五層,
RPPNMLNKLHGGFEE57CC,3,33.52,本共有部分之項目有防空避難室兼停車空間、樓梯間、無障礙設施廁所、門廊、管委會使用空間、車道、機械室、水箱等８項。,鋼筋混凝土,107年6月6日,十五層,
RPWNMLLKLHGGFBE77CC,5,94.68,住家用,鋼筋混凝土造,105年6月17日,十五層,
RPWNMLLKLHGGFBE77CC,5,70.79,共有部份,鋼筋混凝土造,105年6月17日,十五層,
