編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLLKLHGGFAE77CC,東金段,12.45,都市：商,,,,18760000
RPRPMLLKLHGGFAE37CC,龍華段八小段,10.13,都市：其他:第四種商業區,,,,23830000
RPSOMLLKLHGGFAE37CC,青海段,188.73,都市：住,,,,00200000
RPUOMLLKLHGGFAE57CC,青海段,26.51,都市：住,,,,04560000
RPPOMLLKLHGGFBE17CC,過田子段,.00,都市：商,,,,11360000
RPPNMLLKLHGGFCE17CC,籬子內段崗山子小段,143.00,都市：商,,,,15070001
RPWRMLLKLHGGFCE28CC,鎮昌段,.00,都市：住,,,,02930000
RPSNMLLKLHGGFCE47CC,盛興段,12.20,都市：住,,,,14920000
RPVRMLLKLHGGFCE18CC,愛群段,70.00,都市：商,,,,29210000
RPTSMLLKLHGGFCE08CC,宏明段,88.70,都市：住,,,,05870029
RPSSMLLKLHGGFCE97CC,店鎮段一小段,8.00,都市：住,,,,11110000
RPWNMLLKLHGGFDE97CC,大港段四小段,15.89,都市：商,,,,33780000
RPPOMLLKLHGGFDE37CC,灣興段,48.00,都市：農,,,,08040001
RPROMLLKLHGGFDE57CC,灣興段,359.75,都市：工,,,,05820016
RPOPMLLKLHGGFDE37CC,大港段六小段,.00,都市：商,,,,06380001
RPOPMLLKLHGGFDE37CC,大港段六小段,.00,都市：其他:道路用地,,,,06380014
RPSOMLLKLHGGFDE67CC,大港段七小段,.00,都市：商,,,,04440006
RPVPMLLKLHGGFEE18CC,德昌段,.00,都市：住,,,,01600000
RPTQMLLKLHGGFEE08CC,新庄段四小段,80.00,都市：住,,,,04340000
RPRNMLLKLHGGFGE77CC,牛潮埔段,240.00,都市：工,,,,10780010
RPXNMLLKLHGGFGE38CC,曹公段,482.15,都市：農,,,,02970060
RPTNMLLKLHGGFGE97CC,牛潮埔段,528.92,都市：工,,,,01670001
RPUOMLLKLHGGFFE08CC,梓信段,644.70,都市：其他:分區界線尚未分割,,,,00360000
RPVOMLLKLHGGFFE18CC,岡山段,96.96,都市：住,,,,04620000
RPSNMLLKLHGGFIE08CC,烏林段,214.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,,,,06010000
