編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUOMLLKLHGGFAE57CC,坡道平面,0,16.63,
RPOQMLLKLHGGFAE17CC,坡道平面,0,,
RPPOMLMKLHGGFDE47CC,升降機械,0,,
RPPQMLLKLHGGFAE27CC,坡道平面,0,,
RPXNMLOKLHGGFCE28CC,坡道平面,0,38.04,
RPXNMLPKLHGGFBE28CC,坡道平面,0,,
RPQOMLPKLHGGFBE67CC,坡道平面,2200,14.65,
RPPPMLQKLHGGFEE08CC,坡道平面,0,26.22,
RPRUMLQKLHGGFEE78CC,塔式車位,0,15.79,
RPSUMLQKLHGGFEE88CC,坡道平面,0,42.93,
RPPQMLQKLHGGFAE77CC,坡道平面,0,20.81,
RPUPMLRKLHGGFCE48CC,坡道平面,0,24.85,
RPTNMLRKLHGGFBE08CC,坡道平面,1500,12.66,
RPQRMLRKLHGGFEE48CC,坡道平面,0,16.51,
RPTQMLRKLHGGFEE68CC,坡道機械,0,11.24,
RPSQMLRKLHGGFEE58CC,坡道平面,0,27.31,
RPWNMLSKLHGGFAE38CC,坡道平面,0,16.66,
RPSOMLQKLHGGFCE08CC,坡道平面,0,34.72,
RPTNMLRKLHGGFCE18CC,坡道平面,0,24.85,
RPXNMLSKLHGGFDE78CC,坡道平面,0,24.28,
RPQOMLTKLHGGFDE28CC,坡道平面,0,28.51,
RPWNMLTKLHGGFAE48CC,坡道平面,0,29.45,
RPRNMLTKLHGGFEE38CC,坡道機械,0,,
RPRNMLTKLHGGFEE38CC,坡道機械,0,,
RPVOMLMLLHGGFDE18CC,坡道平面,0,,
RPTOMLNLLHGGFBE87CC,坡道平面,2500,14.64,
RPUOMLNLLHGGFBE97CC,坡道平面,2500,14.65,
RPOPMLNLLHGGFAE37CC,坡道平面,0,,
RPUPMLNLLHGGFAE97CC,坡道機械,0,12.39,
RPVPMLNLLHGGFAE08CC,坡道平面,0,33.72,
RPVPMLNLLHGGFAE08CC,坡道平面,0,33.72,
RPRPMLNLLHGGFEE08CC,坡道機械,0,13.18,
RPSPMLNLLHGGFEE18CC,坡道平面,0,19.65,
RPSQMLNLLHGGFEE28CC,坡道機械,0,,
RPUNMLOLLHGGFGE48CC,坡道平面,0,23.84,
RPTNMLOLLHGGFIE68DC,坡道平面,0,34.77,
RPUPMLPLLHGGFCE38CC,坡道平面,0,15.88,
RPSOMLPLLHGGFDE18CC,坡道平面,0,27.62,
RPROMLPLLHGGFDE08CC,坡道機械,0,,
RPROMLPLLHGGFAE77CC,坡道平面,0,31.79,
RPSPMLPLLHGGFEE38CC,坡道機械,0,5.29,
RPRQMLPLLHGGFEE38CC,坡道機械,0,17.46,
RPRNMLQLLHGGFEE18CC,坡道平面,0,24.84,
RPWPMLQLLHGGFEE88CC,坡道平面,0,27.31,
RPQQMLQLLHGGFEE38CC,坡道平面,0,18.64,
RPXPMLQLLHGGFEE98CC,坡道機械,0,26.33,
RPRQMLQLLHGGFEE48CC,坡道平面,0,20.67,
RPWQMLQLLHGGFEE98CC,坡道平面,0,24.85,
RPROMLQLLHGGFAE87CC,坡道平面,0,30.82,
RPWOMLQLLHGGFAE38CC,坡道平面,0,18.33,
RPWOMLQLLHGGFAE38CC,坡道平面,0,18.33,
RPSOMLQLLHGGFAE97CC,坡道機械,0,8.25,
RPTPMLQLLHGGFAE18CC,坡道平面,0,18.86,
RPPOMLQLLHGGFBE77CC,坡道機械,0,34.09,
RPQNMLQLLHGGFDE97CC,坡道平面,0,21.10,
RPPNMLRLLHGGFAE67CC,坡道平面,2500,21.47,
RPRNMLTLLHGGFAE08CC,升降平面,4000,19.01,地下一樓
RPOOMLTLLHGGFBE97CC,坡道平面,1500,12.65,
RPOQMLTLLHGGFDE38CC,坡道平面,0,20.12,
RPSNMLKMLHGGFDE67CC,坡道機械,0,24.53,
RPPOMLKMLHGGFDE47CC,坡道機械,0,,
RPPQMLKMLHGGFEE77CC,坡道平面,0,21.56,
RPPOMLKMLHGGFIE97CC,坡道平面,0,25.56,
RPVNMLLMLHGGFBE87CC,坡道平面,0,,
RPSPMLLMLHGGFBE77CC,升降機械,0,,
RPSPMLLMLHGGFBE77CC,升降機械,0,,
RPSPMLLMLHGGFAE67CC,坡道平面,0,32.73,
RPSPMLLMLHGGFAE67CC,坡道平面,0,32.73,
RPPQMLLMLHGGFAE47CC,坡道平面,0,24.89,
RPTNMLLJMHGGFAE37CC,坡道機械,0,5.54,
RPROMLLJMHGGFAE27CC,坡道平面,0,19.90,
RPPQMLLJMHGGFAE27CC,坡道平面,0,19.52,
RPSQMLLJMHGGFAE57CC,坡道平面,0,30.82,
RPTNMLLJMHGGFBE47CC,坡道平面,0,13.90,
RPTQMLLJMHGGFAE67CC,坡道平面,0,33.81,
RPXOMLLJMHGGFBE97CC,坡道機械,0,21.82,
RPXNMLLJMHGGFBE87CC,坡道平面,0,15.17,
RPWNMLLJMHGGFBE77CC,坡道機械,0,9.88,
RPQOMLLJMHGGFDE47CC,坡道平面,0,25.55,
RPSOMLLJMHGGFDE67CC,坡道平面,0,30.79,
RPTQMLLJMHGGFDE97CC,坡道平面,0,76.06,
RPOPMLLJMHGGFEE47CC,坡道平面,0,27.31,
RPTOMLLJMHGGFEE87CC,坡道平面,0,33.26,
RPXPMLLJMHGGFGE58CC,坡道平面,0,,
RPXPMLLJMHGGFGE58CC,坡道平面,0,,
RPRNMLLJMHGGFFE67CC,坡道機械,0,15.27,
RPUNMLMJMHGGFEE97CC,坡道平面,0,,
RPOPMLQJMHGGFBE67CC,坡道平面,0,26.01,
RPPQMLQJMHGGFDE08CC,坡道平面,0,35.71,
RPQOMLQJMHGGFCE87CC,坡道平面,0,23.87,
RPXNMLRJMHGGFBE48CC,坡道平面,0,,
RPXNMLRJMHGGFBE48CC,坡道平面,0,,
RPXPMLRJMHGGFCE78CC,坡道平面,0,41.03,
RPWOMLRJMHGGFAE38CC,坡道機械,0,19.30,
RPXPMLRJMHGGFAE58CC,坡道機械,0,,
RPPRMLLJMHGGFEE77CC,坡道平面,0,21.56,
RPPQMLSJMHGGFEE38CC,坡道平面,0,21.38,
RPWOMLTJMHGGFCE78CC,坡道平面,0,17.48,
RPTOMLTJMHGGFGE88CC,坡道平面,0,,
RPRPMLTJMHGGFGE78CC,坡道平面,0,,
RPRPMLTJMHGGFGE78CC,坡道平面,0,,
RPQPMLTJMHGGFEE48CC,坡道平面,0,24.66,
RPPPMLMKMHGGFAE37CC,坡道平面,0,18.11,
RPTNMLMKMHGGFAE57CC,坡道機械,0,,
RPOPMLNKMHGGFAE37CC,坡道平面,0,22.02,
RPOQMLNKMHGGFFE97CC,坡道平面,0,,
RPVOMLNKMHGGFGE58CC,坡道平面,0,20.23,
RPSNMLOKMHGGFEE08CC,坡道平面,0,16.10,
RPUPMLOKMHGGFEE48CC,坡道平面,1000,21.24,
RPXNMLOKMHGGFCE38CC,坡道機械,0,18.33,
RPTNMLOKMHGGFDE08CC,坡道平面,0,36.12,
RPPPMLOKMHGGFDE87CC,坡道平面,0,21.47,
RPTNMLPKMHGGFBE97CC,坡道平面,2200,14.65,
RPUNMLPKMHGGFBE08CC,坡道平面,1800,12.66,
RPSNMLPKMHGGFAE77CC,坡道平面,0,15.50,
RPQPMLPKMHGGFIE58CC,坡道平面,0,50.91,地下二樓
RPPOMLPKMHGGFIE48DC,坡道平面,0,34.77,
RPROMLQKMHGGFDE18CC,坡道平面,0,16.66,
RPPQMLTKMHGGFAE18CC,坡道平面,0,26.54,地下四樓
