編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSJKIPFFAF48DA,中山段,7.40,都市：其他:住宅區,200000,1614,持分移轉,09930000
RPQNMLSJKIPFFAF48DA,中山段,7.40,都市：其他:住宅區,200000,1614,持分移轉,09930000
RPTNMLPKJHGGFAF57DA,江子翠段第二崁小段,7.45,都市：其他:住宅區,10000,12,持分移轉,01570000
RPPNMLPKKHGGFAF27DA,光仁段,29.25,都市：其他:住宅區,4,1,持分移轉,13520000
RPVQMLSJLHGGFAF48DA,新興段,3.52,都市：其他:商業區,100000,250,持分移轉,05380000
RPTPMLSJLHGGFAF18DA,中山段,14.75,都市：其他:住宅區,100000,1608,持分移轉,09930000
RPWOMLLMKIPFFAF78DA,中山段,11.10,都市：其他:住宅區,100000,1211,持分移轉,09930000
RPQRMLSJLHGGFAF08DA,亞東段,13.67,都市：其他:住宅區,6,1,持分移轉,09200000
RPQRMLSJLHGGFAF08DA,亞東段,1.17,都市：其他:住宅區,6,1,持分移轉,09210000
RPPSMLSJLHGGFAF08DA,光仁段,26.61,都市：其他:住宅區,10000,192,持分移轉,17170000
RPTWMLKLKHGGFAF18DA,江子翠段第一崁小段,6.43,都市：其他:住宅區,1000000,2377,持分移轉,01030011
RPXPMLTJLHGGFAF68DA,大庭段,30.50,都市：其他:住宅區,4,1,持分移轉,13300000
RPQUMLTJLHGGFAF48DA,信義段,11.38,都市：其他:住宅區,8,1,持分移轉,07140000
RPQUMLTJLHGGFAF48DA,信義段,11.38,都市：其他:住宅區,8,1,持分移轉,07140000
RPUQMLMLKHGGFAF87DA,光華段,8.50,都市：其他:住宅區,4,1,持分移轉,18540001
RPUQMLMLKHGGFAF87DA,光華段,23.50,都市：其他:住宅區,4,1,持分移轉,18550000
RPRNMLKKLHGGFAF07DA,員福段,36.37,都市：其他:第一種住宅區,50000,2110,持分移轉,02030000
RPTOMLKKLHGGFAF37DA,光華段,21.75,都市：其他:住宅區,4,1,持分移轉,08460000
RPOQMLLKJHGGFBF07DA,泰林段,2.52,都市：其他:商業區,950000,3206,持分移轉,00320000
RPOQMLLKJHGGFBF07DA,泰林段,7.05,都市：其他:乙種工業區,950000,3206,持分移轉,00330000
RPTNMLNJLHGGFAF47DA,學成段,31.09,都市：其他:第二種住宅區,10000,79,持分移轉,04100000
RPTTMLSKKHGGFAF58DA,中山段,.21,都市：其他:道路用地,103680,768,持分移轉,16390000
RPTTMLSKKHGGFAF58DA,中山段,.22,都市：其他:道路用地,103680,768,持分移轉,16400000
RPTTMLSKKHGGFAF58DA,中山段,.65,都市：其他:道路用地,103680,1536,持分移轉,18590000
RPTTMLSKKHGGFAF58DA,中山段,.84,都市：其他:道路用地,103680,768,持分移轉,18600000
RPTTMLSKKHGGFAF58DA,中山段,1.13,都市：其他:道路用地,103680,768,持分移轉,18600001
RPOOMLKMRHPFFBF58DA,中山段,54.71,都市：其他:乙種工業區,1000000,12691,持分移轉,09990000
