鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區中正路871巷22號3樓,0.0,住,,,1100305,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690714,93.69,4,2,1,有,無,有,13000,139,,0.0,0,,RPSQMLLKLHGGFBF77CC
新莊區,建物,新北市新莊區五工三路86巷19號,0.0,,工業區,丁種建築用地,1100305,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810225,156.51,0,0,1,有,無,無,37000,236,,0.0,0,含增建或未登記建物。；租金未稅.,RPORMLLKLHGGFBF47CC
五股區,建物,新北市五股區五工路149號,0.0,,工業區,丁種建築用地,1100302,土地0建物1車位0,一層,7,倉庫,成品倉庫,鋼筋混凝土造,0800111,327.27,0,0,0,無,無,無,100000,,,0.0,0,租金未稅.只承租一樓右側.,RPPRMLLKLHGGFBF57CC
五股區,建物,新北市五股區五權三路22號,0.0,,工業區,丁種建築用地,1100305,土地0建物1車位0,一層,5,工廠,工廠．辦公室,鋼筋混凝土造,0790327,643.71,0,0,0,無,無,有,240000,,,0.0,0,租金未稅.只承租後棟一樓部份.管理費另計.,RPRRMLLKLHGGFBF77CC
新莊區,房地(土地+建物),新北市新莊區化成路814巷21弄2號,175.57,工,,,1100306,土地1建物1車位0,一層,2,工廠,廠房，辦公室，單身宿舍,鋼筋混凝土造,0750802,133.72,0,0,0,無,無,無,55000,,,0.0,0,含增建或未登記建物。；租金未稅.,RPSRMLLKLHGGFBF87CC
新莊區,房地(土地+建物),新北市新莊區思源路94巷2-1號,301.45,工,,,1100309,土地1建物1車位0,全,4,透天厝,廠房，辦公室，宿舍，防空避難室,鋼骨鋼筋混凝土造,0880223,1051.94,0,0,0,無,無,無,315000,299,,0.0,0,含增建或未登記建物。；租金含稅.,RPWRMLLKLHGGFBF28CC
五股區,建物,新北市五股區御史路60號二樓,0.0,住,,,1100310,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070927,94.72,3,1,1,有,有,有,14000,148,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為15556，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為14000。,RPRUMLLKLHGGFBF08CC
板橋區,建物,新北市板橋區四維路282號,0.0,住,,,1100303,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,,79.33,0,0,0,無,無,無,132000,1664,,0.0,0,,RPPPMLLKLHGGFAF27CC
板橋區,建物,新北市板橋區大觀路二段19巷10號二樓,0.0,住,,,1100226,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,,59.4,2,1,1,有,無,有,11000,185,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為12222，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為11000,RPTQMLLKLHGGFAF77CC
淡水區,建物,新北市淡水區後洲路一段58號,0.0,住,,,1100220,土地0建物1車位1,一層,23,店面(店鋪),衛生設施（診所）,鋼筋混凝土造,1021203,163.93,0,0,0,無,有,有,19000,116,坡道平面,24.42,0,,RPOQMLLKLHGGFEF67CC
淡水區,建物,新北市淡水區後洲路一段58號後2樓,0.0,住,,,1100220,土地0建物1車位1,二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021203,217.82,3,2,2,有,有,有,19000,87,坡道平面,48.84,0,,RPPQMLLKLHGGFEF77CC
淡水區,房地(土地+建物),新北市淡水區新民街120巷17號六樓,21.54,住,,,1100225,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860616,137.14,3,1,2,有,有,有,16000,117,,0.0,0,,RPTQMLLKLHGGFEF18CC
淡水區,房地(土地+建物),新北市淡水區新春街91巷15號,17.29,住,,,1100225,土地1建物1車位0,一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860514,105.87,3,2,2,有,有,有,15000,142,,0.0,0,,RPORMLLKLHGGFEF77CC
汐止區,房地(土地+建物),新北市汐止區大同路二段265號14樓之5,0.05,住,,,1100306,土地1建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,33.39,1,1,1,有,有,有,12000,359,,0.0,0,,RPQOMLLKLHGGFDF57CC
汐止區,房地(土地+建物),新北市汐止區新台五路一段81號6樓之7,14.47,工,,,1100311,土地1建物1車位0,六層,20,廠辦,工商用,鋼造,0830330,218.18,2,1,0,有,有,無,42900,197,,0.0,0,此為分租戶,RPSPMLLKLHGGFDF87CC
