編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXOMLTJLHGGFAG68DA,一樓平面,0,,
RPSOMLTJLHGGFBG28DA,坡道平面,0,,
RPUNMLKKLHGGFBG57DA,坡道平面,0,23.31,
RPVOMLPJLHGGFBG28EA,一樓平面,0,,
RPTOMLPJLHGGFBG08EA,一樓平面,0,,
RPXOMLPJLHGGFBG48EA,一樓平面,0,,
RPUOMLPJLHGGFBG18EA,一樓平面,0,,
RPWOMLPJLHGGFBG38EA,一樓平面,0,,
RPSOMLLKLHGGFBG67EA,坡道平面,0,,
RPROMLKKLHGGFBG37DA,坡道平面,0,37.68,
RPRNMLSJLHGGFBG97DA,坡道平面,0,,
RPPPMLTKKHGGFAG97DA,坡道平面,0,,
RPPPMLKKLHGGFAG17DA,坡道平面,1000000,37.22,
RPQPMLKKLHGGFAG27DA,坡道平面,1000000,37.22,
RPTNMLMKLHGGFBG67DA,坡道平面,1000000,42.93,
RPTNMLPKLHGGFAG97EA,坡道平面,0,,地下一樓
RPOOMLMKLHGGFAG27EA,一樓平面,0,15.78,
RPTNMLLKLHGGFBG57DA,坡道平面,800000,42.93,
RPUOMLLKLHGGFAG67DA,坡道平面,0,,地下一樓
RPSNMLMJLHGGFAG37DA,坡道平面,0,,
RPVNMLPKLHGGFBG18DA,坡道機械,0,,
RPWNMLPKLHGGFBG28DA,坡道平面,0,,
RPWOMLSJLHGGFBG58DA,坡道平面,0,,
RPWOMLPKLHGGFBG48EA,坡道機械,0,,
RPWOMLPKLHGGFBG48EA,坡道機械,0,,
RPRNMLOLKHGGFBG67DA,坡道平面,0,,
RPOOMLRKLHGGFBG87EA,坡道平面,0,,
RPOOMLRKLHGGFBG87EA,坡道平面,0,,
RPQOMLRKLHGGFBG08EA,坡道平面,0,,
RPQOMLRKLHGGFBG08EA,坡道平面,0,,
RPXNMLRKLHGGFBG68EA,坡道平面,0,,
RPXNMLRKLHGGFBG68EA,坡道平面,0,,
RPXNMLRKLHGGFBG68EA,坡道平面,0,,
RPROMLRKLHGGFBG18EA,坡道平面,0,,
RPROMLRKLHGGFBG18EA,坡道平面,0,,
RPSOMLRKLHGGFBG28EA,坡道平面,0,,
RPSOMLRKLHGGFBG28EA,坡道平面,0,,
RPTOMLRKLHGGFBG38EA,坡道平面,0,,
RPTOMLRKLHGGFBG38EA,坡道平面,0,,
RPPOMLRKLHGGFBG97EA,坡道平面,0,,
RPPOMLRKLHGGFBG97EA,坡道平面,0,,
RPUOMLRKLHGGFBG48EA,坡道平面,0,,
RPUOMLRKLHGGFBG48EA,坡道平面,0,,
RPVOMLRKLHGGFBG58EA,坡道平面,0,,
RPVOMLRKLHGGFBG58EA,坡道平面,0,,
RPWOMLRKLHGGFBG68EA,坡道平面,0,,
RPWOMLRKLHGGFBG68EA,坡道平面,0,,
RPWOMLRKLHGGFBG68EA,坡道平面,0,,
RPSPMLRKLHGGFBG28DA,坡道平面,0,21.56,
RPPPMLSKLHGGFBG08DA,坡道平面,0,,
RPPRMLMLLHGGFBG87EA,坡道平面,0,14.01,
RPPRMLMLLHGGFBG87EA,坡道平面,0,14.01,
RPXOMLTKLHGGFAG78DA,坡道平面,0,,
RPRNMLKLLHGGFAG27DA,坡道平面,0,,
RPXOMLNLLHGGFAG28DA,坡道平面,0,,
RPXOMLNLLHGGFAG28DA,坡道平面,0,,
RPWOMLNLLHGGFBG28DA,坡道平面,0,,
RPSNMLOLLHGGFBG87DA,坡道平面,0,,
RPSNMLNLLHGGFBG77DA,坡道平面,0,,
RPSNMLNLLHGGFBG77DA,坡道平面,0,,
RPRNMLOJLHGGFBG57DA,一樓平面,0,,
RPRPMLTKLHGGFBG38DA,坡道平面,0,37.68,
RPSSMLMLLHGGFBG18DA,坡道平面,0,,
RPXNMLTLLHGGFBG88DA,坡道平面,0,,
RPOQMLQLLHGGFAG87DA,坡道平面,0,,地下一樓
RPUNMLTLLHGGFBG58DA,坡道平面,0,,
RPVPMLTLLHGGFBG88DA,坡道平面,0,,
RPSNMLLMLHGGFBG77EA,坡道平面,0,,
RPWNMLQLLHGGFBG48DA,坡道平面,0,,
RPSOMLKKLHGGFBG47DA,坡道平面,0,37.68,
RPROMLLMLHGGFAG57DA,坡道平面,0,,
RPQNMLLJMHGGFBG27DA,坡道平面,0,,
RPVOMLLMLHGGFBG08DA,坡道機械,0,,
RPWNMLLJMHGGFBG87DA,一樓平面,0,,一樓
RPXOMLQLLHGGFBG68DA,坡道平面,0,,
RPOPMLLMLHGGFAG37DA,坡道平面,0,,地下一樓
RPUOMLKMLHGGFBG97EA,坡道平面,0,,
RPUOMLLKLHGGFBG77DA,坡道平面,0,13.84,
RPROMLQJMHGGFBG97DA,坡道平面,0,,
RPOPMLQJMHGGFBG77DA,坡道平面,0,,
RPOQMLTLLHGGFBG28DA,坡道平面,0,37.68,
RPRNMLSJMHGGFAG08EA,坡道平面,0,,地下一樓
RPVOMLSJMHGGFBG68EA,坡道平面,0,,
RPSNMLKMLHGGFAG47DA,坡道平面,1300000,45.85,
RPUNMLTKKHGGFAG28DA,坡道平面,1300000,45.85,
RPQOMLQJMHGGFAG77DA,坡道平面,1100000,37.22,
RPROMLQJMHGGFAG87DA,坡道平面,1000000,37.22,
RPSOMLQJMHGGFAG97DA,坡道平面,1000000,37.22,
RPTOMLRJMHGGFBG28DA,坡道平面,0,,
RPUNMLLJMHGGFBG67DA,坡道平面,0,,
RPVNMLLJMHGGFBG77DA,坡道平面,0,,
RPTNMLTKKHGGFAG18DA,坡道平面,1300000,45.85,
RPXRMLNKMHGGFBG68DA,坡道機械,0,,
RPPPMLLMLHGGFAG47DA,一樓平面,0,,
RPROMLOKMHGGFAG77DA,一樓平面,0,,一樓
RPWNMLSJMHGGFAG48DA,坡道平面,0,,
RPSQMLMKMHGGFBG97DA,坡道平面,0,25.42,
RPQPMLNKMHGGFBG77DA,坡道平面,0,,
RPQPMLMKMHGGFBG67DA,坡道平面,0,,
RPOPMLTJMHGGFBG08DA,坡道平面,0,37.68,
RPQNMLPKMHGGFBG77DA,坡道平面,0,,
RPTPMLOKMHGGFAG08DA,升降機械,0,,
RPRNMLPKMHGGFBG97EA,一樓平面,0,,
RPWNMLQKMHGGFAG48EA,坡道機械,0,,
RPWOMLOKMHGGFAG28DA,坡道平面,0,44.78,
RPWOMLOKMHGGFAG28DA,坡道平面,0,44.78,
RPUOMLMKMHGGFAG87DA,一樓平面,0,,
RPVQMLQKMHGGFBG68DA,坡道平面,0,,
RPRNMLOKMHGGFAG67DA,坡道平面,0,,
RPVNMLTKMHGGFAG58DA,坡道平面,1100000,37.22,
RPRNMLNLLHGGFAG57DA,坡道平面,0,,地下一樓
RPOOMLTKMHGGFAG97DA,一樓平面,400000,,一樓
RPQOMLTKMHGGFAG18DA,一樓平面,400000,,一樓
RPOPMLTKMHGGFAG08DA,一樓平面,600000,,一樓
RPUQMLTKMHGGFBG88DA,坡道平面,0,23.31,
RPPOMLKLMHGGFBG37DA,坡道平面,0,,
RPQQMLTKMHGGFBG48DA,坡道平面,0,,
RPTOMLOKMHGGFAG97DA,坡道平面,0,,
RPQPMLLLMHGGFAG57DA,坡道平面,0,,
RPQNMLLLMHGGFAG47EA,一樓平面,0,,
RPRNMLLLMHGGFAG57EA,一樓平面,0,,
RPTNMLLLMHGGFAG77EA,一樓平面,0,,
RPSNMLLLMHGGFAG67EA,一樓平面,0,,
RPUNMLLLMHGGFAG87EA,一樓平面,0,,
RPVNMLLLMHGGFAG97EA,一樓平面,0,,
RPWNMLLLMHGGFAG08EA,一樓平面,0,,
RPQNMLMLMHGGFBG67EA,坡道平面,1200000,31.27,
RPXNMLLLMHGGFAG18EA,一樓平面,0,,
RPQNMLKMLHGGFBG37DA,坡道平面,0,37.68,
RPUNMLMLMHGGFAG87DA,坡道平面,0,,地下一樓
RPSPMLMKMHGGFAG77DA,坡道機械,0,,
RPUPMLNKMHGGFBG18DA,坡道平面,850000,38.75,地下一樓
RPTPMLNKMHGGFBG08DA,坡道平面,650000,38.75,地下二樓
RPXPMLNKMHGGFBG48DA,坡道平面,850000,38.75,地下二樓
RPQQMLNKMHGGFBG87DA,坡道平面,650000,38.75,地下二樓
RPRQMLNKMHGGFBG97DA,坡道平面,650000,38.75,地下二樓
RPUQMLNKMHGGFBG28DA,坡道平面,850000,38.75,地下一樓
RPSQMLNKMHGGFBG08DA,坡道平面,650000,38.75,地下二樓
RPXQMLNKMHGGFBG58DA,坡道平面,600000,38.75,地下三樓
