鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,37.67,,一般農業區,甲種建築用地,1091218,土地1建物1車位1,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.05,2,2,1,有,無,5380000,65570,一樓平面,0.0,0,,RPQNMLKLMHGGFAG47EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,49.92,,一般農業區,甲種建築用地,1091106,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.06,3,2,2,有,無,6200000,53885,一樓平面,0.0,0,,RPSOMLKLMHGGFAG77EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,49.92,,一般農業區,甲種建築用地,1091115,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.06,3,2,2,有,無,6200000,53885,一樓平面,0.0,0,,RPTOMLKLMHGGFAG87EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,50.88,,一般農業區,甲種建築用地,1091104,土地1建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.28,3,2,2,有,無,6200000,52865,一樓平面,0.0,0,,RPVOMLKLMHGGFAG08EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,50.88,,一般農業區,甲種建築用地,1091031,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.28,3,2,2,有,無,6600000,56276,一樓平面,0.0,0,,RPWOMLKLMHGGFAG18EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,49.92,,一般農業區,甲種建築用地,1091113,土地1建物1車位1,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.88,3,2,2,有,無,6450000,60348,一樓平面,0.0,0,,RPXOMLKLMHGGFAG28EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,50.88,,一般農業區,甲種建築用地,1091029,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.28,3,2,2,有,無,6350000,54144,一樓平面,0.0,0,,RPOPMLKLMHGGFAG47EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,49.92,,一般農業區,甲種建築用地,1091110,土地1建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.06,3,2,2,有,無,6100000,53016,一樓平面,0.0,0,,RPPPMLKLMHGGFAG57EB
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路,41.64,,一般農業區,甲種建築用地,1091026,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.99,2,2,1,有,無,5300000,55214,一樓平面,0.0,0,,RPQPMLKLMHGGFAG67EB
