編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLKLMHGGFAG87EB,一樓平面,0,,
RPSOMLKLMHGGFAG77EB,一樓平面,0,,
RPQNMLKLMHGGFAG47EB,一樓平面,0,,
RPVOMLKLMHGGFAG08EB,一樓平面,0,,
RPWOMLKLMHGGFAG18EB,一樓平面,0,,
RPXOMLKLMHGGFAG28EB,一樓平面,0,,
RPOPMLKLMHGGFAG47EB,一樓平面,0,,
RPQPMLKLMHGGFAG67EB,一樓平面,0,,
RPRPMLKLMHGGFAG77EB,一樓平面,0,,
RPPPMLKLMHGGFAG57EB,一樓平面,0,,
RPSPMLKLMHGGFAG87EB,一樓平面,0,,
RPTPMLKLMHGGFAG97EB,一樓平面,0,,
RPVPMLKLMHGGFAG18EB,一樓平面,0,,
RPUPMLKLMHGGFAG08EB,一樓平面,0,,
RPWPMLKLMHGGFAG28EB,一樓平面,0,,
RPXPMLKLMHGGFAG38EB,一樓平面,0,,
RPVPMLRKNHGGFBG78CB,坡道平面,1250000,34.17,
RPWPMLRKNHGGFBG88CB,坡道平面,1350000,34.17,
RPXPMLRKNHGGFBG98CB,坡道平面,1250000,34.17,
RPOQMLKLMHGGFAG57EB,一樓平面,0,,
RPOQMLRKNHGGFBG18CB,坡道平面,1350000,34.17,
RPQQMLRKNHGGFBG38CB,坡道平面,1350000,34.17,
RPSQMLRKNHGGFBG58CB,坡道平面,1350000,34.17,
RPSQMLRKNHGGFBG58CB,坡道平面,1350000,34.17,
RPPQMLRKNHGGFBG28CB,坡道平面,1250000,34.17,
RPTQMLRKNHGGFBG68CB,坡道平面,1350000,34.17,
RPVQMLRKNHGGFBG88CB,坡道平面,1250000,34.17,
RPVQMLRKNHGGFBG88CB,坡道平面,1250000,34.17,
RPRQMLRKNHGGFBG48CB,坡道平面,1350000,34.17,
RPRQMLRKNHGGFBG48CB,坡道平面,1350000,34.17,
RPXQMLRKNHGGFBG09CB,坡道平面,1350000,34.17,
