鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五結鄉,土地,五結段779-4地號,1688.0,工,,,1100306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,18,,0.0,0,,RPTNMLLKLHGGFAG57CC
蘇澳鎮,土地,永愛段177地號,923.97,住,,,1100304,土地1建物0車位0,,,其他,,,,0.0,3,0,0,有,無,有,10000,11,,0.0,0,未登記建物蘇澳鎮蘇濱路一段481號,RPUNMLMKLHGGFAG77CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮興東路15號,81.0,商,,,1100311,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0750424,39.9,0,0,1,有,無,無,45000,1128,,0.0,0,,RPTNMLQKLHGGFAG08CC
羅東鎮,建物,宜蘭縣羅東鎮公正路463號二樓之1,0.0,住,,,1100308,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830916,102.08000000000001,2,2,1,有,有,有,12000,118,,0.0,0,,RPPOMLSKLHGGFAG97CC
宜蘭市,建物,宜蘭縣宜蘭市舊城南路40號,0.0,商,,,1100316,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,29.22,1,0,1,有,有,有,6500,222,,0.0,0,,RPUNMLTKLHGGFBG58CC
宜蘭市,建物,宜蘭縣宜蘭市弘志路7-2號,0.0,住,,,1100318,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771129,101.9,3,2,2,有,無,有,13000,128,,0.0,0,,RPUOMLTKLHGGFBG68CC
礁溪鄉,建物,宜蘭縣礁溪鄉德陽路231巷14弄31號9樓之10,0.0,住,,,1100318,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030825,55.47,1,1,1,有,有,有,18500,334,,0.0,0,,RPSPMLTKLHGGFBG58CC
宜蘭市,建物,宜蘭縣宜蘭市女中路二段441號六樓,0.0,住,,,1100318,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840715,65.34,1,1,1,有,無,有,9000,138,,0.0,0,,RPQOMLNLLHGGFBG77CC
羅東鎮,建物,宜蘭縣羅東鎮民權路72號,96.0,商,,,1100320,土地0建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0741115,62.21,0,0,0,無,無,有,31000,498,,0.0,0,,RPUOMLNLLHGGFAG08CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正北路131號,112.0,住,,,1100322,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0780704,170.45,4,3,3,有,無,無,32000,188,,0.0,0,,RPXNMLOLLHGGFAG38CC
