編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQQMLQLJHGGFAH97DA,坡道平面,0,30.36,
RPOWMLMLJHGGFAH97DA,坡道機械,0,,
RPRQMLRKKHGGFAH18DA,坡道平面,0,25.05,
RPRQMLRKKHGGFAH18DA,坡道平面,0,25.05,
RPRQMLPJKHGGFAH87DA,坡道平面,1400000,28.22,
RPRPMLMLKHGGFAH67DA,坡道平面,0,,
RPROMLNLKHGGFAH67DA,坡道平面,1800000,29.98,
RPROMLNLKHGGFAH67DA,坡道平面,1800000,29.98,
RPOOMLPJKHGGFAH37DA,坡道平面,1600000,28.22,
RPTTMLNLKHGGFAH38DA,坡道平面,1800000,28.22,
RPOTMLNLKHGGFAH87DA,坡道平面,1800000,28.22,
RPRTMLNLKHGGFAH18DA,坡道平面,1700000,28.22,
RPTSMLNLKHGGFAH28DA,坡道平面,1600000,28.22,
RPVOMLPJKHGGFAH08DA,坡道平面,1400000,28.22,
RPWSMLNLKHGGFAH58DA,坡道平面,1400000,28.22,
RPPPMLPJKHGGFAH57DA,坡道平面,1400000,28.22,
RPSQMLOJKHGGFAH87DA,坡道平面,1400000,28.22,
RPUUMLNLKHGGFAH58DA,坡道平面,1400000,28.22,
RPUTMLNLKHGGFAH48DA,坡道平面,1800000,28.22,
RPXUMLNLKHGGFAH88DA,坡道平面,1400000,28.22,
RPPUMLNLKHGGFAH08DA,坡道平面,1400000,28.22,
RPTUMLNLKHGGFAH48DA,坡道平面,1400000,28.22,
RPOVMLNLKHGGFAH08DA,坡道平面,1600000,28.22,
RPRUMLNLKHGGFAH28DA,坡道平面,1600000,28.22,
RPQVMLNLKHGGFAH28DA,坡道平面,1800000,28.22,
RPWVMLNLKHGGFAH88DA,坡道平面,1600000,28.22,
RPVVMLNLKHGGFAH78DA,坡道平面,1800000,28.22,
RPPWMLNLKHGGFAH28DA,坡道平面,1400000,28.22,
RPOWMLNLKHGGFAH18DA,坡道平面,1400000,28.22,
RPUVMLNLKHGGFAH68DA,坡道平面,1700000,27.25,
RPPNMLOLKHGGFAH47DA,坡道平面,0,25.05,
RPPNMLOLKHGGFAH47DA,坡道平面,0,25.05,
RPRWMLNLKHGGFAH48DA,坡道平面,1700000,28.22,
RPRQMLOLKHGGFAH97DA,坡道平面,1500000,27.25,
RPSQMLOLKHGGFAH08DA,坡道平面,1400000,28.22,
RPPQMLOLKHGGFAH77DA,坡道平面,0,28.22,
RPPQMLOLKHGGFAH77DA,坡道平面,0,28.22,
RPPQMLOLKHGGFAH77DA,坡道平面,0,27.25,
RPQQMLOLKHGGFAH87DA,坡道平面,1600000,27.25,
RPUQMLOLKHGGFAH28DA,坡道平面,1600000,28.22,
RPWQMLOLKHGGFAH48DA,坡道平面,1600000,28.22,
RPPSMLOLKHGGFAH97DA,坡道平面,1500000,27.25,
RPXRMLOLKHGGFAH68DA,坡道平面,1300000,27.25,
RPQPMLMJLHGGFAH47DA,坡道平面,1750000,33.52,
RPTNMLPLKHGGFAH97DA,坡道平面,0,32.08,
RPTNMLPLKHGGFAH97DA,坡道平面,0,34.20,
RPTPMLPLKHGGFAH18DA,坡道平面,1800000,29.98,
RPVRMLNJLHGGFAH28DA,坡道平面,1900000,21.74,
RPVRMLNJLHGGFAH28DA,坡道平面,1900000,21.74,
RPVRMLNJLHGGFAH28DA,坡道平面,1900000,21.74,
RPRPMLMJLHGGFAH57DA,坡道平面,1600000,32.45,
RPRSMLNJLHGGFAH97DA,坡道平面,0,35.59,
RPPSMLNJLHGGFAH77DA,坡道平面,0,24.78,
RPORMLSJLHGGFAH08DA,坡道平面,1300000,27.25,
RPSUMLSJLHGGFAH78DA,坡道平面,0,31.82,
RPQOMLSJLHGGFAH97DA,坡道平面,1650000,35.26,
RPXRMLTJLHGGFAH09DA,坡道平面,0,33.93,
RPXRMLTJLHGGFAH09DA,坡道平面,0,33.92,
RPRSMLTJLHGGFAH58DA,坡道平面,1950000,41.86,
RPWTMLTJLHGGFAH56DA,坡道平面,1650000,24.48,
RPVTMLTJLHGGFAH09DA,坡道平面,1750000,24.48,
RPVQMLRLJHGGFBH68DA,坡道平面,1250000,28.43,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPVPMLOJLHGGFBH28DA,坡道平面,0,,
RPUQMLNJLHGGFBH18DA,坡道平面,0,,
