鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區桃園段武陵小段145-1地號等1筆A10棟20樓,13.66,商,,,1100124,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.58,3,1,2,有,無,15500000,112906,坡道平面,34.24,1800000,售價包含裝潢或家電。；,RPVOMLPLLHGGFAH38CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟4樓,9.13,商,,,1081129,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,123.07,0,0,1,有,無,7230000,60094,坡道平面,31.88,1750000,,RPTQMLQLLHGGFHH56CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟5樓,9.13,商,,,1090130,土地1建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,123.07,0,0,1,有,無,7300000,62507,坡道平面,31.88,1600000,,RPUQMLQLLHGGFHH66CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟6樓,9.13,商,,,1090513,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,123.07,0,0,1,有,無,7400000,62507,坡道平面,31.88,1700000,,RPVQMLQLLHGGFHH76CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟7樓,8.92,商,,,1090625,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,121.4,0,0,1,有,無,7250000,62507,坡道平面,30.21,1550000,,RPWQMLQLLHGGFHH86CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟8樓,8.92,商,,,1090721,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,121.4,0,0,1,有,無,7480000,63932,坡道平面,30.21,1650000,,RPXQMLQLLHGGFHH96CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟9樓,9.13,商,,,1090716,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,123.07,0,0,1,有,無,7400000,63603,坡道平面,31.88,1600000,,RPORMLQLLHGGFHH78CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟10樓,9.13,商,,,1090717,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,124.94,0,0,1,有,無,7530000,63932,坡道平面,33.75,1700000,,RPPRMLQLLHGGFHH88CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟11樓,9.13,商,,,1090819,土地1建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,123.07,0,0,1,有,無,7570000,64371,坡道平面,31.88,1700000,,RPQRMLQLLHGGFHH98CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟12樓,9.13,商,,,1090423,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.09,2,2,1,有,無,8160000,68900,坡道平面,31.88,1600000,,RPRRMLQLLHGGFHH09CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟14樓,8.92,商,,,1090827,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.42,2,2,1,有,無,8450000,70896,坡道平面,30.21,1700000,,RPSRMLQLLHGGFHH56CB
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路與華亞三路A1棟15樓,9.13,商,,,1090921,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.09,2,2,1,有,無,8560000,71001,坡道平面,31.88,1800000,,RPTRMLQLLHGGFHH66CB
