鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楊梅區,建物,桃園市楊梅區新榮路223巷269號,0.0,住,,,1100225,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701120,81.46,3,1,2,有,無,有,10000,123,,0.0,0,社會住宅,RPOOMLLKLHGGFDH57CC
楊梅區,建物,桃園市楊梅區青山六街1巷4號12樓之2,0.0,住,,,1100303,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,102.81,2,1,1,有,有,有,10000,97,,0.0,0,,RPPOMLLKLHGGFDH67CC
龍潭區,建物,桃園市龍潭區中央街68號4樓之1,0.0,,鄉村區,乙種建築用地,1100114,土地0建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840630,92.82,2,2,2,有,無,有,10000,108,,0.0,0,社會住宅,RPSNMLLKLHGGFCH77CC
龍潭區,建物,桃園市龍潭區中央街179巷29號,0.0,,鄉村區,乙種建築用地,1100119,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0680925,47.88,3,1,1,有,無,有,10000,209,,0.0,0,社會住宅,RPTNMLLKLHGGFCH87CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區東龍路341巷9號13樓,21.42,住,,,1100228,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090323,149.56,3,2,1,有,有,有,16900,113,坡道平面,0.0,3500,,RPVNMLLKLHGGFCH08CC
大溪區,建物,桃園市大溪區介壽路1249之1號,0.0,其他,,,1100221,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0931016,288.13,4,2,2,有,無,有,20000,69,,0.0,0,,RPWNMLLKLHGGFCH18CC
八德區,建物,桃園市八德區介壽路二段428巷17弄1-2號,0.0,,鄉村區,乙種建築用地,1100118,土地0建物1車位0,三層,4,倉庫,住家用,鋼筋混凝土造,0691215,123.02,3,2,2,有,無,有,13000,,,0.0,0,社會住宅,RPQNMLLKLHGGFFH87CC
八德區,建物,桃園市八德區廣興二路85號6樓,0.0,住,,,1100113,土地0建物1車位1,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040804,145.88,2,2,1,有,有,有,15500,106,坡道平面,0.0,0,社會住宅 管理費2500/月,RPRNMLLKLHGGFFH97CC
八德區,建物,桃園市八德區長興一路28號4樓,0.0,商,,,1100204,土地0建物1車位1,四層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050516,94.88,1,1,1,有,有,有,13800,145,坡道平面,24.47,1200,社會住宅,RPUNMLLKLHGGFFH28CC
八德區,建物,桃園市八德區建國路92巷23號3樓之1,0.0,住,,,1100224,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800809,82.62,2,2,1,有,有,有,8400,102,,0.0,0,社會住宅,RPVNMLLKLHGGFFH38CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文興路128號15樓,24.96,住,,,1100301,土地1建物1車位3,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,200.45,4,2,3,有,有,有,37500,187,坡道平面,79.38,0,,RPTNMLLKLHGGFHH38CC
桃園區,房地(土地+建物),桃園市桃園區大興西路二段28號十二樓,11.58,住,,,1100307,土地1建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,85.97,2,2,1,有,有,有,13000,151,,0.0,0,,RPWOMLLKLHGGFAH08CC
桃園區,房地(土地+建物),桃園市桃園區大興西路二段139巷171號7樓,11.11,住,,,1100304,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,92.03,1,1,1,有,有,有,19800,215,,0.0,0,含管理費、稅金或水電等費用。；,RPXPMLLKLHGGFAH28CC
桃園區,房地(土地+建物),桃園市桃園區民生路310之2號8樓,5.78,商,,,1100221,土地2建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960906,51.25,1,1,1,有,有,有,14500,283,,0.0,0,含管理費、稅金或水電等費用。；,RPOQMLLKLHGGFAH47CC
中壢區,建物,桃園市中壢區協同街46號2樓之4,0.0,住,,,1100114,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830502,46.56,3,2,2,有,無,有,5000,107,,0.0,0,社會住宅 管理費 500/月,RPTOMLLKLHGGFBH87CC
觀音區,建物,桃園市觀音區仁德街21號5樓之1,0.0,,工業區,丁種建築用地,1100223,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041222,81.60999999999999,2,1,2,有,有,有,12000,147,,0.0,0,,RPOPMLLKLHGGFBH47CC
中壢區,建物,桃園市中壢區中山東路三段230巷6號10樓之4,0.0,住,,,1100223,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821130,126.25,3,2,2,有,有,無,12000,95,,0.0,0,,RPRPMLLKLHGGFBH77CC
中壢區,建物,桃園市中壢區新中北路76號2樓之15,0.0,住,,,1100222,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840923,28.29,1,1,1,有,有,有,5000,177,,0.0,0,,RPUPMLLKLHGGFBH08CC
中壢區,建物,桃園市中壢區龍和一街243巷7號3樓,0.0,住,,,1100226,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840518,72.29,2,1,1,有,有,有,11000,152,,0.0,0,,RPVPMLLKLHGGFBH18CC
中壢區,建物,桃園市中壢區延平路429號14樓,0.0,商,,,1100305,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870113,141.41,3,2,2,有,有,有,16700,118,,0.0,0,社會住宅,RPXPMLLKLHGGFBH38CC
中壢區,建物,桃園市中壢區福州路72號4樓之1,0.0,住,,,1100224,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770606,91.43,3,2,2,有,無,無,11000,120,,0.0,0,,RPOQMLLKLHGGFBH57CC
觀音區,建物,桃園市觀音區長春街152號二樓,0.0,,工業區,丁種建築用地,1100224,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050615,67.02000000000001,2,1,1,有,有,有,11500,172,,0.0,0,,RPQQMLLKLHGGFBH77CC
觀音區,建物,桃園市觀音區公園三街26巷7號,0.0,,特定農業區,甲種建築用地,1100308,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0961221,171.77,4,2,3,有,有,有,20000,116,,0.0,0,社會住宅,RPSQMLLKLHGGFBH97CC
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路367號7樓,37.86,住,,,1100301,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040608,163.84,3,2,2,有,有,有,22000,134,坡道平面,100.48,0,,RPTQMLLKLHGGFBH08CC
