編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPQMLPKJHGGFAI77DA,湖子內段興安小段,155.02,都市：其他:住宅區,1,1,全筆移轉,00840000
RPWNMLMLKHGGFAI08DA,車店段車店小段,5.96,都市：其他:住宅區,1000,3,持分移轉,00460056
RPRNMLNLKHGGFAI67DA,荖藤段,1000.00,都市：其他:農業區,1,1,全筆移轉,00340000
RPVNMLNLKHGGFAI08DA,埤子頭段,105.00,都市：其他:住宅區,1,1,全筆移轉,03760005
RPSNMLTJLHGGFAI28DA,台斗坑段,30.00,都市：其他:住宅區,2551,30,持分移轉,03240007
RPTNMLPLKHGGFAI08DA,白川段,35.96,都市：其他:住宅區,100000,750,持分移轉,00190000
RPXNMLTJLHGGFAI78DA,埤子頭段新厝小段,.11,都市：其他:住宅區,9,1,持分移轉,06100001
RPXNMLTJLHGGFAI78DA,埤子頭段新厝小段,.22,都市：其他:住宅區,9,1,持分移轉,06100002
RPXNMLTJLHGGFAI78DA,埤子頭段新厝小段,1.56,都市：其他:住宅區,9,1,持分移轉,06100009
RPXNMLTJLHGGFAI78DA,埤子頭段新厝小段,75.00,都市：其他:住宅區,1,1,全筆移轉,06100010
RPXNMLTJLHGGFAI78DA,埤子頭段新厝小段,20.49,都市：其他:住宅區,18000,2049,持分移轉,06100016
RPQOMLTJLHGGFAI18DA,下路頭段,71.00,都市：其他:住宅區,1,1,全筆移轉,04610010
RPSOMLTJLHGGFAI38DA,北園段,9.00,都市：其他:住宅區,1,1,全筆移轉,15940001
RPROMLTJLHGGFAI28DA,北園段,12.21,都市：其他:住宅區,10000,58,持分移轉,16070000
RPQNMLQLKHGGFAI87DA,車店段車店小段,32.22,都市：其他:住宅區,100000,714,持分移轉,01220000
RPQPMLTJLHGGFAI28DA,湖子內段新民小段,441.62,都市：其他:商業區,1,1,全筆移轉,00310000
RPPPMLTJLHGGFAI18DA,湖子內段新民小段,392.76,都市：其他:商業區,1,1,全筆移轉,00330000
RPQOMLSLJHGGFAI08DA,下路頭段,7.07,都市：其他:住宅區,10000,13,持分移轉,00970000
RPQPMLNLKHGGFAI77DA,埤子頭段,674.00,都市：其他:住宅區,1,1,全筆移轉,03730005
RPQPMLNLKHGGFAI77DA,埤子頭段,2379.00,都市：其他:住宅區,1,1,全筆移轉,03750000
RPQPMLNLKHGGFAI77DA,埤子頭段,254.00,都市：其他:住宅區,1,1,全筆移轉,03750012
RPTNMLSJLHGGFAI28DA,湖子內段湖美小段,669.66,都市：其他:住宅區,1,1,全筆移轉,04340000
RPTPMLTJLHGGFAI58DA,興村段,113.00,都市：其他:住宅區,1,1,全筆移轉,04490000
RPUPMLTJLHGGFAI68DA,盧東段,315.09,都市：其他:農業區,1,1,全筆移轉,00630017
RPUPMLTJLHGGFAI68DA,盧東段,58.32,都市：其他:農業區,853815,31509,持分移轉,00630025
RPPNMLKKLHGGFAI17DA,檜段六小段,89.00,都市：其他:商業區,1,1,全筆移轉,00140007
RPROMLPJLHGGFAI87DA,長竹段,22.76,都市：其他:農業區,19,1,持分移轉,03100000
RPROMLPJLHGGFAI87DA,長竹段,92.00,都市：其他:農業區,1,1,全筆移轉,03100008
RPVOMLTJLHGGFAI78EA,下路頭段,7.00,都市：其他:綠地用地,1,1,全筆移轉,04450040
RPOOMLKKLHGGFAI27EA,埤子頭段新厝小段,57.00,都市：其他:住宅區,1,1,全筆移轉,03770000
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPVNMLTJLHGGFAI68EA,新富段二小段,21.73,都市：其他:住宅區,10000,74,持分移轉,00590000
RPUOMLTJLHGGFAI68EA,下路頭段,.62,都市：其他:住宅區,8,1,持分移轉,04450016
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPVNMLTJLHGGFAI68EA,新富段二小段,.07,都市：其他:住宅區,10000,74,持分移轉,00590010
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPUOMLTJLHGGFAI68EA,下路頭段,37.38,都市：其他:住宅區,8,1,持分移轉,04450017
RPQNMLLKLHGGFAI47EA,車店段車店小段,11.90,都市：其他:住宅區,10000,198,持分移轉,06760000
RPOOMLPJLHGGFAI67EA,彌陀段,118.00,都市：其他:住宅區,1,1,全筆移轉,08300000
RPOOMLPJLHGGFAI67EA,彌陀段,39.00,都市：其他:綠地用地,1,1,全筆移轉,08700000
RPQNMLKKLHGGFAI37EA,劉厝段玉山小段,3.66,都市：其他:住宅區,12,1,持分移轉,00310000
RPQNMLKKLHGGFAI37EA,劉厝段玉山小段,3.66,都市：其他:住宅區,12,1,持分移轉,00310000
RPQNMLKKLHGGFAI37EA,劉厝段玉山小段,70.98,都市：其他:住宅區,2,1,持分移轉,00310006
