編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLTKNHGGFAI56DB,中山段一小段,5.05,都市：住,100000,2577,持分移轉,00070011
RPXNMLTKNHGGFAI56DB,中山段一小段,15.98,都市：住,100000,2577,持分移轉,00080000
RPWNMLTKNHGGFAI09DB,中山段一小段,3.66,都市：住,100000,1868,持分移轉,00070011
RPWNMLTKNHGGFAI09DB,中山段一小段,11.58,都市：住,100000,1868,持分移轉,00080000
RPQOMLTKNHGGFAI58DB,中山段一小段,3.47,都市：住,100000,1770,持分移轉,00070011
RPQOMLTKNHGGFAI58DB,中山段一小段,10.97,都市：住,100000,1770,持分移轉,00080000
RPPOMLTKNHGGFAI48DB,中山段一小段,3.83,都市：住,100000,1954,持分移轉,00070011
RPPOMLTKNHGGFAI48DB,中山段一小段,12.11,都市：住,100000,1954,持分移轉,00080000
RPOOMLTKNHGGFAI38DB,中山段一小段,2.99,都市：住,100000,1525,持分移轉,00070011
RPOOMLTKNHGGFAI38DB,中山段一小段,9.46,都市：住,100000,1525,持分移轉,00080000
RPTOMLTKNHGGFAI88DB,中山段一小段,2.99,都市：住,100000,1525,持分移轉,00070011
RPTOMLTKNHGGFAI88DB,中山段一小段,9.46,都市：住,100000,1525,持分移轉,00080000
RPVOMLTKNHGGFAI09DB,中山段一小段,3.47,都市：住,100000,1770,持分移轉,00070011
RPVOMLTKNHGGFAI09DB,中山段一小段,10.97,都市：住,100000,1770,持分移轉,00080000
RPROMLTKNHGGFAI68DB,中山段一小段,5.05,都市：住,100000,2576,持分移轉,00070011
RPROMLTKNHGGFAI68DB,中山段一小段,15.97,都市：住,100000,2576,持分移轉,00080000
RPPPMLTKNHGGFAI58DB,中山段一小段,2.99,都市：住,100000,1525,持分移轉,00070011
RPPPMLTKNHGGFAI58DB,中山段一小段,9.46,都市：住,100000,1525,持分移轉,00080000
RPXOMLTKNHGGFAI66DB,中山段一小段,2.04,都市：住,100000,1039,持分移轉,00070011
RPXOMLTKNHGGFAI66DB,中山段一小段,6.44,都市：住,100000,1039,持分移轉,00080000
RPWOMLTKNHGGFAI56DB,中山段一小段,5.05,都市：住,100000,2576,持分移轉,00070011
RPWOMLTKNHGGFAI56DB,中山段一小段,15.97,都市：住,100000,2576,持分移轉,00080000
RPUOMLTKNHGGFAI98DB,中山段一小段,3.83,都市：住,100000,1954,持分移轉,00070011
RPUOMLTKNHGGFAI98DB,中山段一小段,12.11,都市：住,100000,1954,持分移轉,00080000
