編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLTKNHGGFAI56DB,升降機械,700000,7.09,
RPWOMLTKNHGGFAI56DB,升降機械,800000,7.09,
RPRPMLTKNHGGFAI78DB,升降機械,700000,7.09,
RPSPMLTKNHGGFAI88DB,升降機械,700000,7.09,
RPQPMLTKNHGGFAI68DB,升降機械,700000,7.09,
RPVPMLTKNHGGFAI56DB,升降機械,800000,7.09,
RPXPMLTKNHGGFAI76DB,升降機械,800000,7.09,
RPSQMLTKNHGGFAI98DB,升降機械,900000,7.09,
RPXQMLTKNHGGFAI86DB,升降機械,700000,7.09,
RPTRMLTKNHGGFAI56DB,升降機械,900000,7.09,
RPSRMLTKNHGGFAI09DB,升降機械,700000,7.09,
RPXRMLTKNHGGFAI96DB,升降機械,900000,7.09,
RPQSMLTKNHGGFAI98DB,升降機械,700000,7.09,
RPSSMLTKNHGGFAI56DB,升降機械,800000,7.09,
RPXSMLTKNHGGFAI07DB,升降機械,700000,7.09,
