鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新?196號之1,24.72,住,,,1100311,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0731224,34.79,4,2,4,有,無,無,25000,719,,0.0,0,,RPQNMLPKLHGGFAI87CC
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街12巷40號,60.0,住,,,1100313,土地1建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0791002,202.4,7,2,5,有,無,無,15000,74,,0.0,0,,RPXNMLPKLHGGFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾88巷22號,72.0,住,,,1100227,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701111,87.85,3,2,2,有,無,無,10000,114,,0.0,0,,RPRNMLQKLHGGFAI08CC
嘉義市,建物,嘉義市嘉義市東區大雅路一段288巷16號,0.0,住,,,1100311,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0840713,212.54,4,3,3,有,無,無,16000,75,,0.0,0,,RPSNMLOLLHGGFAI08CC
嘉義市,建物,嘉義市嘉義市文化路432巷37號6樓3,0.0,住,,,1100304,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800813,58.69,2,1,1,有,有,有,8100,138,,0.0,0,嘉義市政府包租代管計畫,RPTOMLOLLHGGFAI28CC
嘉義市,建物,嘉義市嘉義市小雅路343號10樓7,0.0,住,,,1100305,土地0建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,28.42,1,0,1,有,有,有,4000,141,,0.0,0,嘉義市政府包租代管計畫,RPSNMLPLLHGGFAI18CC
嘉義市,建物,嘉義市嘉義市杭州四街62號2樓1,0.0,住,,,1100323,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,114.7,3,1,2,有,有,有,11000,96,,0.0,0,嘉義市政府包租代管計畫,RPRPMLPLLHGGFAI28CC
嘉義市,建物,嘉義市嘉義市僑嘉三街86號2樓之2,0.0,住,,,1100325,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,見其他登記事項,1081125,26.33,1,0,1,有,有,有,6600,251,,0.0,0,嘉義市政府包租代管計畫,RPTPMLPLLHGGFAI48CC
嘉義市,建物,嘉義市嘉義市杭州四街86號2樓2,0.0,住,,,1100323,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780117,37.3,1,0,1,有,有,有,6500,174,,0.0,0,,RPUPMLPLLHGGFAI58CC
