編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLQJJHGGFBJ87DA,坡道平面,0,36.83,
RPWPMLPLJHGGFBJ68DA,坡道平面,0,,
RPPPMLMLJHGGFBJ67DA,坡道平面,0,18.69,
RPPPMLMLJHGGFBJ67DA,坡道平面,0,18.69,
RPVQMLPKJHGGFBJ58DA,坡道平面,0,29.81,
RPVNMLTJLHGGFBJ78DA,坡道平面,0,29.81,
RPVNMLTJLHGGFBJ78DA,坡道平面,0,29.81,
RPTQMLTKKHGGFBJ88DA,坡道平面,0,,
RPTQMLTKKHGGFBJ88DA,坡道平面,0,,
RPTQMLTKKHGGFBJ88DA,坡道平面,0,,
RPXNMLTJLHGGFBJ98DA,坡道平面,0,,
RPQOMLTJLHGGFBJ38DA,坡道平面,0,29.81,
RPRPMLTJLHGGFBJ58DA,坡道機械,0,,
RPTNMLPLKHGGFBJ28DA,坡道平面,0,29.31,
RPTNMLPLKHGGFBJ28DA,坡道平面,0,29.31,
RPQNMLOLKHGGFCJ97DA,坡道平面,0,,
RPOOMLPLKHGGFDJ08DA,坡道平面,800000,33.39,
RPXNMLPLKHGGFDJ88DA,坡道平面,900000,33.39,
RPVNMLSJLHGGFDJ88DA,坡道機械,600000,6.38,
RPVOMLTJLHGGFBJ98EA,坡道平面,0,26.78,
RPRQMLTJLHGGFBJ78EA,坡道平面,0,28.34,
RPQQMLTJLHGGFBJ68EA,坡道平面,0,,
RPOQMLTJLHGGFBJ38DA,坡道平面,0,36.21,
RPOQMLTJLHGGFBJ38DA,坡道平面,0,39.34,
RPSQMLTJLHGGFBJ88EA,坡道平面,0,,
RPRNMLTJLHGGFCJ58EA,坡道平面,800000,17.90,地下一樓
RPVNMLTJLHGGFCJ98EA,坡道平面,800000,17.90,地下一樓
RPXNMLTJLHGGFCJ56EA,坡道平面,800000,17.90,地下一樓
RPPOMLTJLHGGFCJ48EA,坡道平面,800000,17.90,地下一樓
RPTOMLTJLHGGFCJ88EA,坡道平面,1200000,17.90,地下一樓
RPROMLTJLHGGFCJ68EA,坡道平面,800000,17.90,地下一樓
RPXPMLLKLHGGFBJ58EA,坡道平面,0,29.81,
RPOQMLLKLHGGFBJ77EA,坡道平面,0,37.38,
RPOQMLLKLHGGFBJ77EA,坡道平面,0,37.38,
RPWPMLLKLHGGFBJ48EA,坡道平面,1200000,30.06,
RPWPMLLKLHGGFBJ48EA,坡道平面,1200000,30.06,
RPVPMLKKLHGGFBJ28EA,坡道機械,0,,
RPPNMLLLKHGGFCJ57DA,坡道平面,0,,
RPOOMLKKLHGGFBJ37DA,坡道平面,0,,
RPSNMLKKLHGGFBJ67DA,坡道平面,0,22.99,
RPQNMLLKLHGGFBJ57DA,坡道機械,0,16.55,
RPQNMLPLKHGGFBJ97DA,坡道平面,0,13.75,
RPQNMLPLKHGGFBJ97DA,坡道平面,0,13.75,
RPROMLNLKHGGFBJ97DA,坡道平面,0,36.45,
RPOPMLNLKHGGFBJ77DA,坡道平面,0,37.55,
RPOPMLNLKHGGFBJ77DA,坡道平面,0,39.61,
RPXOMLNLKHGGFBJ58DA,坡道平面,0,39.61,
RPRNMLRKKHGGFBJ18DA,坡道平面,0,34.86,
RPXOMLMLKHGGFBJ48DA,坡道平面,0,34.50,
RPSTMLTKKHGGFBJ09DA,坡道平面,0,,
RPWNMLKKLHGGFBJ08DA,坡道機械,0,19.94,
RPRNMLLKLHGGFBJ67DA,坡道平面,0,36.83,
RPRNMLLKLHGGFBJ67DA,坡道平面,0,36.83,
RPRPOLQLKHGGFBJ58DA,坡道平面,0,36.64,
RPPNMLLKLHGGFBJ47DA,坡道平面,0,,
RPROMLKKLHGGFBJ67DA,坡道機械,0,,
RPTOMLTJLHGGFBJ68DA,坡道平面,0,,
RPPQMLLKLHGGFBJ77DA,坡道平面,0,32.73,
RPPQMLLKLHGGFBJ77DA,坡道平面,0,32.73,
RPSNMLLMJHGGFBJ77DA,坡道平面,0,26.14,
RPSNMLLMJHGGFBJ77DA,坡道平面,0,26.14,
RPUNMLTJKHGGFCJ68DA,坡道平面,1100000,35.91,
RPUNMLTJKHGGFCJ68DA,坡道平面,1100000,35.91,
RPVNMLTJKHGGFCJ78DA,坡道平面,1200000,35.91,
RPVNMLTJKHGGFCJ78DA,坡道平面,1200000,35.91,
RPXOMLOJKHGGFCJ58DA,坡道平面,1200000,35.91,
RPXOMLOJKHGGFCJ58DA,坡道平面,1200000,35.91,
RPQNMLNJLHGGFCJ77DA,坡道平面,0,35.91,
RPQNMLNJLHGGFCJ77DA,坡道平面,0,35.91,
RPTNMLTJLHGGFDJ78DA,坡道平面,0,33.26,地下二樓
RPXNMLLKLHGGFCJ48EA,坡道平面,0,,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,600000,30.31,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPTNMLMKLHGGFDJ18DA,坡道平面,800000,41.57,
RPWNMLMKLHGGFDJ58EA,一樓平面,0,,
RPPOMLMKLHGGFCJ87EA,坡道平面,0,26.02,
RPQOMLNJLHGGFCJ87DA,升降機械,0,,
RPTNMLLKLHGGFCJ97DA,坡道平面,0,31.88,
RPQNMLMKLHGGFCJ77DA,坡道平面,0,,
RPQNMLMKLHGGFCJ77DA,坡道平面,0,,
RPRNMLMKLHGGFBJ77DA,坡道平面,0,36.42,
RPRQMLLKLHGGFBJ97DA,坡道平面,0,,
RPOPMLKKLHGGFBJ47DA,坡道平面,0,30.01,
RPSQMLPKLHGGFBJ48DA,坡道平面,0,,
RPSQMLPKLHGGFBJ48DA,坡道平面,0,,
RPXOMLLKLHGGFBJ38DA,坡道平面,0,29.83,
RPWOMLQLJHGGFBJ68DA,坡道平面,0,,
RPUPMLMKJHGGFBJ08DA,坡道平面,0,29.81,
RPQVMLPKKIPFFBJ96DA,坡道平面,1100000,35.61,
RPQVMLPKKIPFFBJ96DA,坡道平面,1100000,35.61,
RPQVMLPKKIPFFBJ96DA,坡道平面,1100000,35.61,
RPQVMLPKKIPFFBJ96DA,坡道平面,1100000,35.61,
RPQVMLPKKIPFFBJ96DA,坡道平面,1100000,35.61,
RPQVMLPKKIPFFBJ96DA,坡道平面,0,,
RPXONLMJKHGGFBJ38DA,坡道平面,1400000,30.46,
RPRRMLKMJHGGFBJ97DA,坡道平面,0,,
RPQSMLMJJIPFFBJ78DA,坡道平面,0,34.19,
RPWNNLMJKHGGFBJ18DA,坡道平面,1800000,30.46,
RPPOMLNLKHGGFBJ77DA,坡道機械,0,,
RPROMLKLKHGGFBJ67DA,坡道平面,0,,
RPPPMLKKLHGGFBJ57DA,坡道平面,0,,
RPVQMLTJLHGGFBJ09DA,坡道平面,0,,
RPPRMLPKLHGGFBJ28DA,坡道平面,0,,
RPVRMLPKLHGGFBJ88DA,坡道平面,0,,
RPVRMLPKLHGGFBJ88DA,坡道平面,0,,
RPWNMLMKLHGGFBJ28DA,坡道平面,700000,,
RPOTMLQKLHGGFBJ48DA,坡道平面,0,,
RPWNMLPKLHGGFBJ58DA,坡道平面,0,,
RPUNMLPKLHGGFBJ38DA,坡道平面,0,,
RPTNMLPKLHGGFCJ38DA,坡道平面,0,,
RPTNMLPKLHGGFCJ38DA,坡道平面,0,,
RPTOMLNJLHGGFCJ18DA,坡道平面,0,,
RPTPMLPKLHGGFBJ58EA,坡道平面,0,,
RPSPMLPKLHGGFBJ48EA,坡道平面,0,29.81,
RPUPMLPKLHGGFBJ68EA,其他,0,,
RPUNMLMKLHGGFCJ28EA,升降機械,0,12.42,地下一樓
RPRPMLPKLHGGFBJ38EA,坡道平面,1200000,,
RPVUMLQKLHGGFBJ76EA,坡道機械,0,,
RPPPMLPKLHGGFBJ18EA,坡道平面,1300000,29.81,
RPRSMLRKLHGGFBJ88EA,坡道平面,0,,
RPVNMLPKLHGGFDJ68DA,坡道平面,0,,
RPQOMLPKLHGGFCJ18DA,一樓平面,0,,一樓
RPPNMLQKLHGGFCJ08DA,坡道平面,0,,地下一樓
RPPNMLQKLHGGFCJ08DA,坡道平面,0,,地下一樓
RPSOMLPKLHGGFCJ38DA,坡道平面,0,,
RPPUMLQKLHGGFBJ68DA,坡道平面,0,35.96,
RPPUMLQKLHGGFBJ68DA,坡道平面,0,35.96,
RPWUMLQKLHGGFBJ76DA,坡道平面,0,,
RPVTMLQKLHGGFBJ56DA,坡道平面,0,38.62,
RPRQMLPKLHGGFBJ38DA,坡道平面,0,26.68,
RPRSMLPKLHGGFBJ58DA,坡道平面,0,,
