鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,82.96,,鄉村區,乙種建築用地,1071108,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.37,4,2,4,有,無,14600000,71439,,0.0,0,,RPPNMLQKLHGGFBJ97CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,82.96,,鄉村區,乙種建築用地,1071106,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.69,4,2,4,有,無,14700000,71816,,0.0,0,,RPQNMLQKLHGGFBJ08CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,83.34,,鄉村區,乙種建築用地,1071106,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.69,4,2,4,有,無,14500000,70839,,0.0,0,,RPRNMLQKLHGGFBJ18CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,77.71,,鄉村區,乙種建築用地,1071107,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,216.56,4,2,4,有,無,12950000,59799,,0.0,0,,RPSNMLQKLHGGFBJ28CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,86.07,,鄉村區,乙種建築用地,1071109,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.37,4,2,4,有,無,14700000,71928,,0.0,0,,RPTNMLQKLHGGFBJ38CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,84.9,,鄉村區,乙種建築用地,1071109,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.69,4,2,4,有,無,14800000,72304,,0.0,0,,RPUNMLQKLHGGFBJ48CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,83.73,,鄉村區,乙種建築用地,1071114,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.37,4,2,4,有,無,14700000,71928,,0.0,0,,RPVNMLQKLHGGFBJ58CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,82.34,,鄉村區,乙種建築用地,1071109,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,204.69,4,2,4,有,無,14400000,70350,,0.0,0,,RPWNMLQKLHGGFBJ68CB
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1705地號,93.56,,鄉村區,乙種建築用地,1071109,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,218.72,4,2,4,有,無,15600000,71324,,0.0,0,,RPXNMLQKLHGGFBJ78CB
