編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLNLLHGGFBJ48CB,坡道平面,1400000,32.22,
RPSPMLNLLHGGFBJ28CB,坡道平面,1150000,30.98,
RPPPMLNLLHGGFBJ97CB,坡道平面,1400000,30.98,
RPVPMLNLLHGGFBJ58CB,坡道平面,1400000,30.98,
RPRQMLNLLHGGFBJ28CB,坡道平面,1250000,30.98,
RPOQMLNLLHGGFBJ97CB,坡道平面,1400000,30.98,
RPUQMLNLLHGGFBJ58CB,坡道平面,1250000,30.98,
RPSQMLNLLHGGFBJ38CB,坡道平面,1250000,30.98,
RPWQMLNLLHGGFBJ78CB,坡道平面,1400000,30.98,
RPWQMLNLLHGGFBJ78CB,坡道平面,1400000,30.98,
RPURMLNLLHGGFBJ68CB,坡道平面,1250000,30.98,
RPSRMLNLLHGGFBJ48CB,坡道平面,1400000,30.98,
RPORMLNLLHGGFBJ08CB,坡道平面,1400000,30.98,
RPPSMLNLLHGGFBJ28CB,坡道平面,1250000,30.98,
RPQRMLNLLHGGFBJ28CB,坡道平面,1400000,30.98,
RPPTMLNLLHGGFBJ38CB,坡道平面,1250000,30.98,
RPXSMLNLLHGGFBJ09CB,坡道平面,1300000,30.98,
RPXRMLNLLHGGFBJ98CB,坡道平面,1400000,30.98,
RPWSMLNLLHGGFBJ98CB,坡道平面,1150000,30.98,
RPSTMLNLLHGGFBJ68CB,坡道平面,1150000,30.98,
RPQUMLNLLHGGFBJ58CB,坡道平面,1400000,30.98,
RPXTMLNLLHGGFBJ56CB,坡道平面,1250000,30.98,
RPVTMLNLLHGGFBJ98CB,坡道平面,1250000,30.98,
RPSUMLNLLHGGFBJ78CB,坡道平面,1400000,30.98,
RPWUMLNLLHGGFBJ56CB,坡道平面,1400000,30.98,
RPTUMLNLLHGGFBJ88CB,坡道平面,1400000,30.98,
RPVUMLNLLHGGFBJ09CB,坡道平面,1250000,30.98,
RPXUMLNLLHGGFBJ66CB,坡道平面,1250000,30.98,
RPQVMLNLLHGGFBJ68CB,坡道平面,1400000,30.98,
RPSVMLNLLHGGFBJ88CB,坡道平面,1150000,30.98,
RPUVMLNLLHGGFBJ09CB,坡道平面,1250000,30.98,
RPOWMLNLLHGGFBJ58CB,坡道平面,1150000,30.98,
