編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLMKLHGGFBJ77CC,14,100.97,住家用,鋼筋混凝土造,95年11月13日,十三層,
RPPOMLMKLHGGFBJ77CC,14,17.39,共用部分,鋼筋混凝土造,95年11月13日,十三層,
RPPOMLMKLHGGFBJ77CC,14,26.95,共用部分,鋼筋混凝土造,95年11月13日,十三層,
RPPOMLMKLHGGFBJ77CC,14,5.44,共用部分,鋼筋混凝土造,95年11月13日,三層,
RPROMLMKLHGGFCJ08CC,1,121.35,集合住宅,鋼筋混凝土造,109年2月12日,五層,
RPROMLMKLHGGFCJ08CC,1,57.44,本共有部分之項目有停車空間、樓梯間等二項,鋼筋混凝土造,109年2月12日,五層,
RPWOMLPKLHGGFBJ78CC,13,81.10,商業用,鋼筋混凝土造,96年12月4日,十三層,
RPWOMLPKLHGGFBJ78CC,13,13.39,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPWOMLPKLHGGFBJ78CC,13,20.20,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPRPMLPKLHGGFBJ38CC,3,50.56,店鋪,鋼筋混凝土造,106年9月15日,十四層,
RPRPMLPKLHGGFBJ38CC,3,53.36,本共有部分之項目有停車空間、防空避難室兼停車空間、排煙室、緊急升降機、升降機、水箱、揚水泵室、消防機械室、風機室、汙雨水機房兼風機室、安全梯、公共服務空間、水錶室、梯間、機械室、垃圾處理室、緊急發電機室、揚水泵室兼風機室、台電配電室、電信室、電錶室、受電箱室、景觀機房、梯廳、管委會空間、戶外安全梯等二十六項,鋼筋混凝土造,106年9月15日,十三層,
RPUNMLMKLHGGFBJ28DC,13,58.14,商業用,鋼筋混凝土造,97年6月19日,八層,
RPUNMLMKLHGGFBJ28DC,13,72.68,共用部分,鋼筋混凝土造,97年6月19日,八層,
RPQOMLMKLHGGFBJ87CC,13,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPQOMLMKLHGGFBJ87CC,13,11.33,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPQNMLPKLHGGFDJ28CC,6,20.27,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPXSMLRKLHGGFBJ96DC,12,216.79,商業用,鋼筋混凝土造,98年1月21日,九層,
RPXSMLRKLHGGFBJ96DC,12,88.76,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPXSMLRKLHGGFBJ96DC,12,29.82,共用部分,鋼筋混凝土造,98年1月21日,九層,
RPXSMLRKLHGGFBJ96DC,12,.06,管理員室,鋼筋混凝土造,98年1月21日,十三層,
RPUQMLRKLHGGFBJ98CC,15,31.67,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPUQMLRKLHGGFBJ98CC,15,3.94,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPUQMLRKLHGGFBJ98CC,15,6.66,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPVQMLRKLHGGFBJ09CC,9,64.97,住家用,鋼筋混凝土造,100年12月2日,十四層,
RPVQMLRKLHGGFBJ09CC,9,12.48,梯間,鋼筋混凝土造,100年12月2日,十四層,
RPVQMLRKLHGGFBJ09CC,9,54.33,本共有部分之項目有防空避難室、停車空間、管理員室、車道、垃圾集中處、頂蓋型開放空間、公共服務空間等７項,鋼筋混凝土造,100年12月2日,十四層,
RPTNMLMKLHGGFBJ08CC,16,20.45,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPTNMLMKLHGGFBJ08CC,16,11.75,共用部分,鋼筋混凝土造,93年10月18日,十四層,
RPTNMLMKLHGGFBJ08CC,16,88.44,住家用,鋼筋混凝土造,93年10月18日,十四層,
RPWQMLRKLHGGFBJ56CC,10,63.83,住家用,鋼筋混凝土造,100年7月7日,十五層,
RPWQMLRKLHGGFBJ56CC,10,44.43,本共有部分之項目有開放空間、社區中心、梯間、防空避難室、停車空間、車道、冷藏室、前廊等八項。,鋼筋混凝土造,100年7月7日,十五層,
RPWQMLRKLHGGFBJ56CC,10,18.38,本共有部分之項目有梯間等一項,鋼筋混凝土造,100年7月7日,十五層,
RPXQMLRKLHGGFBJ66CC,20,112.05,商業用,鋼筋混凝土造,90年7月29日,十層,
RPXQMLRKLHGGFBJ66CC,20,17.75,共用部分,鋼筋混凝土造,90年7月29日,十層,
RPXQMLRKLHGGFBJ66CC,20,30.04,共用部分,鋼筋混凝土造,90年7月29日,十層,
RPWSMLRKLHGGFBJ76CC,8,78.61,商業用,鋼筋混凝土造,101年12月12日,十四層,
RPWSMLRKLHGGFBJ76CC,8,56.94,本共有部分之項目有防空避難室兼停車空間、公共服務空間、開放空間、集中式垃圾貯存空間等四項。,鋼筋混凝土造,101年12月12日,十四層,
RPQNMLMKLHGGFDJ97CC,1,60.44,集合住宅,鋼筋混凝土造,108年9月17日,五層,
RPQNMLMKLHGGFDJ97CC,1,26.50,共用部分,鋼筋混凝土造,108年9月17日,五層,
RPSRMLSKLHGGFBJ98CC,13,30.60,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPSRMLSKLHGGFBJ98CC,13,3.58,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPSRMLSKLHGGFBJ98CC,13,10.59,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPUNMLSKLHGGFCJ88CC,17,1649.20,住家用,鋼筋混凝土造,93年5月25日,二層,
RPUNMLSKLHGGFCJ88CC,17,2967.60,住家用,鋼筋混凝土造,93年5月25日,二層,
RPOPMLMLLHGGFBJ87CC,25,88.22,商業用,鋼筋混凝土造,84年10月11日,六層,
RPOPMLMLLHGGFBJ87CC,25,27.70,共用部分,鋼筋混凝土造,84年10月11日,六層,
RPOPMLMLLHGGFBJ87CC,25,9.45,共用部分,鋼筋混凝土造,84年10月11日,六層,
RPXNMLTKLHGGFBJ56CC,25,85.34,住家用,鋼筋混凝土造,85年7月3日,十二層,
RPXNMLTKLHGGFBJ56CC,25,20.18,共用部分,鋼筋混凝土造,85年7月3日,十三層,
RPVNMLMLLHGGFCJ48CC,6,34.73,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,104年1月20日,四層,
RPOOMLNLLHGGFDJ08CC,6,20.75,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPPOMLNLLHGGFDJ18CC,6,20.75,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPWPMLPKLHGGFBJ88CC,13,76.62,住家用,鋼筋混凝土造,97年8月28日,五層,
RPWWNLOLLHGGFBJ07CC,9,95.76,住家用,鋼筋混凝土造,101年3月28日,二十四層,
RPWWNLOLLHGGFBJ07CC,9,17.43,本共有部分之項目有防空避難室，停車空間，開放空間，垃圾集中場，社區公共服務空間等五項。,鋼筋混凝土造,101年3月28日,二十四層,
RPWWNLOLLHGGFBJ07CC,9,23.95,本共有部分之項目有梯間、中繼機房、機械室、水箱等四項。,鋼筋混凝土造,101年3月28日,二十四層,
RPPPMLPLLHGGFBJ28CC,8,144.45,商業用,鋼筋混凝土造,101年8月30日,十四層,
RPPPMLPLLHGGFBJ28CC,8,72.21,本共有部分之項目有防空避難室兼停車空間、管委會、頂蓋型開放空間、樓梯間、瞭望台、梯間、水箱、機械室房等八項。,鋼筋混凝土造,101年8月30日,十四層,
RPQPMLPLLHGGFBJ38CC,25,126.39,住家用,鋼筋混凝土造,85年1月6日,五層,
RPQPMLPLLHGGFBJ38CC,25,23.32,共用部分,鋼筋混凝土造,85年1月6日,五層,
RPQNOLOLLHGGFBJ28CC,13,109.80,住家用,鋼筋混凝土造,97年6月27日,十四層,
RPQNOLOLLHGGFBJ28CC,13,22.56,共用部分,鋼筋混凝土造,97年6月27日,十四層,
RPQNOLOLLHGGFBJ28CC,13,22.22,共用部分,鋼筋混凝土造,97年6月27日,14,
RPQOMLPLLHGGFDJ48CC,6,20.27,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPQOMLQLLHGGFDJ58CC,,124.44,住家用,鋼筋混凝土造,,三層,
RPVPMLQLLHGGFBJ98CC,8,113.72,住家用,鋼筋混凝土造,102年8月2日,十四層,
RPVPMLQLLHGGFBJ98CC,8,82.65,本共有部分之項目有防空避難室兼停車空間、有頂蓋式開放空間、梯間、水箱、機械室等五項。,鋼筋混凝土造,102年8月2日,十四層,
RPQNMLQLLHGGFBJ28CC,7,254.05,住商用,鋼筋混凝土造,102年11月7日,二十二層,
RPQNMLQLLHGGFBJ28CC,7,59.25,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,
RPROMLKMLHGGFBJ97CC,14,130.27,商業用,鋼筋混凝土造,95年11月30日,六層,
RPTOMLKMLHGGFBJ18CC,4,63.52,住家用,鋼筋混凝土造,106年9月15日,十四層,
RPTOMLKMLHGGFBJ18CC,4,65.76,本共有部分之項目有停車空間、防空避難室兼停車空間、排煙室、緊急升降機、升降機、水箱、揚水泵室、消防機械室、風機室、汙雨水機房兼風機室、安全梯、公共服務空間、水錶室、梯間、機械室、垃圾處理室、緊急發電機室、揚水泵室兼風機室、台電配電室、電信室、電錶室、受電箱室、景觀機房、梯廳、管委會空間、戶外安全梯等二十六項,鋼筋混凝土造,106年9月15日,十三層,
RPTVMLTLLHGGFBJ07CC,15,77.04,住家用,鋼筋混凝土造,94年9月23日,十五層,
RPTVMLTLLHGGFBJ07CC,15,10.20,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPTVMLTLLHGGFBJ07CC,15,40.03,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPTVMLTLLHGGFBJ07CC,15,.03,守衛室,鋼筋混凝土造,94年9月23日,十五層,
RPWNMLKMLHGGFDJ58CC,20,90.88,住家用,鋼筋混凝土造,89年11月23日,五層,
RPWNMLKMLHGGFDJ58CC,20,16.45,梯間,鋼筋混凝土造,89年11月23日,五層,
