鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭份市,房地(土地+建物),苗栗縣頭份市東民三街30號,152.0,商,,,1100203,土地1建物1車位0,一層,3,店面(店鋪),一般零售業、一般事務所、運動休閒設施,ＲＣ造,1000323,90.1,0,0,0,無,無,無,24000,266,,0.0,0,,RPVNMLMKLHGGFFK88DC
頭份市,房地(土地+建物),苗栗縣頭份市東民三街30號,152.0,商,,,1100203,土地1建物1車位0,一層,3,店面(店鋪),一般零售業、一般事務所、運動休閒設施,ＲＣ造,1000323,90.1,0,0,0,無,無,無,24000,266,,0.0,0,,RPXOMLMKLHGGFFK56DC
頭份市,建物,苗栗縣頭份市昌隆一街91號13樓,0.0,住,,,1100303,土地0建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090722,148.59,3,2,2,有,無,有,22500,151,坡道平面,32.22,0,,RPVRMLRKLHGGFFK07CC
頭份市,房地(土地+建物),苗栗縣頭份市信三街148號五樓,15.42,住,,,1100315,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),辦公室,ＲＣ造,0980825,38.89,3,2,2,有,有,有,12000,309,,0.0,0,,RPQNMLMLLHGGFFK48DC
苗栗市,房地(土地+建物),苗栗縣苗栗市維祥街77號,122.0,,鄉村區,乙種建築用地,1100220,土地1建物0車位0,全,3,透天厝,住家用,加強磚造,0631101,107.53,5,4,2,有,無,無,10000,93,,0.0,0,,RPRNMLTLLHGGFBK78CC
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮正義街76號,46.7,住,,,1100327,土地1建物1車位1,見其他登記事項,15,辦公商業大樓,住商用,鋼筋混凝土造,1051208,235.96,0,0,2,有,有,有,26000,110,坡道平面,0.0,0,,RPPOMLKMLHGGFDK08CC
頭份市,房地(土地+建物),苗栗縣頭份市信六街30號,38.79,住,,,1100310,土地2建物1車位0,一層,7,店面(店鋪),商業用,見其他登記事項,1011220,74.18,3,1,4,有,有,有,20000,270,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；含管理費，含稅金。,RPTPMLLMLHGGFFK98DC
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮華興街103巷11號,60.62,其他,,,1100323,土地1建物1車位1,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0971014,262.79,5,2,4,有,無,有,32000,122,一樓平面,0.0,0,1.水電瓦斯由承租方自行負擔2.禁寵物3.禁室內吸菸,RPOOMLTJMHGGFDK68CC
頭份市,建物,苗栗縣頭份市公園七街69號2樓,0.0,商,,,1100328,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091016,105.61,2,2,1,有,無,有,22755,215,坡道機械,16.44,0,,RPTOMLNKMHGGFFK88CC
頭份市,建物,苗栗縣頭份市公園七街59號9樓,0.0,商,,,1100328,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091016,106.39,2,2,1,有,無,有,16667,157,坡道平面,16.44,0,,RPWNMLOKMHGGFFK56CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路425號5樓,47.41,住,,,1100414,土地1建物1車位0,五層,,華廈(10層含以下有電梯),,,,94.03,3,2,2,有,無,無,15000,160,一樓平面,21.24,0,車位未單獨計入租金且已含入租金總額,RPSOMLRLMHGGFBK88CC
頭份市,房地(土地+建物),苗栗縣頭份市文化街239號,547.68,住,,,1100401,土地1建物1車位0,一層,1,店面(店鋪),店舖、停車空間、住宅,鋼骨造,1091028,647.55,0,0,0,無,無,無,20000,31,,0.0,0,,RPUNMLSLMHGGFFK86CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮環市路三段86號1樓,493.98,住,,,1100430,土地8建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0980119,124.42,1,1,2,有,無,無,55000,442,,0.0,0,急出租急承租。；只租一樓店面-租賃契約110年06月01日開始計算租金-8筆土地為3人持有-,RPVNMLNJNHGGFDK78CC
頭份市,房地(土地+建物),苗栗縣頭份市中興路640號六樓,18.29,住,,,1100501,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820609,104.26,3,2,2,有,無,有,10000,96,,0.0,0,,RPRNMLOJNHGGFFK68CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路426巷3號8樓之5,14.05,住,,,1100503,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,14.11,1,1,1,有,有,無,13000,921,坡道平面,0.0,0,租金含管理費及汽機車停車位各1格,RPVNMLOJNHGGFBK68CC
頭份市,房地(土地+建物),苗栗縣頭份市忠孝一路149號五樓,22.3,住,,,1100510,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050816,80.7,2,1,1,有,無,有,13000,161,,0.0,0,,RPVNMLLKNHGGFFK88CC
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園七街27號12樓,13.28,商,,,1100509,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041211,126.63,2,1,2,有,有,有,16000,126,坡道平面,10.18,0,,RPTNMLMKNHGGFFK78CC
頭份市,房地(土地+建物)+車位,苗栗縣頭份市民權里1鄰中華路883-5號7樓,24.8,住,,,1100517,土地1建物1車位1,七層,,華廈(10層含以下有電梯),,,,28.02,3,2,2,有,無,有,18000,642,其他,0.0,0,,RPXNMLTKNHGGFFK27CC
造橋鄉,房地(土地+建物),苗栗縣造橋鄉禮蘭新村39號,103.72,,鄉村區,乙種建築用地,1100523,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841208,169.65,4,2,3,有,無,無,12000,71,,0.0,0,,RPTNMLOLNHGGFDK98DC
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮苑坑里7鄰74號,156.3,,特定農業區,甲種建築用地,1100513,土地1建物0車位0,全,3,透天厝,住家用,土造,,985.3,3,2,2,有,無,無,10000,10,,0.0,0,含管理費、稅金或水電等費用。；,RPTNMLPLNHGGFCK88CC
