編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMKLHGGFFK88DC,10,90.10,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年3月23日,三層,
RPXOMLMKLHGGFFK56DC,10,90.10,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年3月23日,三層,
RPVRMLRKLHGGFFK07CC,1,80.20,住家用,鋼筋混凝土造,109年7月22日,十五層,
RPVRMLRKLHGGFFK07CC,1,50.19,門廳、管委會、停車空間、電信機器室、防空避難室,鋼筋混凝土造,109年7月22日,十五層,
RPVRMLRKLHGGFFK07CC,1,18.20,樓梯間、水箱、機械室,鋼筋混凝土造,109年7月22日,十五層,
RPQNMLMLLHGGFFK48DC,12,38.89,辦公室,ＲＣ造,98年8月25日,六層,
RPTPMLLMLHGGFFK98DC,8,74.18,商業用,ＲＣ造,101年12月20日,七層,
RPOOMLTJMHGGFDK68CC,12,262.79,住宅、停車空間,鋼筋混凝土造,97年10月14日,五層,
RPPOMLKMLHGGFDK08CC,4,235.96,住商用,鋼筋混凝土造,105年12月8日,十五層,
RPRNMLTLLHGGFBK78CC,46,107.53,住家用,加強磚造,63年11月1日,,
RPWNMLOKMHGGFFK56CC,,61.30,住家用,鋼筋混凝土造,109年10月16日,十四層,
RPTOMLNKMHGGFFK88CC,,60.62,住家用,鋼筋混凝土造,109年10月16日,十四層,
RPWNMLOKMHGGFFK56CC,,30.07,共有部分,鋼筋混凝土造,109年10月22日,十四層,
RPTOMLNKMHGGFFK88CC,,15.02,共有部分,鋼筋混凝土造,109年10月22日,十四層,
RPWNMLOKMHGGFFK56CC,,15.02,共有部分,鋼筋混凝土造,109年10月22日,十四層,
RPTOMLNKMHGGFFK88CC,,29.97,共有部分,鋼筋混凝土造,109年10月22日,十四層,
RPUNMLSLMHGGFFK86CC,,647.55,店舖、停車空間、住宅,鋼骨造,109年10月28日,二層,
RPVNMLNJNHGGFDK78CC,12,124.42,停車空間、辦公室、騎樓、店鋪、住宅、樓梯間,鋼筋混凝土造,98年1月19日,四層,
RPSOMLRLMHGGFBK88CC,17,94.03,共有部分,鋼筋混凝土造,93年7月1日,五層,
RPVNMLOJNHGGFBK68CC,,14.11,住家用,鋼筋混凝土造,109年12月15日,十二層,
RPVNMLLKNHGGFFK88CC,5,80.70,集合住宅,鋼筋混凝土造,105年8月16日,五層,
RPXNMLTKNHGGFFK27CC,5,28.02,Ａ棟梯廳、昇降設備空間、水箱間,鋼筋混凝土造,105年7月7日,十二層,
RPSOMLPLNHGGFDK98CC,1,69.91,住家用,鋼筋混凝土造,109年9月15日,十五層,
RPTNMLOLNHGGFDK98DC,25,169.65,住家用,鋼筋混凝土造,84年12月8日,三層,
RPTOMLPLNHGGFDK09CC,,96.20,住商用,磚造,,二層,
RPTNMLPLNHGGFCK88CC,,985.30,住家用,土造,,一層,
RPVNMLPLNHGGFFK76CC,3,56.27,店舖、集合住宅,鋼筋混凝土造,107年8月9日,十三層,
RPUOMLPLNHGGFDK56CC,5,89.90,住家用,鋼筋混凝土造,105年1月15日,九層,
RPQOMLPLNHGGFFK98CC,3,133.30,商業用,鋼筋混凝土造,106年11月15日,十四層,
RPROMLPLNHGGFFK09CC,55,61.41,住家用,鋼筋混凝土加強磚造,54年12月15日,二層,
RPWNMLPLNHGGFFK86CC,38,49.54,住家用,ＲＣ構造，加強磚造,72年6月9日,三層,
RPVNMLQLNHGGFBK09CC,,60.12,住家用,鋼筋混凝土造,109年12月15日,十二層,
RPXNMLQLNHGGFBK66CC,27,107.20,住家用,鋼筋混凝土造,83年1月22日,,
RPOOMLQLNHGGFBK48CC,25,132.24,住家用,鋼筋混凝土造,84年12月21日,,
RPUNMLQLNHGGFBK98CC,,60.12,住家用,鋼筋混凝土造,109年12月15日,十二層,
RPWNMLQLNHGGFBK56CC,,60.12,住家用,鋼筋混凝土造,109年12月15日,十二層,
RPPNMLTLNHGGFDK98CC,19,265.34,住商用,鋼筋混凝土造,91年1月15日,四層,
RPRNMLOJNHGGFFK68CC,28,104.26,住家用,鋼筋混凝土造,82年6月9日,七層,
RPTNMLMKNHGGFFK78CC,5,80.56,集合住宅,鋼筋混凝土造,104年12月11日,十四層,
RPTNMLMKNHGGFFK78CC,5,23.00,停車空間、防空避難室、委員會空間,鋼筋混凝土造,104年12月11日,十四層,
RPTNMLMKNHGGFFK78CC,5,23.07,樓梯間、電梯機房、水箱,鋼筋混凝土造,104年12月11日,十四層,
