編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLKMLHGGFAM97CC,16,95.98,住家用,鋼筋混凝土造,93年12月28日,十二層,
RPQNMLKMLHGGFAM97CC,16,13.88,住家用,鋼筋混凝土造,93年12月28日,十二層,
RPQNMLKMLHGGFAM97CC,16,9.51,電梯樓梯間、梯間,鋼筋混凝土造,93年12月28日,十二層,
RPUNMLTKMHGGFBM66CC,41,258.14,住商用,鋼筋混凝土造,69年1月3日,四層,
RPSNMLRJMHGGFBM78CC,38,41.76,住商用,鋼造,72年6月23日,一層,
RPRNMLLLMHGGFCM38CC,35,144.21,店舖、住宅、人行道,鋼筋混凝土造,75年2月6日,二層,
RPVNMLRJMHGGFBM09CC,27,135.32,住商用,鋼筋混凝土造,83年7月21日,十三層,
RPVNMLRJMHGGFBM09CC,27,17.61,停車場、防空避難室、梯間、走道、水箱、機房,鋼筋混凝土造,83年7月21日,十三層,
RPSNMLKKNHGGFBM28CC,14,221.98,住商用,鋼筋混凝土造,96年8月16日,三層,
RPSNMLNJNHGGFBM48CC,20,792.20,蔬菜育苗作業室、門廊,鋼骨造,90年10月9日,一層,
RPTNMLRJNHGGFBM98CC,46,91.14,住商用,鋼筋混凝土加強磚造,64年7月8日,二層,
RPPNMLSJNHGGFCM88DC,13,136.75,住家用,鋼骨鋼筋混凝土造,97年7月31日,三層,
RPQNMLOJNHGGFAM28CC,40,161.52,住商用,鋼筋混凝土加強磚造,69年12月31日,二層,
RPQNMLPLNHGGFAM58CC,41,165.06,住商用,鋼筋混凝土加強磚造,69年6月2日,二層,
RPVNMLSKNHGGFBM76CC,3,72.87,集合住宅,鋼筋混凝土造,107年8月6日,十一層,
RPVNMLSKNHGGFBM76CC,3,60.63,停車空間兼防空避難室、台電配電室、電信室、消防機房兼發電機室、電梯間、樓梯間、梯廳、車道、管委會空間、停車空間、電梯機房、水箱,鋼筋混凝土造,107年8月6日,十一層,
RPTNMLPLNHGGFAM88CC,27,75.59,住家用,鋼筋混凝土造,83年9月8日,五層,
RPTNMLPLNHGGFAM88CC,27,4.34,機械房、水塔、梯間,鋼筋混凝土造,83年9月8日,五層,
RPVNMLNLLHGGFAM68CC,,65.43,集合住宅,鋼筋混凝土造,109年10月7日,七層,
RPVNMLNLLHGGFAM68CC,,28.32,集合住宅,鋼筋混凝土造,109年10月7日,七層,
RPXNMLOLLHGGFBM09CC,30,173.32,住商用,鋼筋混凝土造,80年3月23日,十二層,
RPXNMLOLLHGGFBM09CC,30,19.86,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,
RPXNMLPJNHGGFCM66CC,27,41.30,集合住宅,鋼筋混凝土造,83年10月13日,十二層,
RPVNMLQLNHGGFAM56CC,20,187.55,住商用,鋼筋混凝土造,90年4月9日,三層,
RPUNMLRJNHGGFBM56DC,46,253.14,住商用,鋼筋混凝土加強磚造,64年6月6日,三層,
