鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,建物,彰化縣彰化市實踐路１９３號,0.0,住,,,1100222,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0661222,101.2,2,2,2,有,無,無,35000,346,,0.0,0,含增建或未登記建物。；部分承租。一樓營業、二樓住家型態為透天。租期內含免租裝潢期。,RPOPMLPKLHGGFAN38CC
彰化市,土地,彰泰段615地號,879.52,住,,,1100224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,114,,0.0,0,含增建或未登記建物。；,RPUOMLQKLHGGFAN98CC
員林市,房地(土地+建物),彰化縣員林市茄苳路一段55號,56.73,商,,,1100315,土地1建物0車位0,全,2,透天厝,住商用,加強磚造,0690211,115.5,2,2,2,有,無,無,22000,190,,0.0,0,雙方約定於第三年，自民國112年5月1日起至113年4月30日止，每月租金修改為新台幣25000元整。,RPQOMLRKLHGGFDN98CC
員林市,房地(土地+建物),彰化縣員林市南平三街3號,33.42,住,,,1100310,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0830201,77.61,0,0,0,無,有,無,10000,129,,0.0,0,每月租金含廢水除理費及管理費及租賃稅及二代健保補充保費。,RPUNMLMLLHGGFDN88CC
員林市,土地,員林段43-45地號,43.0,商,,,1100311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,372,,0.0,0,本件無建物所有權登記,RPXNMLMLLHGGFDN56CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮工業西七路30號,4640.05,,工業區,丁種建築用地,1100308,土地1建物2車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1090522,1594.23,0,0,0,無,有,無,220500,,,0.0,0,含管理費、稅金或水電等費用。；雙方同意110.03.10~110.05.09為裝修期不計租金,RPRNMLNLLHGGFCN58CC
彰化市,建物,彰化縣彰化市中興路８８號,0.0,住,,,1100302,土地1建物0車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家、停車空間,鋼筋混凝土造,0791105,141.27,3,3,3,有,有,無,15000,106,,0.0,0,,RPXNMLOLLHGGFAN09CC
彰化市,建物,彰化縣彰化市中正路二段３７０號,0.0,住,,,1100325,土地1建物0車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0651018,259.05,7,4,5,有,無,無,40000,154,,0.0,0,含增建或未登記建物。；,RPUOMLPLLHGGFAN98CC
員林市,房地(土地+建物),彰化縣員林市中山路二段468號,130.03,住,,,1100324,土地1建物0車位0,全,5,透天厝,住宅、停車空間,鋼筋混凝土造,1011228,344.38,4,3,5,有,無,無,50000,145,,0.0,0,,RPTNMLPLLHGGFDN09CC
和美鎮,土地,糖友段132地號,7548.41,,特定農業區,丁種建築用地,1100325,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,90000,12,,0.0,0,含增建或未登記建物。；租賃土地約600坪做倉庫使用建物位於3筆土地上，建物未保存登記,RPRNMLLJMHGGFBN28DC
彰化市,建物,彰化縣彰化市永樂街２８號,0.0,商,,,1100316,土地0建物0車位0,見其他登記事項,5,店面(店鋪),住家、店舖、避難室,鋼筋混凝土造,0741218,81.54,1,2,2,有,無,無,20000,245,,0.0,0,含增建或未登記建物。；部分承租。租賃期間含免租金裝潢期。兩位承租方，輸入其中一位資料申報。,RPPPMLLJMHGGFAN08CC
彰化市,房地(土地+建物),彰化縣彰化市長順街32號,41.0,住,,,1100322,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0641229,85.56,0,0,0,無,無,無,16000,187,,0.0,0,租賃期間1100401~1110331共1年,RPPOMLQJMHGGFAN58DC
員林市,土地,至善段535地號,26.0,住,,,1100308,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,8000,308,,0.0,0,含增建或未登記建物。；本物件無建號資料，此為龍心投資管理顧問股公司轉租案件,RPRNMLRJMHGGFDN98CC
彰化市,建物,彰化縣彰化市福成街91巷12弄1號,75.78,住,,,1100324,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850315,142.12,6,3,4,有,無,無,16000,113,,0.0,0,含增建或未登記建物。；,RPWOMLRJMHGGFAN66CC
彰化市,房地(土地+建物),彰化縣彰化市線東路一段526號,2149.89,農,,,1100330,土地1建物0車位0,見其他登記事項,2,農舍,農舍,鋼骨造,0890607,193.42,3,2,1,有,無,無,138300,,,0.0,0,,RPSNMLSJMHGGFAN88CC
