編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLPKLHGGFAN38CC,43,101.20,住商用,鋼筋混凝土造,66年12月22日,三層,
RPQOMLRKLHGGFDN98CC,41,115.50,住商用,加強磚造,69年2月11日,二層,
RPRNMLNLLHGGFCN58CC,1,1558.48,廠房,鋼骨造、鋼筋混凝土造,109年5月22日,一層,
RPRNMLNLLHGGFCN58CC,1,35.75,台電配電室、發電機消防幫浦室,鋼骨造、鋼筋混凝土造,109年5月22日,一層,
RPUOMLPLLHGGFAN98CC,44,259.05,住商用,鋼筋混凝土造,65年10月18日,五層,
RPXNMLOLLHGGFAN09CC,30,121.36,住家、停車空間,鋼筋混凝土造,79年11月5日,七層,
RPXNMLOLLHGGFAN09CC,30,19.91,避難室、梯間,鋼筋混凝土造,79年11月5日,七層,
RPTNMLPLLHGGFDN09CC,8,344.38,住宅、停車空間,鋼筋混凝土造,101年12月28日,五層,
RPUNMLMLLHGGFDN88CC,27,63.13,商業用,鋼筋混凝土造,83年2月1日,七層,
RPUNMLMLLHGGFDN88CC,27,14.48,電梯、樓梯、守衛室,鋼筋混凝土造,83年2月1日,七層,
RPPPMLLJMHGGFAN08CC,35,81.54,住家、店舖、避難室,鋼筋混凝土造,74年12月18日,五層,
RPQNMLMKMHGGFAN28DC,28,119.74,住家用,鋼筋混凝土造,82年5月13日,七層,
RPSNMLSJMHGGFAN88CC,21,193.42,農舍,鋼骨造,89年6月7日,二層,
RPPOMLQJMHGGFAN58DC,45,85.56,住商用,鋼筋混凝土加強磚造,64年12月29日,三層,
RPQOMLNKMHGGFAN38CC,42,19.83,住家用,鋼筋混凝土加強磚造,67年12月1日,二層,
RPQNMLNKMHGGFAN28CC,40,87.30,住家用,加強磚造,69年12月11日,二層,
RPUNMLNKMHGGFAN68CC,47,278.54,住商用,鋼筋混凝土加強磚造,63年6月21日,三層,
RPWOMLRJMHGGFAN66CC,25,142.12,住家用,鋼筋混凝土造,85年3月15日,四層,
RPQOMLTKMHGGFAN98CC,2,113.00,騎樓、住宅、樓梯間,鋼筋混凝土造,108年3月11日,四層,
RPTOMLNJNHGGFAN68CC,31,198.99,住商用,鋼筋混凝土造,79年6月15日,四層,
RPQNMLSLMHGGFBN09DC,15,112.50,農舍,鋼鐵架造,95年5月22日,一層,
RPSNMLRJNHGGFDN56CC,25,60.44,住家用,鋼筋混凝土造,84年11月3日,十一層,
RPWNMLNJNHGGFAN88CC,,59.36,集合住宅,鋼筋混凝土造,109年11月19日,十四層,
RPWNMLNJNHGGFAN88CC,,59.20,停車空間，緊急發電機室，電信室，消防機械室，安全梯，排煙室，緊急昇降機間，停車空間兼防空避難室，台電配電室，電錶室，水箱，管委會使用空間，梯廳，戶外安全梯，管委會空間，公共服務空間，水錶室，瓦斯錶室，電梯機械室,鋼筋混凝土造,109年11月19日,十四層,
RPPNMLKKNHGGFDN28CC,38,38.64,住商用,鋼筋混凝土造,72年6月27日,四層,
RPPNMLKKNHGGFDN28CC,38,14.70,住商用,鋼筋混凝土造,72年6月27日,四層,
RPVOMLOJNHGGFAN98CC,24,169.05,住家用,鋼筋混凝土造,85年10月22日,三層,
RPVOMLOJNHGGFAN98CC,24,7.58,住家用,鋼筋混凝土造,85年10月22日,三層,
RPVOMLOJNHGGFAN98CC,24,6.44,住家用,鋼筋混凝土造,85年10月22日,三層,
RPWNMLKKNHGGFDN98CC,14,166.53,住家用,鋼筋混凝土造,95年12月20日,三層,
RPXNMLKKNHGGFDN09CC,38,38.64,住商用,鋼筋混凝土造,72年6月27日,四層,
RPXNMLKKNHGGFDN09CC,38,14.70,住商用,鋼筋混凝土造,72年6月27日,四層,
RPQOMLKKNHGGFAN18CC,15,236.87,住宅、店舖,鋼筋混凝土造,95年6月12日,四層,
RPUPMLOKNHGGFAN09CC,40,160.80,住商用,鋼筋混凝土造,70年3月14日,三層,
RPUPMLOKNHGGFAN09CC,40,160.80,住商用,鋼筋混凝土造,70年3月14日,三層,
RPVNMLKKNHGGFAN58CC,43,99.28,住商用,鋼筋混凝土加強磚造,67年10月18日,二層,
RPVNMLRKNHGGFDN96CC,38,297.68,住商用,鋼筋混凝土造,72年6月22日,四層,
RPRNMLSKNHGGFAN09DC,52,163.20,住家用,鋼筋混凝土加強磚造,57年12月10日,三層,
RPPOMLRKNHGGFDN09CC,86,158.65,住商用,水泥磚造、木磚造,24年10月6日,二層,
RPOOMLRKNHGGFDN98CC,30,242.13,住工用,鋼筋混凝土造,80年3月2日,五層,
