編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLPKLHGGFAN38CC,牛稠子段牛稠子小段,.00,都市：住,,,,01680000
RPUOMLQKLHGGFAN98CC,彰泰段,679.45,都市：住,,,,06140000
RPUOMLQKLHGGFAN98CC,彰泰段,200.07,都市：住,,,,06150000
RPQOMLRKLHGGFDN98CC,大庄段,56.73,都市：商,,,,09590000
RPXNMLMLLHGGFDN56CC,員林段,15.00,都市：商,,,,00430109
RPXNMLMLLHGGFDN56CC,員林段,28.00,都市：商,,,,00430045
RPRNMLNLLHGGFCN58CC,鹿工段,4640.05,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00560038
RPUOMLPLLHGGFAN98CC,南郭段南郭小段,.00,都市：住,,,,04930004
RPXNMLOLLHGGFAN09CC,南郭段南郭小段,.00,都市：住,,,,01530002
RPTNMLPLLHGGFDN09CC,三多段,120.49,都市：住,,,,06770006
RPTNMLPLLHGGFDN09CC,三多段,9.54,都市：住,,,,06770016
RPUNMLMLLHGGFDN88CC,莒光段,33.42,都市：住,,,,30700000
RPRNMLLJMHGGFBN28DC,糖友段,1595.86,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01240000
RPPPMLLJMHGGFAN08CC,民權段,.00,都市：商,,,,01230000
RPRNMLLJMHGGFBN28DC,糖友段,3195.56,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01270000
RPRNMLLJMHGGFBN28DC,糖友段,2756.99,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01320000
RPRNMLRJMHGGFDN98CC,至善段,26.00,都市：住,,,,05350000
RPQNMLMKMHGGFAN28DC,延和段,22.95,都市：住,,,,03660000
RPSNMLSJMHGGFAN88CC,平和段,2149.89,都市：農,,,,03240000
RPPOMLQJMHGGFAN58DC,牛稠子段牛稠子小段,41.00,都市：住,,,,01150100
RPQOMLNKMHGGFAN38CC,牛稠子段中庄子小段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00230153
RPQNMLNKMHGGFAN28CC,花壇段,.00,非都市：特定專用區 ; 非都市編定：特定目的事業用地,,,,04710062
RPUNMLNKMHGGFAN68CC,南郭段南郭小段,73.00,都市：住,,,,04460084
RPUNMLNKMHGGFAN68CC,南郭段南郭小段,8.00,都市：住,,,,05870059
RPROMLTKMHGGFDN86DC,溝皂段,260.91,都市：住,,,,07250000
RPWOMLRJMHGGFAN66CC,金馬段,75.78,都市：住,,,,08760000
RPQOMLTKMHGGFAN98CC,牛稠子段下?小段,113.00,都市：住,,,,01460042
RPTOMLNJNHGGFAN68CC,彰泰段,.00,都市：住,,,,08600000
RPQNMLSLMHGGFBN09DC,德興段,1145.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03850000
RPSNMLRJNHGGFDN56CC,員林段,9.65,都市：住,,,,01160000
RPWNMLNJNHGGFAN88CC,延平段,.00,都市：住,,,,09620000
RPPNMLKKNHGGFDN28CC,僑信段,88.73,都市：住,,,,12010000
RPVOMLOJNHGGFAN98CC,溪南段,107.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03150000
RPWNMLKKNHGGFDN98CC,東北段,115.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01130002
RPPNMLRJNHGGFBN68CC,順天段,320.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07670000
RPXNMLKKNHGGFDN09CC,僑信段,88.73,都市：住,,,,12010000
RPQOMLKKNHGGFAN18CC,福竹段,93.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10660015
RPUPMLOKNHGGFAN09CC,古夷段,145.72,都市：住,,,,11690000
RPUPMLOKNHGGFAN09CC,古夷段,79.91,都市：住,,,,11780000
RPUPMLOKNHGGFAN09CC,古夷段,79.85,都市：住,,,,11790000
RPVNMLKKNHGGFAN58CC,西勢子段西勢子小段,77.00,都市：住,,,,00420070
RPVNMLRKNHGGFDN96CC,靜修段,132.72,都市：住,,,,03750000
RPRNMLSKNHGGFAN09DC,西門口段,72.00,都市：工,,,,00630027
RPPOMLRKNHGGFDN09CC,員林段,170.00,都市：商,,,,05330006
RPOOMLRKNHGGFDN98CC,豐年段,71.00,都市：住,,,,04400000
