鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市經國路二段111號12樓之16,0.0,住,,,1100305,土地0建物1車位0,十二層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860715,37.81,1,0,1,有,有,有,6500,172,,0.0,0,,RPOQMLLKLHGGFAO18CC
新竹市,建物,新竹市新竹市西大路159號五樓,0.0,商,,,1100309,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,89.17,3,2,1,有,無,有,12000,135,,0.0,0,,RPQQMLLKLHGGFAO38CC
新竹市,建物,新竹市新竹市建中一路３７號１１樓之４,0.0,商,,,1100222,土地0建物1車位0,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831228,72.88,1,2,1,有,有,有,13000,178,,0.0,0,,RPSOMLMKLHGGFAO48CC
新竹市,建物,新竹市新竹市武陵路２５０巷７２號２樓,0.0,住,,,1100222,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830627,89.53,2,2,1,有,有,有,10000,112,,0.0,0,,RPPPMLMKLHGGFAO28CC
新竹市,房地(土地+建物),新竹市新竹市明湖路697巷11號1-3樓,412.73,其他,,,1100220,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0801220,252.39,5,2,4,有,有,無,45000,178,,0.0,0,,RPPOMLPKLHGGFAO48CC
新竹市,建物,新竹市新竹市北區凌雲街88號,0.0,住,,,1100225,土地0建物1車位0,一層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0980331,178.54000000000002,3,2,2,有,有,有,15500,87,,0.0,0,,RPROMLPKLHGGFAO68CC
新竹市,建物,新竹市新竹市慈濟路２１５號四樓之２,0.0,其他,,,1100221,土地0建物1車位1,四層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,121.32,2,2,1,有,有,有,27000,223,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPXPMLPKLHGGFAO76CC
新竹市,建物,新竹市新竹市經國路二段539之2號七樓,0.0,商,,,1100311,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951220,118.43,3,2,2,有,有,有,16200,137,,0.0,0,續租。；,RPTQMLQKLHGGFAO56CC
新竹市,建物,新竹市新竹市西大路120號3樓,0.0,商,,,1100314,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710618,19.6,1,0,1,有,無,有,6000,306,,0.0,0,此為分租套房，本租賃層共分成5間,RPUQMLQKLHGGFAO66CC
新竹市,建物,新竹市新竹市東區仁愛街72號2樓,0.0,住,,,1100305,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711113,82.94,3,2,2,有,無,有,16000,193,,0.0,0,,RPROMLRKLHGGFAO88CC
新竹市,建物,新竹市新竹市北大路201號16樓之7,0.0,商,,,1100228,土地0建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070903,131.82999999999998,2,2,1,有,有,有,43000,326,坡道平面,27.6,0,,RPVPMLRKLHGGFAO76CC
新竹市,建物,新竹市新竹市東區明湖路648巷79號5樓,0.0,,山坡地保育區,丙種建築用地,1100315,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800119,79.34,2,1,1,有,無,有,15000,189,,0.0,0,,RPUOMLTKLHGGFAO76CC
新竹市,建物,新竹市新竹市經國路二段５３９之１２號十樓,0.0,商,,,1100224,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951220,112.1,2,2,1,有,有,有,18000,161,坡道平面,0.0,0,車位面積無法分算。,RPPQMLTKLHGGFAO09CC
新竹市,建物,新竹市新竹市西大路155號四樓,0.0,商,,,1100316,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730912,89.24000000000001,3,2,1,有,無,有,13000,146,,0.0,0,續租。；,RPVRMLTKLHGGFAO17CC
新竹市,建物,新竹市新竹市西大路159號四樓,0.0,商,,,1100316,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730912,89.17,3,2,1,有,無,有,13000,146,,0.0,0,續租。；,RPWRMLTKLHGGFAO27CC
新竹市,建物,新竹市新竹市天府路一段533號十樓,0.0,住,,,1100317,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,101.79,3,1,2,有,有,有,16000,157,,0.0,0,,RPXRMLTKLHGGFAO37CC
新竹市,建物,新竹市新竹市光復路二段2巷49之1號,0.0,工,,,1100226,土地0建物1車位0,一層,3,廠辦,工業用,鋼筋混凝土造,0880416,314.46000000000004,0,0,0,無,有,無,99887,318,,0.0,0,,RPVOMLMLLHGGFAO88CC
新竹市,建物,新竹市新竹市光復路二段2巷47號2樓之1,0.0,工,,,1100228,土地0建物3車位0,二層,10,廠辦,工業用,鋼筋混凝土造,0880416,1029.9,0,0,0,無,有,無,271498,264,,0.0,0,,RPXOMLMLLHGGFAO09CC
新竹市,建物,新竹市新竹市光復路二段2巷47號2樓之3,0.0,工,,,1100228,土地0建物2車位0,二層,10,廠辦,工業用,鋼筋混凝土造,0880416,584.55,0,0,0,無,有,無,154047,264,,0.0,0,,RPTPMLMLLHGGFAO78CC
新竹市,建物,新竹市新竹市東區高翠路160巷150號3樓,0.0,其他,,,1100227,土地0建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890626,124.74,42,2,2,有,有,有,18000,144,坡道平面,31.97,0,,RPVPMLMLLHGGFAO98CC
新竹市,建物,新竹市新竹市武陵路265號11樓,0.0,其他,,,1100302,土地0建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,165.85999999999999,3,2,2,有,有,有,17000,102,坡道平面,0.0,0,租賃期間含免租金裝潢期。車位面積無法分算。,RPUSMLOLLHGGFAO76CC
新竹市,建物,新竹市新竹市中華路四段705之43號六樓,0.0,商,,,1100321,土地0建物1車位0,六層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960630,28.86,1,0,1,有,有,有,5700,198,,0.0,0,,RPRPMLPLLHGGFAO88CC
新竹市,建物,新竹市新竹市新源街62巷21號6樓,0.0,商,,,1100320,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.99000000000001,3,2,2,有,有,有,15000,123,,0.0,0,,RPSPMLPLLHGGFAO98CC
新竹市,建物,新竹市新竹市境福街85號七樓之11,0.0,住,,,1100324,土地0建物1車位0,七層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960625,38.629999999999995,1,0,1,有,有,有,8000,207,,0.0,0,,RPTPMLPLLHGGFAO09CC
新竹市,建物,新竹市新竹市經國路三段73巷5號2樓之1、2樓之2,0.0,住,,,1100322,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860920,155.53000000000003,3,2,2,有,有,有,16200,104,,0.0,0,續租。；,RPOQMLPLLHGGFAO68CC
新竹市,建物,新竹市新竹市自由路95巷18弄12號2樓之1,0.0,商,,,1100324,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800122,45.72,1,0,1,有,有,有,12000,262,,0.0,0,續租。；,RPQQMLPLLHGGFAO88CC
新竹市,車位,新竹市新竹市經國路二段５３５號等,0.0,商,,,1100226,土地0建物0車位1,,3,其他,見其他登記事項,鋼筋混凝土造,0951220,60.54,0,0,0,有,有,無,2200,,坡道平面,0.0,2200,依車位所登記公設門牌申報。車位面積無法分算。,RPSQMLPLLHGGFAO09CC
新竹市,建物,新竹市新竹市關東路２５７號４樓,0.0,其他,,,1100306,土地0建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830504,134.57999999999998,3,2,2,有,有,有,18000,134,坡道機械,0.0,0,,RPOTMLQLLHGGFAO09CC
新竹市,建物,新竹市新竹市水田街214號7樓-1,0.0,住,,,1100318,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.33,2,1,1,有,有,有,13000,264,,0.0,0,,RPPTMLQLLHGGFAO56CC
新竹市,建物,新竹市新竹市北區中華路三段46號9樓之1,0.0,商,,,1100317,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860520,94.46,3,2,2,有,有,有,16000,169,,0.0,0,,RPXNMLTLLHGGFAO07CC
新竹市,建物,新竹市新竹市北區竹光路8號3樓之3,0.0,住,,,1100318,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860205,53.519999999999996,1,1,1,有,有,有,10000,187,,0.0,0,,RPPOMLTLLHGGFAO98CC
新竹市,建物,新竹市新竹市北區林森路275號13樓之8,0.0,商,,,1100319,土地0建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860520,31.200000000000003,1,0,1,有,有,有,7000,224,,0.0,0,,RPQOMLTLLHGGFAO09CC
新竹市,建物,新竹市新竹市學府路５２號四樓,0.0,住,,,1100313,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670301,46.44,4,3,2,有,無,有,12000,258,,0.0,0,含增建或未登記建物。；,RPXOMLKMLHGGFAO98CC
新竹市,建物,新竹市新竹市中清路一段50號三樓之3,0.0,住,,,1100326,土地0建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021231,119.27,3,1,2,有,有,有,16500,135,升降機械,7.88,1500,,RPQUNLLMLHGGFAO09CC
新竹市,建物,新竹市新竹市三民路90號五樓,0.0,住,,,1100331,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720930,97.26,3,2,2,有,無,有,11000,113,,0.0,0,續租。；,RPUPMLLJMHGGFAO68CC
新竹市,建物,新竹市新竹市新竹市東區中華路二段209號2樓,13.62,商,,,1100305,土地0建物1車位0,二層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020615,143.87,2,2,2,有,有,有,25000,174,,0.0,0,,RPVPMLLJMHGGFAO78CC
新竹市,建物,新竹市新竹市東山街２３巷６號,0.0,住,,,1100316,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,50.55,2,2,2,有,無,有,19500,386,,0.0,0,,RPPNMLPJMHGGFAO38CC
新竹市,建物,新竹市新竹市北大路４６８號１１樓之４,0.0,商,,,1100319,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860217,35.519999999999996,1,1,1,有,有,有,7500,211,,0.0,0,,RPQNMLPJMHGGFAO48CC
新竹市,建物,新竹市新竹市北區和平路219巷16號4樓,0.0,,鄉村區,乙種建築用地,1100323,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840629,78.34,2,2,2,有,無,有,12000,153,,0.0,0,,RPORMLRJMHGGFAO88CC
新竹市,建物,新竹市新竹市東區光復路一段18巷15號4樓,0.0,住,,,1100324,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,143.20999999999998,3,2,2,有,無,有,13500,94,,0.0,0,,RPURMLRJMHGGFAO86CC
新竹市,建物,新竹市新竹市東區建功一路93號3樓之2,0.0,住,,,1100323,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,128.76,3,2,2,有,有,有,16200,126,,0.0,0,,RPSOMLSJMHGGFAO09CC
新竹市,建物,新竹市新竹市立鵬路86號16樓,0.0,商,,,1100325,土地0建物1車位0,十六層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,234.57,4,2,2,有,有,有,38969,166,,0.0,0,含稅金、健保代扣稅額,RPUOMLSJMHGGFAO66CC
新竹市,建物,新竹市新竹市北區武陵路18號3樓,0.0,住,,,1100325,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860116,178.91,3,2,3,有,有,有,16200,91,,0.0,0,,RPWOMLSJMHGGFAO86CC
新竹市,建物,新竹市新竹市東區培英街38巷30號4樓,0.0,住,,,1100326,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700817,129.82,4,2,2,有,無,有,15000,116,,0.0,0,,RPXOMLSJMHGGFAO96CC
新竹市,建物,新竹市新竹市東區關新路207號,0.0,住,,,1100331,土地1建物1車位0,見其他登記事項,21,店面(店鋪),辦公室、店舖,鋼筋混凝土造,0990723,251.71999999999997,0,0,0,無,有,無,100000,397,坡道平面,46.34,0,,RPOPMLSJMHGGFAO78CC
新竹市,建物,新竹市新竹市東區自由路95巷38弄10號6樓之2,0.0,商,,,1100330,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800523,41.660000000000004,1,1,1,有,無,有,7500,180,,0.0,0,,RPQPMLSJMHGGFAO98CC
新竹市,建物,新竹市新竹市東區建美路58巷12弄13號3樓,0.0,住,,,1100330,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),國民住宅,加強磚造,,52.29,2,2,1,有,無,有,12000,229,,0.0,0,,RPRPMLSJMHGGFAO09CC
新竹市,建物,新竹市新竹市榮濱路40號三樓之5,0.0,商,,,1100401,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090609,72.35,2,2,1,有,有,有,15000,207,,0.0,0,,RPPVMLTJMHGGFAO96CC
新竹市,建物,新竹市新竹市東大路二段１８６號,0.0,住,,,1100329,土地0建物1車位0,一層,10,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870615,361.74,5,2,1,有,有,有,65000,180,,0.0,0,,RPTQMLMKMHGGFAO88CC
新竹市,房地(土地+建物)+車位,新竹市新竹市介壽路21號14樓之2,16.79,住,,,1100401,土地1建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090930,136.66,3,2,2,有,有,有,31858,233,坡道平面,35.92,0,租金含個人所得稅＄3186元及二代健保＄672元,RPXQMLMKMHGGFAO66CC
新竹市,房地(土地+建物),新竹市新竹市延平路一段317巷85弄6號,61.02,,鄉村區,乙種建築用地,1100407,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0680326,103.96,4,2,2,有,無,無,16200,156,,0.0,0,續租。；,RPTRMLMKMHGGFAO98CC
新竹市,建物,新竹市新竹市龍山西路１１２號六樓,0.0,住,,,1100326,土地0建物1車位1,六層,14,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1020513,104.91,1,1,1,有,有,有,21000,200,坡道機械,23.24,0,租金含管理費。,RPSOMLNKMHGGFAO68CC
新竹市,建物,新竹市新竹市東區自由路71號8樓之12,0.0,商,,,1100401,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920110,60.24,1,1,1,有,有,有,12000,199,,0.0,0,,RPORMLNKMHGGFAO58CC
新竹市,建物,新竹市新竹市中華路二段170巷56號六樓之6,0.0,住,,,1100314,土地0建物1車位0,六層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951115,26.78,1,0,1,有,有,有,6000,224,,0.0,0,租金含管理費500元,RPOTMLNKMHGGFAO78CC
