編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLLKLHGGFAO18CC,24,24.25,辦公室,鋼筋混凝土造,86年7月15日,十二層,
RPOQMLLKLHGGFAO18CC,24,4.44,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPOQMLLKLHGGFAO18CC,24,.11,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPOQMLLKLHGGFAO18CC,24,9.01,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQQMLLKLHGGFAO38CC,,80.62,住家用,鋼筋混凝土造,,五層,
RPQQMLLKLHGGFAO38CC,36,8.55,共有部分,鋼筋混凝土造,73年9月12日,五層,
RPTQMLQKLHGGFAO56CC,14,87.53,集合住宅,鋼筋混凝土造,95年12月20日,十三層,
RPTQMLQKLHGGFAO56CC,14,18.59,停車空間、開放空間、防空避難室,鋼筋混凝土造,95年12月20日,十三層,
RPTQMLQKLHGGFAO56CC,14,12.31,樓梯間,鋼筋混凝土造,95年12月20日,十三層,
RPROMLPKLHGGFAO68CC,12,111.42,集合住宅,鋼筋混凝土造,98年3月31日,十層,
RPROMLPKLHGGFAO68CC,12,67.12,防空避難室兼停車場、機房、警衛室、眷村文物展示空間、迎賓會館、托兒中心、廊道、管理中心、樓梯間、垃圾集中場、儲藏室、水箱、機房,鋼筋混凝土造,98年3月31日,十四層,
RPROMLRKLHGGFAO88CC,38,82.94,住家用,鋼筋混凝土造,71年11月13日,五層,
RPPPMLMKLHGGFAO28CC,27,72.03,住家用,鋼筋混凝土造,83年6月27日,七層,
RPPPMLMKLHGGFAO28CC,27,6.18,共有部分,鋼筋混凝土造,83年6月27日,七層,
RPPPMLMKLHGGFAO28CC,27,11.32,共有部分,鋼筋混凝土造,83年6月27日,七層,
RPPOMLPKLHGGFAO48CC,29,252.39,住家用,鋼筋混凝土造,80年12月20日,三層,
RPUOMLTKLHGGFAO76CC,30,12.39,共有部分,鋼筋混凝土造,80年1月19日,七層,
RPUOMLTKLHGGFAO76CC,30,66.95,住家用,鋼筋混凝土造,80年1月19日,七層,
RPUQMLQKLHGGFAO66CC,39,19.60,住家用,鋼筋混凝土造,71年6月18日,五層,
RPPQMLTKLHGGFAO09CC,14,66.88,集合住宅,鋼筋混凝土造,95年12月20日,十三層,
RPPQMLTKLHGGFAO09CC,14,.01,管理室,鋼筋混凝土造,95年12月20日,十三層,
RPPQMLTKLHGGFAO09CC,14,35.83,停車空間、開放空間、防空避難室,鋼筋混凝土造,95年12月20日,十三層,
RPPQMLTKLHGGFAO09CC,14,9.38,樓梯間,鋼筋混凝土造,95年12月20日,十三層,
RPWRMLTKLHGGFAO27CC,37,80.62,住家用,鋼筋混凝土造,73年9月12日,五層,
RPWRMLTKLHGGFAO27CC,37,8.55,共有部分,鋼筋混凝土造,73年9月12日,五層,
RPVPMLRKLHGGFAO76CC,2,70.02,集合住宅,鋼筋混凝土造,107年9月3日,二十七層,
RPVPMLRKLHGGFAO76CC,2,17.15,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPVPMLRKLHGGFAO76CC,2,44.66,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPVRMLTKLHGGFAO17CC,37,80.62,住家用,鋼筋混凝土造,73年9月12日,五層,
