編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLTKLHGGFAO09CC,坡道平面,0,,
RPVPMLRKLHGGFAO76CC,坡道平面,0,27.60,
RPUSMLOLLHGGFAO76CC,坡道平面,0,,
RPVPMLMLLHGGFAO98CC,坡道平面,0,31.97,
RPSQMLPLLHGGFAO09CC,坡道平面,2200,,
RPXPMLPKLHGGFAO76CC,坡道平面,0,,
RPOTMLQLLHGGFAO09CC,坡道機械,0,,
RPQUNLLMLHGGFAO09CC,升降機械,1500,7.88,
RPOPMLSJMHGGFAO78CC,坡道平面,0,46.34,地下一樓
RPSOMLNKMHGGFAO68CC,坡道機械,0,23.24,
RPXQMLMKMHGGFAO66CC,坡道平面,0,35.92,
RPRRNLKLMHGGFAO78CC,坡道平面,0,25.00,
RPXNMLRLMHGGFAO96CC,坡道平面,0,,
RPOQMLRKNHGGFAO09DC,坡道平面,0,25.41,
RPRQMLQLNHGGFAO66CC,坡道平面,2800,32.90,地下一樓
RPVPMLNJNHGGFAO09CC,坡道平面,0,,
RPVPMLNJNHGGFAO09CC,坡道平面,0,,
RPVQMLRKNHGGFAO07CC,坡道平面,2000,31.78,
RPUQMLNKNHGGFAO56CC,坡道平面,0,,
