編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLSJLHGGFAP66DA,一樓平面,700000,,
RPQNMLTJLHGGFAP78DA,坡道平面,0,,
RPTNMLPJLHGGFDP98DA,一樓平面,900000,13.75,一樓
RPQOMLKKLHGGFAP18EA,坡道平面,0,,
RPSOMLPJLHGGFDP98DA,一樓平面,700000,,一樓
RPUOMLPJLHGGFDP56DA,一樓平面,700000,,一樓
RPVNMLPJLHGGFDP56DA,一樓平面,900000,13.75,一樓
RPVNMLLKLHGGFAP58DA,坡道平面,0,,
RPWNMLPJLHGGFDP66DA,一樓平面,900000,13.75,一樓
RPVOMLPJLHGGFDP66DA,一樓平面,700000,,一樓
RPUNMLPJLHGGFDP09DA,一樓平面,900000,13.75,一樓
RPQOMLMKLHGGFAP38EA,一樓平面,0,,
RPXNMLPJLHGGFDP76DA,一樓平面,900000,13.75,一樓
RPPOMLPJLHGGFDP68DA,一樓平面,900000,13.75,一樓
RPOPMLPJLHGGFDP68DA,一樓平面,700000,,一樓
RPPPMLPJLHGGFDP78DA,一樓平面,900000,13.75,一樓
RPQOMLPJLHGGFDP78DA,一樓平面,900000,13.75,一樓
RPTNMLQKLHGGFAP98EA,坡道機械,0,,
RPSNMLSJLHGGFDP56DA,一樓平面,800000,,一樓
RPRNMLQKLHGGFAP78EA,一樓平面,0,,一樓
RPQOMLTKLHGGFDP66DA,一樓平面,950000,40.97,
RPVNMLMLLHGGFAP78DA,一樓平面,300000,13.75,一樓
RPSNMLNLKHGGFBP58DA,一樓平面,600000,,一樓
RPPNMLNLKHGGFBP28DA,一樓平面,600000,,一樓
RPVNMLNLKHGGFBP88DA,一樓平面,600000,,一樓
RPXOMLNLKHGGFBP56DA,一樓平面,700000,,一樓
RPRNMLPKLHGGFAP58DA,坡道機械,0,,
RPVOMLOLLHGGFAP09DA,坡道機械,0,8.85,
RPRNMLPLLHGGFAP68DA,坡道平面,0,,
RPSNMLOLLHGGFAP68DA,一樓平面,0,,一樓
RPTNMLOLLHGGFAP78DA,一樓平面,0,,一樓
RPPNMLOLLHGGFEP78DA,坡道平面,0,,
RPVNMLQLLHGGFAP56DA,一樓平面,0,,
RPVNMLQLLHGGFAP56DA,一樓平面,0,,
RPXNMLPLLHGGFAP66DA,一樓平面,0,,一樓
RPRNMLRLLHGGFDP56DA,坡道平面,0,,
RPOOMLKMLHGGFAP18EA,一樓平面,0,,
RPQNMLLLLHGGFAP18DA,坡道平面,700000,29.80,地下一樓
RPTNMLOJLHGGFBP68DA,一樓平面,600000,,一樓
RPPNMLOLKHGGFBP38DA,一樓平面,600000,,一樓
RPUNMLOLKHGGFBP88DA,一樓平面,600000,,一樓
RPSNMLSJLHGGFAP88DA,一樓平面,0,,一樓
RPRNMLPJLHGGFAP48DA,一樓平面,0,,一樓
RPVOMLSJMHGGFAP76DA,一樓平面,0,,一樓
RPOPMLSJMHGGFAP78DA,一樓平面,0,,一樓
RPXNMLQJMHGGFDP96DA,一樓平面,0,,
RPXOMLSJMHGGFDP27DA,一樓平面,0,,
RPUNMLOKMHGGFAP98EA,坡道平面,0,,地下一樓
RPOPMLLMLHGGFDP58DA,一樓平面,0,,
RPOOMLQJMHGGFDP78DA,一樓平面,0,,
RPWOMLLMLHGGFDP66DA,一樓平面,0,,
RPVNMLRJMHGGFDP86DA,一樓平面,0,,
RPROMLQJMHGGFDP09DA,一樓平面,0,,
RPTOMLPKMHGGFAP09EA,坡道機械,0,,
RPUNMLPKMHGGFDP66DA,坡道平面,0,,
RPUNMLNLLHGGFAP78DA,坡道機械,0,,
RPTNMLRJMHGGFEP76DA,坡道平面,0,,
RPQNMLMLMHGGFAP38DA,一樓平面,0,,一樓
RPPNMLNLMHGGFAP48EA,一樓平面,0,,一樓
RPROMLMLMHGGFAP58DA,一樓平面,0,,一樓
RPXNMLMLMHGGFAP09DA,一樓平面,0,,一樓
RPVOMLTKMHGGFAP96DA,坡道機械,0,,
RPPNMLLLLHGGFAP08DA,坡道平面,0,,地下一樓
RPPNMLLLLHGGFAP08DA,坡道平面,0,,地下一樓
RPSNMLNLMHGGFBP78DA,坡道平面,0,,地下二樓
RPRNMLTLMHGGFCP86EA,一樓平面,0,,一樓
RPWNMLRLMHGGFAP86DA,一樓平面,300000,13.75,一樓
RPVOMLLMLHGGFDP56DA,一樓平面,0,,
RPTOMLQJMHGGFDP66DA,一樓平面,0,,
RPUOMLQJMHGGFDP76DA,一樓平面,0,,
RPQOMLKMLHGGFDP58DA,一樓平面,0,,
RPUNMLRJMHGGFDP76DA,一樓平面,0,,一樓
RPQNMLSJMHGGFDP09DA,一樓平面,0,,一樓
RPROMLKMLHGGFDP68DA,一樓平面,0,,一樓
RPUOMLLMLHGGFDP09DA,一樓平面,0,,一樓
RPWNMLNJNHGGFDP66DA,一樓平面,950000,40.97,一樓
RPVNMLNJNHGGFDP56DA,坡道平面,850000,40.97,地下一樓
RPXNMLOJNHGGFAP56DA,一樓平面,0,,一樓
RPXNMLOJNHGGFAP56DA,一樓平面,0,,一樓
RPRNMLNLMHGGFAP58DA,坡道機械,0,,地下一樓
RPQNMLNLMHGGFAP48DA,坡道平面,0,,地下一樓
RPUNMLKKNHGGFDP98EA,坡道平面,0,19.86,地下二樓
RPQNMLRJNHGGFFP66DA,一樓平面,0,,一樓
RPVNMLKKNHGGFDP98DA,坡道平面,0,14.88,地下一樓
RPSNMLOKNHGGFBP98EA,坡道平面,0,,地下一樓
RPRNMLRKNHGGFAP09EA,升降機械,0,,地下一樓
RPVNMLRKNHGGFAP76DA,一樓平面,0,,一樓
RPTOMLSKNHGGFAP86EA,坡道平面,0,,地下一樓
RPRNMLRKNHGGFFP86DA,升降機械,0,8.28,地下一樓
RPWNMLLLNHGGFAP98DA,坡道平面,0,,地下二樓
RPQNMLTKNHGGFDP76DA,坡道平面,0,,地下一樓
RPTNMLLLNHGGFAP68DA,一樓平面,300000,13.75,一樓
RPUNMLLLNHGGFAP78DA,一樓平面,300000,14.97,一樓
RPQOMLSKNHGGFAP09DA,坡道平面,0,,地下一樓
RPQOMLSKNHGGFAP09DA,坡道平面,0,,地下一樓
RPTNMLOKNHGGFAP88DA,一樓平面,0,,一樓
RPWNMLLLNHGGFFP96EA,坡道平面,0,,地下二樓
RPTNMLKLNHGGFAP58DA,一樓平面,0,,一樓
RPROMLPLNHGGFAP09EA,坡道機械,0,,地下一樓
