鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市中山路601號,191.06,,一般農業區,甲種建築用地,1100311,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0890808,22.69,1,0,1,有,無,有,5200,229,,0.0,0,,RPPNMLPKLHGGFAP48CC
斗六市,房地(土地+建物),雲林縣斗六市中山路601號,191.06,,一般農業區,甲種建築用地,1100318,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0890808,20.91,1,0,1,有,無,有,5200,249,,0.0,0,,RPPNMLNLLHGGFAP38CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路50巷82號,115.0,,特定農業區,甲種建築用地,1100318,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951201,15.22,1,0,1,有,無,有,3500,230,,0.0,0,,RPQNMLNLLHGGFAP58DC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路50巷86號,127.0,,特定農業區,甲種建築用地,1100321,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951110,22.18,1,0,1,有,無,有,5500,248,,0.0,0,,RPRNMLNLLHGGFAP68DC
斗南鎮,房地(土地+建物),雲林縣斗南鎮光復街36號3樓之91,0.45,其他,,,1100322,土地1建物0車位0,三層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880412,24.83,1,0,1,有,有,有,4000,161,,0.0,0,,RPRNMLOLLHGGFBP78CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路50巷20號,183.79,,特定農業區,甲種建築用地,1100412,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,14.89,1,0,1,有,無,有,3000,201,,0.0,0,,RPPNMLOKMHGGFAP48CC
斗六市,房地(土地+建物),雲林縣斗六市民生南路33號,100.3,住,,,1100403,土地1建物0車位0,一層,3,店面(店鋪),騎樓、停車空間、店舖、住宅、樓梯間,鋼筋混凝土造,0971007,63.78,0,1,1,有,無,無,37000,580,,0.0,0,110年4月10日到110年5月9日為裝潢期，租金折半。,RPTNMLPKMHGGFAP98CC
斗六市,房地(土地+建物),雲林縣斗六市永昌西街47號,114.0,住,,,1100415,土地1建物0車位0,全,4,透天厝,住商用,加強磚造,0691115,197.28,4,2,6,有,無,無,35000,177,,0.0,0,110年4月15日起至110年6月9日止為裝潢期，出租人同意免收租金。,RPVNMLTKMHGGFAP96CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路50巷82號,115.0,,特定農業區,甲種建築用地,1100421,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951201,16.35,1,0,1,有,無,有,3500,214,,0.0,0,,RPTNMLMLMHGGFAP78CC
斗六市,房地(土地+建物),雲林縣斗六市上海西路22號,110.06,住,,,1091128,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0971209,253.96,3,2,3,有,無,有,31500,124,,0.0,0,,RPPNMLSLMHGGFAP09DC
斗六市,房地(土地+建物),雲林縣斗六市中正路139之3號,74.0,商,,,1100506,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0810801,40.88,0,1,1,有,無,有,18000,440,,0.0,0,,RPWNMLQJNHGGFAP76CC
斗六市,房地(土地+建物),雲林縣斗六市中山路601號,191.06,,一般農業區,甲種建築用地,1100516,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0890808,16.31,1,0,1,有,無,有,4500,276,,0.0,0,,RPPNMLKLNHGGFAP28CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路48號,96.0,,特定農業區,甲種建築用地,1100517,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,24.18,1,0,1,有,無,有,3500,145,,0.0,0,,RPQNMLKLNHGGFAP38CC
