編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKLHGGFAP48CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPPNMLNLLHGGFAP38CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPQNMLNLLHGGFAP58DC,大崙段茄苳腳小段,115.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320206
RPRNMLNLLHGGFAP68DC,大崙段茄苳腳小段,127.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320133
RPTNMLPKMHGGFAP98CC,大潭段社口小段,100.30,都市：住,,,,03960000
RPPNMLOKMHGGFAP48CC,大崙段茄苳腳小段,183.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320013
RPVNMLTKMHGGFAP96CC,大潭段社口小段,114.00,都市：住,,,,01010216
RPRNMLOLLHGGFBP78CC,南昌段,.45,都市：其他:零售市場用地,,,,05600000
RPPNMLSLMHGGFAP09DC,斗六段,110.06,都市：住,,,,09440001
RPPNMLKLNHGGFAP28CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPQNMLKLNHGGFAP38CC,大崙段茄苳腳小段,96.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320189
RPTNMLMLMHGGFAP78CC,大崙段茄苳腳小段,115.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320206
RPWNMLQJNHGGFAP76CC,斗六段,74.00,都市：商,,,,00540022
