編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLMLKHGGFBQ98DA,文化段,6.94,都市：其他:住宅區,1,1,全筆移轉,11560000
RPWNMLMLKHGGFBQ98DA,文化段,290.00,都市：其他:住宅區,1,1,全筆移轉,11570000
RPPNMLNJLHGGFBQ28DA,後崩山段崩山小段,1300.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01770000
RPWNMLQLKHGGFBQ76DA,嘉朴段,11.18,都市：其他:第一種住宅區,10000,154,持分移轉,02350003
RPQNMLSJLHGGFBQ88DA,溪口段,1092.35,非都市：特定農業區 ; 非都市編定：農牧用地,9,3,持分移轉,12140000
RPSNMLTJLHGGFBQ56DA,潭子墘段潭墘小段,2559.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03950000
RPTNMLSJLHGGFBQ56DA,景山段,79.72,都市：其他:住宅區,1,1,全筆移轉,05660000
RPVNMLOJLHGGFDQ56DA,三角段,342.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03390000
RPVNMLOJLHGGFDQ56DA,三角段,6.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03750000
RPVNMLOJLHGGFDQ56DA,三角段,57.64,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,03760000
RPUNMLTJLHGGFBQ76DA,雙連潭段連潭小段,207.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,80,1,持分移轉,01300000
RPSNMLTJLHGGFDQ76DA,和雲段,138.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01550000
RPQNMLRJLHGGFDQ98DA,忠和段,678.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05660000
RPQNMLRJLHGGFDQ98DA,忠和段,281.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05660001
RPWNMLTJLHGGFCQ07DA,內林段,44.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00730004
RPWNMLTJLHGGFCQ07DA,內林段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,225,2,持分移轉,00730006
RPWNMLTJLHGGFCQ07DA,內林段,1.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,225,2,持分移轉,00730011
RPWNMLTJLHGGFCQ07DA,內林段,1.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,225,2,持分移轉,00730022
RPPNMLTJLHGGFDQ09DA,嘉保段,103.44,都市：其他:第二種住宅區,1,1,全筆移轉,00280004
RPSNMLTJLHGGFEQ86DA,覆?金段,1446.78,非都市：山坡地保育區 ; 非都市編定：農牧用地,81,9,持分移轉,04930001
RPSNMLTJLHGGFEQ86DA,覆?金段,1446.78,非都市：山坡地保育區 ; 非都市編定：農牧用地,81,9,持分移轉,04930001
RPSNMLTJLHGGFEQ86DA,覆?金段,786.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,9,1,持分移轉,11950000
RPSNMLTJLHGGFEQ86DA,覆?金段,786.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,9,1,持分移轉,11950000
RPSNMLTJLHGGFEQ86DA,覆?金段,625.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,9,1,持分移轉,11960000
RPSNMLTJLHGGFEQ86DA,覆?金段,625.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,9,1,持分移轉,11960000
