鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹿草鄉,房地(土地+建物),嘉義縣鹿草鄉馬稠後園區二路10號,15170.5,,工業區,丁種建築用地,1100220,土地1建物0車位0,見其他登記事項,1,工廠,辦公室、廠房,鋼骨造,1090914,10499.7,2,0,3,有,無,無,1100000,,,0.0,0,,RPPNMLRKLHGGFDQ09CC
朴子市,房地(土地+建物),嘉義縣朴子市嘉朴路西段93號,100.21,住,,,1100301,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870502,247.85,4,2,4,有,無,無,25000,101,,0.0,0,,RPQNMLSKLHGGFBQ09CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段97號9樓之1,43.23,住,,,1100316,土地1建物1車位0,九層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,152.41,3,2,2,有,有,有,20000,131,坡道平面,29.87,0,,RPWNMLTKLHGGFDQ37CC
太保市,房地(土地+建物),嘉義縣太保市健康路183巷10弄43號,114.48,住,,,1100325,土地1建物0車位0,全,4,透天厝,集合住宅,鋼筋混凝土造,1010829,197.02,4,2,4,有,無,無,18000,91,,0.0,0,,RPRNMLPLLHGGFDQ56CC
水上鄉,房地(土地+建物),嘉義縣水上鄉柳子林1458號,79.25,,鄉村區,乙種建築用地,1100410,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0691216,129.08,4,3,3,有,無,無,10000,77,,0.0,0,含增建或未登記建物。；,RPOOMLTKMHGGFDQ76CC
太保市,房地(土地+建物),嘉義縣太保市祥和三路東段85巷10號1樓,164.54,住,,,1100427,土地2建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970804,100.0,0,0,0,無,無,有,12000,120,,0.0,0,,RPWNMLSLMHGGFDQ57DC
太保市,房地(土地+建物),嘉義縣太保市健康路183巷10弄33號,152.28,住,,,1100426,土地1建物0車位0,全,4,透天厝,集合住宅,鋼筋混凝土造,1010829,201.51,4,3,3,有,無,無,13900,69,,0.0,0,,RPPNMLKKNHGGFDQ58CC
太保市,建物,嘉義縣太保市保鐵一路二段97號5樓之7,0.0,住,,,1100426,土地0建物1車位1,五層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,148.43,3,2,2,有,有,有,30800,208,坡道平面,0.0,0,車位由出租方另行提供,RPWNMLSKNHGGFDQ47CC
太保市,建物,嘉義縣太保市過溝里瓦厝8-10號,154.92,,鄉村區,乙種建築用地,1100506,土地1建物0車位0,全,3,透天厝,住家用,加強磚造、鋼鐵造、木石磚造,0700915,154.92,5,1,3,有,無,無,6900,45,,0.0,0,此物件加入嘉義縣社會住宅包租代管計畫評定市價租金為新台幣7685元選擇代管方案9折簽訂租賃契約金額為新台幣6900元。,RPPNMLLLNHGGFDQ78CC
