鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內埔鄉,建物,屏東縣內埔鄉鄉德美路310號,0.0,住,,,1100312,土地1建物0車位0,全,8,透天厝,住家用,鋼筋混凝土造,0850109,149.97,4,2,2,有,有,無,12000,80,,0.0,0,,RPROMLMKLHGGFCT09CC
東港鎮,建物,屏東縣東港鎮船頭路25之246號4樓,0.0,其他,,,1100311,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830625,119.92,3,1,2,有,無,有,10000,83,,0.0,0,108年度屏東縣政府包租代管計畫,RPQNMLMKLHGGFDT98CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮三光路1巷6弄10號,79.01,住,,,1100312,土地1建物0車位0,全,4,透天厝,停車空間、集合住宅、樓梯間,鋼筋混凝土構造,1080801,195.73,4,3,4,有,無,無,18000,92,,0.0,0,,RPUNMLSKLHGGFCT27CC
屏東市,建物,屏東縣屏東市廣東路1430之2號10樓之1,0.0,住,,,1100319,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070315,75.38,2,2,1,有,有,有,10000,133,,0.0,0,108年度屏東縣政府包租代管計畫,RPXNMLTKLHGGFAT47CC
屏東市,建物,屏東縣屏東市機場北路540號8樓之2,5.26,住,,,1100324,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,44.05,3,2,2,有,無,無,15000,341,坡道平面,0.0,0,,RPOPMLPLLHGGFAT09CC
屏東市,建物,屏東縣屏東市林森路1巷125之12號,0.0,住,,,1100325,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,113.34,3,2,2,有,有,有,11300,100,,0.0,0,108年度屏東縣政府包租代管計畫,RPRPMLPLLHGGFAT76CC
屏東市,房地(土地+建物)+車位,屏東縣屏東市博愛路406號6樓之3,19.54,住,,,1100317,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850315,106.00999999999999,3,2,2,有,有,有,11000,104,坡道機械,0.0,0,,RPRNMLQLLHGGFAT66CC
內埔鄉,建物,屏東縣內埔鄉永興二巷23號,0.0,,鄉村區,乙種建築用地,1100329,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0820807,169.38,4,2,3,有,有,有,9000,53,,0.0,0,108年度屏東縣政府包租代管計畫,RPQOMLKMLHGGFCT98CC
屏東市,土地,檳榔腳段一小段500地號,53.0,住,,,1100325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,283,,0.0,0,含增建或未登記建物。；,RPUOMLLMLHGGFAT76DC
