編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMKLHGGFDT98CC,27,99.44,集合住宅,鋼筋混凝土造,83年6月25日,五層,
RPQNMLMKLHGGFDT98CC,27,20.48,公共設施,鋼筋混凝土造,83年6月25日,五層,
RPROMLMKLHGGFCT09CC,25,123.91,住家用,鋼筋混凝土造,85年1月9日,八層,
RPROMLMKLHGGFCT09CC,25,26.06,防空避難室、停車空間、樓梯間、機梯室、水箱,鋼筋混凝土造,85年1月9日,八層,
RPOPMLPLLHGGFAT09CC,21,44.05,集合住宅,鋼筋混凝土造,88年12月4日,十四層,
RPUNMLSKLHGGFCT27CC,2,195.73,停車空間、集合住宅、樓梯間,鋼筋混凝土構造,108年8月1日,四層,
RPXNMLTKLHGGFAT47CC,3,53.33,集合住宅,鋼筋混凝土造,107年3月15日,十四層,
RPXNMLTKLHGGFAT47CC,3,22.05,停車空間、防空避難室間停車空間、門廳、門廊、公共服務空間、管理委員會使用空間、頂蓋型沿街步道開放空間、梯間、樓梯間、水箱、機械房,鋼筋混凝土造,107年3月15日,十四層,
RPQOMLKMLHGGFCT98CC,28,169.38,住宅,鋼筋混凝土構造,82年8月7日,四層,
RPRPMLPLLHGGFAT76CC,27,91.99,住家用,鋼筋混凝土造,83年2月7日,十五層,
RPRPMLPLLHGGFAT76CC,27,21.35,守衛室，梯間，停車空間,鋼筋混凝土造,83年2月7日,十五層,
RPOPMLRJMHGGFAT56CC,14,8.58,辦公室,鋼筋混凝土造,96年5月30日,八層,
RPOPMLRJMHGGFAT56CC,14,7.72,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,
RPOOMLRJMHGGFCT66CC,4,31.81,集合住宅,鋼筋混凝土構造,105年11月4日,七層,
RPPOMLRJMHGGFCT76CC,4,30.45,集合住宅,鋼筋混凝土構造,105年11月4日,七層,
