編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSJLHGGFAU09DA,26,65.10,住家用,鋼筋混凝土造,84年6月22日,五層,二層 陽台
RPPNMLSJLHGGFAU09DA,26,11.58,共有部份,鋼筋混凝土造,84年6月22日,五層,
RPXNMLSJLHGGFAU27DA,17,153.27,住家用,鋼筋混凝土造,92年12月22日,三層,一層 二層 三層 陽台
RPQNMLOJLHGGFAU78DA,16,270.61,住家用,鋼筋混凝土造,94年3月24日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLSJLHGGFAU09DA,,66.61,集合住宅,鋼筋混凝土造,108年12月13日,五層,一層 騎樓
RPOOMLSJLHGGFAU09DA,,16.27,本共有部份之項目有無障礙電梯間、樓梯間、走道、水塔間等,鋼筋混凝土造,108年12月13日,五層,
RPPNMLTJLHGGFAU56DA,43,93.84,住商用,鋼筋混凝土加強磚造,67年3月22日,二層,一層 二層
RPUNMLTJLHGGFAU07DA,10,97.34,住家用,鋼筋混凝土造,99年9月9日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLTJLHGGFAU07DA,10,97.34,住家用,鋼筋混凝土造,99年9月9日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLTJLHGGFAU66DA,22,7.55,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,7.55,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,7.55,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,11.32,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,11.32,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,7.55,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,11.32,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,3.77,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,7.55,住家用,鋼筋混凝土造,87年10月6日,五層,五層 陽台
RPQNMLTJLHGGFAU66DA,22,4.43,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,2.95,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,1.48,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,2.95,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,4.43,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,2.95,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,4.43,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,2.95,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPQNMLTJLHGGFAU66DA,22,2.95,共有部份,鋼筋混凝土造,87年10月6日,五層,
RPVNMLTJKHGGFAU07DA,26,19.33,住家用,鋼筋混凝土造,83年11月15日,十二層,六層
RPVNMLTJKHGGFAU07DA,26,6.12,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPVNMLTJKHGGFAU07DA,26,3.18,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPWNMLTJLHGGFAU27DA,29,312.39,住商用,鋼筋混凝土造,81年5月20日,四層,一層 二層 三層 四層 陽台 騎樓
