編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLLKLHGGFAU09DA,坡道平面,0,,
RPOPMLKKLHGGFAU48DA,一樓平面,0,,
RPVOMLKKLHGGFAU09DA,坡道平面,800000,30.21,
RPVOMLKKLHGGFAU09DA,坡道平面,800000,30.21,
RPVOMLKKLHGGFAU09DA,坡道平面,800000,30.21,
RPQNMLLKLHGGFAU58DA,坡道平面,1600000,35.15,
RPWNMLMKLHGGFAU66DA,坡道平面,0,,
RPOPMLMKLHGGFAU68DA,坡道平面,0,14.09,
RPWNMLTKLHGGFAU37DA,一樓平面,0,13.40,
RPRNMLQKLHGGFAU56DA,坡道平面,1900000,34.90,
RPXNMLOLKHGGFAU96DA,坡道機械,800000,16.22,
RPTOMLNLLHGGFAU66DA,一樓平面,0,.91,
RPSOMLNLLHGGFAU56DA,坡道平面,0,,
RPOPMLOLLHGGFAU98DA,一樓平面,0,,
RPUNMLPLLHGGFAU86DA,坡道平面,0,,
RPTPMLQLLHGGFAU07DA,一樓平面,0,,
RPPQMLQLLHGGFAU76DA,一樓平面,0,,
RPVPMLQLLHGGFAU27DA,一樓平面,0,,
RPWOMLKMLHGGFAU76DA,一樓平面,0,16.89,
RPPOMLKMLHGGFAU68DA,一樓平面,800000,16.89,
RPSPMLKMLHGGFAU09DA,一樓平面,1000000,16.02,
RPXNMLLMLHGGFAU86DA,坡道平面,0,,
RPWOMLMKLHGGFAU76DA,升降機械,0,12.75,
RPTOMLMKLHGGFAU09DA,升降平面,0,,
RPVNMLKMLHGGFAU56DA,升降機械,600000,8.25,
RPSOMLLJMHGGFAU88DA,坡道平面,1500000,25.29,
RPORMLQJMHGGFAU66DA,坡道平面,0,14.01,
RPTOMLRJMHGGFAU96DA,升降機械,500000,8.66,
RPPQMLLJMHGGFAU78DA,一樓平面,0,16.89,
RPQQMLLJMHGGFAU88DA,一樓平面,800000,16.89,
RPUOMLSJMHGGFAU17DA,坡道平面,0,,
RPXPMLSJMHGGFAU57DA,坡道平面,1950000,42.38,
RPVOMLPKMHGGFAU07DA,坡道平面,550000,14.09,
RPUNMLQKMHGGFAU96DA,升降機械,500000,8.66,
RPPQMLLLMHGGFAU98DA,一樓平面,0,,
RPQPMLMKMHGGFAU98DA,坡道平面,1000000,32.44,
RPWNMLQLMHGGFAU27DA,坡道平面,1000000,31.77,
RPTPMLLJMHGGFAU09DA,坡道平面,1500000,35.13,
RPSNMLRLMHGGFAU96DA,坡道平面,0,17.62,
RPOPMLQLMHGGFAU66DA,升降機械,0,8.25,
RPPOMLQLLHGGFAU56DA,坡道平面,1500000,35.13,
RPXOMLMKMHGGFAU96DA,坡道平面,1500000,25.28,地下一樓
RPWOMLSLMHGGFAU57DA,坡道平面,800000,30.21,地下二樓
RPPNMLSLMHGGFAU76DA,坡道平面,0,,地下二樓
RPXOMLKMMHGGFAU96DA,坡道平面,1650000,35.13,地下二樓
RPRPMLRJNHGGFAU96DA,一樓平面,0,13.75,一樓
RPRPMLLKNHGGFAU09DA,一樓平面,0,12.60,一樓
RPQPMLRJNHGGFAU86DA,一樓平面,0,13.75,一樓
RPOPMLSKNHGGFAU86DA,坡道平面,0,13.39,一樓
RPOOMLLLNHGGFAU78DA,升降機械,0,8.25,地下一樓
RPPOMLLLNHGGFAU88DA,一樓平面,0,13.50,一樓
RPOQMLOKNHGGFAU56DA,一樓平面,0,49.54,一樓
RPWOMLOLNHGGFAU27DA,坡道平面,0,,地下二樓
RPRNMLLMNHGGFAU09DA,坡道平面,0,,地下一樓
RPPNMLRLNHGGFAU76DA,一樓平面,0,,一樓
RPOPMLNJOHGGFAU98DA,一樓平面,0,12.75,一樓
RPQNMLTJNHGGFAU86DA,坡道平面,1000000,32.45,地下二樓
RPSPMLRJOHGGFAU17DA,升降機械,700000,6.06,地下一樓
RPVNMLTJOHGGFAU47DA,坡道平面,0,,地下一樓
RPXOMLRJOHGGFAU57DA,一樓平面,0,,一樓
RPUPMLOJOHGGFAU07DA,升降機械,0,8.67,地下一樓
RPOPMLRJOHGGFAU76DA,坡道平面,0,28.03,地下一樓
RPTNMLRJOHGGFAU07DA,升降機械,500000,8.66,地下一樓
RPUNMLMJOHGGFAU66DA,坡道平面,1550000,35.13,地下二樓
